indicators,mea,ipbes,Categories,Subcategories,Categories_2,Subcategories_2,indicators_harmonized,ids
Protected Area Connectedness Index (PARC-Connectedness),GBF,1,Ecosystems,State Of Ecosystems (Configuration),NA,NA,protected area connectedness (parc-connectedness) index,"GBF_C_GA_49,GBF_C_T3_63"
Evolutionarily Distinct and Globally Endangered (EDGE),GBF,NA,Biodiversity,Genetic Diversity,NA,Species Conservation,evolutionarily distinct and globally endangered (edge),GBF_C_GA_50
Living Planet Index,GBF,1,Ecosystems,State Of Biodiversity,NA,NA,living planet index,"GBF_C_GA_51,GBF_C_T4_68,GBF_CY_T2_250"
Change in the extent of water-related ecosystems over time,"GBF,SDG",1,Ecosystems,State Of Ecosystems,NA,Change In Ecosystems,change in the extent of water-related ecosystems over time,"GBF_C_GA_52,SDG_6_6_1_101"
Red List Index (for utilized species),GBF,1,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution,red list index (for utilized species),"GBF_C_GB_53,GBF_C_T5_73"
Red List Index (species used for food and medicine),GBF,1,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution,red list index (for utilized species),GBF_C_T9_88
Living Planet Index (for used species),GBF,NA,Ecosystems,State Of Biodiversity,Ecosystem Services,Nature Contribution,living planet index (for used species),"GBF_C_GB_54,GBF_C_T5_74,GBF_C_T9_89"
Priority retention of intact / wilderness areas,GBF,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA,priority retention of intact / wilderness areas,"GBF_C_T1_57,GBF_CY_T2_245"
Maintenance and restoration of connectivity of natural ecosystems,GBF,NA,Ecosystems,Restoration Efforts,NA,NA,maintenance and restoration of connectivity of natural ecosystems,GBF_C_T2_59
Protected area coverage of key biodiversity areas,GBF,1,Ecosystems,Area Conservation,NA,NA,protected area coverage of key biodiversity areas,GBF_C_T3_60
Protected Area Management Effectiveness (PAME),GBF,1,Ecosystems,Area Conservation,Governance,Nature-Based Legislation,protected area management effectiveness (pame),GBF_C_T3_61
Connectivity Indicator,GBF,NA,Ecosystems,State Of Ecosystems (Configuration),NA,NA,connectivity indicator,GBF_C_T3_65
The number of protected areas that have completed a site-level assessment of governance and equity (SAGE),GBF,NA,Ecosystems,Area Conservation,NA,NA,number of protected areas that have completed a site-level assessment of governance and equity (sage),GBF_C_T3_66
Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),GBF,NA,Ecosystems,Area Conservation,NA,NA,number of protected areas that have completed a site-level assessment of governance and equity (sage),"GBF_CY_T22_389,GBF_CY_T23_399"
Species Protection Index,GBF,1,Biodiversity,Species Conservation,NA,NA,species protection index,"GBF_C_T3_67,GBF_CY_GA_159,GBF_CY_T3_264"
Number of plant and animal genetic resources secured in medium or long-term conservation facilities,GBF,1,Biodiversity,Genetic Resources,NA,NA,number of plant and animal genetic resources secured in medium or long-term conservation facilities,GBF_C_T4_69
Trends in effective and sustainable management of human-wildlife conflict and coexistence,GBF,NA,Governance,Nature-Based Legislation,NA,NA,trends in effective and sustainable management of human-wildlife conflict and coexistence,GBF_C_T4_70
Green Status of Species Index,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,green status of species index,GBF_C_T4_71
Conservation status of species listed in the CITES Appendices has stabilized or improved,GBF,NA,Ecosystems,Species Conservation,NA,NA,conservation status of species listed in the cites appendices has stabilized or improved,GBF_C_T4_72
Sustainable use of Wild Species,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA,sustainable use of wild species,GBF_C_T5_75
Rate of invasive species impact and rate of impact,GBF,NA,Direct Drivers,Invasive Alien Species,NA,NA,rate of invasive species impact and rate of impact,GBF_C_T6_76
Rate of invasive alien species spread,GBF,NA,Direct Drivers,Invasive Alien Species,NA,NA,rate of invasive alien species spread,GBF_C_T6_77
Number of invasive alien species introduction events,GBF,1,Direct Drivers,Invasive Alien Species,NA,NA,number of invasive alien species introduction events,GBF_C_T6_78
Fertilizer use,GBF,1,Direct Drivers,Pollution,NA,NA,fertilizer use,GBF_C_T7_79
Proportion of domestic and industrial wastewater flow safely treated,GBF,NA,Human Assets,Infrastructure (Build-Up Area),NA,NA,proportion of domestic and industrial wastewater flows safely treated,GBF_C_T7_80
Proportion of domestic and industrial wastewater flows safely treated,SDG,NA,Human Assets,Infrastructure (Build-Up Area),NA,NA,proportion of domestic and industrial wastewater flows safely treated,SDG_6_3_1_95
Floating plastic debris density [by micro and macro plastics],GBF,NA,Ecosystems,State Of Ecosystems (Integrity),Direct Drivers,Pollution,floating plastic debris density,GBF_C_T7_81
Red List Index (impact of pollution),GBF,1,Biodiversity,State Of Biodiversity,Direct Drivers,Pollution,red list index (impacts of pollution),GBF_C_T7_82
Total climate regulation services provided by ecosystems by ecosystem type (System of Environmental Economic Accounts),GBF,NA,Ecosystem Services,Nature Contribution,NA,NA,total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),GBF_C_T8_83
Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 which include biodiversity,GBF,NA,Governance,Nature-Based Legislation,NA,NA,number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030 which include biodiversity,GBF_C_T8_84
National greenhouse inventories from land use and land use change,GBF,NA,Direct Drivers,Climate Change,NA,NA,national greenhouse inventories from land use and land use change,"GBF_C_T8_85,GBF_CY_T8_303"
Bioclimatic Ecosystem Resilience Index (BERI),GBF,NA,Ecosystems,State Of Biodiversity,NA,NA,bioclimatic ecosystem resilience index (beri),"GBF_C_T8_86,GBF_CY_GA_147,GBF_CY_T2_244"
"Number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",GBF,NA,Human Assets,Infrastructure (Build-Up Area),Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",GBF_C_T9_87
Area of forest under sustainable management: total forest management certification by Forest Stewardship Council and Programme for the Endorsement of Forest Certification,GBF,1,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,Governance,Nature-Based Legislation,area of forest under sustainable management: total forest management certification by forest stewardship council and programme for the endorsement of forest certification,GBF_C_T10_90
"Average income of small-scale food producers, by sex and indigenous status","GBF,SDG",1,Human Assets,Income,NA,NA,"average income of small-scale food producers, by sex and indigenous status","GBF_C_T10_91,SDG_2_3_2_21"
"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","GBF,SDG",1,Direct Drivers,Natural Drivers,NA,NA,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","GBF_C_T11_92,GBF_CY_GB_193,SDG_1_5_1_8,SDG_11_5_1_158,SDG_13_1_1_190"
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)","GBF,SDG",NA,Human Well-Being,Healthy Living Conditions,Direct Drivers,Pollution,"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)","GBF_C_T11_93,SDG_3_9_2_49"
Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities,GBF,1,Direct Drivers,Pollution,Ecosystems,State Of Ecosystems (Integrity),annual mean levels of fine particulate matter in cities,GBF_C_T11_94
Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),SDG,1,Direct Drivers,Pollution,Ecosystems,State Of Ecosystems (Integrity),annual mean levels of fine particulate matter in cities,SDG_11_6_2_163
Proportion of bodies of water with good ambient water quality,"GBF,SDG",1,Ecosystems,State Of Ecosystems,Human Well-Being,Healthy Living Conditions,proportion of bodies of water with good ambient water quality,"GBF_C_T11_95,GBF_CY_GB_188,SDG_6_3_2_96"
Level of water stress,GBF,NA,Ecosystems,State Of Ecosystems,Human Well-Being,Healthy Living Conditions,level of water stress,GBF_C_T11_96
Recreation and cultural ecosystem services provided,GBF,NA,Human Well-Being,Recreation,NA,NA,recreation and cultural ecosystem services provided,GBF_C_T12_97
Number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,GBF,NA,Biodiversity,Genetic Resources,NA,NA,number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,GBF_C_T13_98
Number of countries with Implementation of the System of Environmental Economic Accounting,GBF,NA,Governance,Nature-Based Funding,NA,NA,number of countries with implementation of the system of environmental economic accounting,GBF_C_T14_99
Indicator based on Task Force for Naturerelated Financial Disclosures,GBF,NA,Human Assets,State Of Economy,NA,NA,indicator based on task force for naturerelated financial disclosures,GBF_C_T15_100
Food waste index,GBF,1,Human Well-Being,Healthy Living Conditions,Human Assets,Coverage Of Basic Needs,food waste index,GBF_C_T16_101
(a) Food loss index and (b) food waste index,SDG,1,Human Well-Being,Healthy Living Conditions,Human Assets,Coverage Of Basic Needs,food waste index,"SDG_12_3_1_b_176,SDG_12_3_1_a_175"
Material footprint per capita,GBF,NA,Human Assets,State Of Economy,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,material footprint per capita,GBF_C_T16_102
Global environmental impacts of consumption,GBF,NA,Direct Drivers,Land Conversion,NA,NA,global environmental impacts of consumption,GBF_C_T16_103
Ecological footprint,GBF,1,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,NA,ecological footprint,"GBF_C_T16_104,GBF_CY_GB_177"
Species status index,GBF,1,Biodiversity,State Of Biodiversity,NA,NA,species status index,GBF_C_T21_109
Species Status Index,GBF,1,Biodiversity,State Of Biodiversity,NA,NA,species status index,GBF_CY_GA_171
Species Status Information Index,GBF,1,Biodiversity,State Of Biodiversity,NA,NA,species status index,GBF_CY_T21_381
"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",GBF,1,Human Assets,Specific Information On Human-Nature Relationship,NA,NA,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in national education policies,"GBF_C_T21_110,GBF_C_T21_111,GBF_C_T21_112,GBF_C_T21_113"
"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments (SDG 4.7.1)",GBF,1,Human Assets,Specific Information On Human-Nature Relationship,NA,NA,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in national education policies,"GBF_CY_T16_337,GBF_CY_T16_338,GBF_CY_T16_339,GBF_CY_T16_340"
Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,SDG,1,Human Assets,Specific Information On Human-Nature Relationship,NA,NA,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in national education policies,"SDG_4_7_1_a_69,SDG_12_8_1_a_183,SDG_13_3_1_a_195,SDG_4_7_1_b_70,SDG_12_8_1_b_184,SDG_13_3_1_b_196,SDG_4_7_1_c_71,SDG_12_8_1_c_185,SDG_13_3_1_c_197,SDG_4_7_1_d_72,SDG_12_8_1_d_186,SDG_13_3_1_d_198"
"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure","GBF,SDG",1,Human Well-Being,Equity,NA,NA,"proportion of total adult population with secure tenure rights to land with legally recognized documentation, by sex and type of tenure","GBF_C_T22_114,GBF_C_T23_119,SDG_1_4_2_a_6,GBF_C_T22_115,GBF_C_T23_120,SDG_1_4_2_b_7"
Proportion of seats held by women in (a) national parliaments and (b) local governments,"GBF,SDG",NA,Human Well-Being,Equity,NA,NA,proportion of seats held by women in national parliaments,"GBF_C_T23_116,SDG_5_5_1_a_82,GBF_C_T23_117,SDG_5_5_1_b_83"
Indicator on national implementation of the gender plan of action,GBF,NA,Human Well-Being,Equity,NA,NA,indicator on national implementation of the gender plan of action,GBF_C_T23_118
Forest area as a proportion of total land area,"GBF,SDG",1,Ecosystems,State Of Ecosystems (Coverage),NA,NA,forest area as a percentage of total land area,"GBF_CY_GA_121,SDG_15_1_1_212"
Forest distribution,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,forest distribution,GBF_CY_GA_122
Tree cover loss,GBF,NA,Biodiversity,Change In Biodiversity,NA,NA,tree cover loss,GBF_CY_GA_123
Grassland and savannah extent,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,grassland and savannah extent,GBF_CY_GA_124
Mountain Green Cover Index,"GBF,SDG",1,Ecosystems,State Of Ecosystems (Coverage),NA,NA,mountain green cover index,"GBF_CY_GA_125,SDG_15_4_2_217"
Peatland extent and condition,GBF,NA,Ecosystems,State Of Ecosystems (Coverage),NA,NA,peatland extent and condition,GBF_CY_GA_126
"Permafrost thickness, depth and extent",GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,"permafrost thickness, depth and extent",GBF_CY_GA_127
Continuous Global Mangrove Forest Cover,GBF,NA,Ecosystems,State Of Ecosystems (Configuration),NA,NA,continuous global mangrove forest area,GBF_CY_GA_128
Trends in mangrove forest fragmentation,GBF,NA,Ecosystems,Change In Ecosystems,NA,State Of Ecosystems (Configuration),trends in mangrove forest fragmentation,GBF_CY_GA_129
Trends in mangrove extent,GBF,NA,Ecosystems,Change In Ecosystems,NA,State Of Ecosystems (Coverage),trends in mangrove extent,GBF_CY_GA_130
Live coral cover,GBF,1,Biodiversity,State Of Biodiversity,NA,NA,live coral cover,GBF_CY_GA_131
Hard coral cover and composition,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,hard coral cover and composition,GBF_CY_GA_132
Global coral reef extent,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,global coral reef extent,GBF_CY_GA_133
Global Seagrass Extent (Seagrass Cover and composition),GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,global seagrass extent (seagrass cover and composition),GBF_CY_GA_134
Global saltmarsh extent,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,global saltmarsh extent,GBF_CY_GA_135
Kelp canopy extent,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,kelp canopy extent,GBF_CY_GA_136
Macroalgal Canopy Cover and Composition,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,macroalgal canopy cover and composition,GBF_CY_GA_137
Cover of key benthic groups,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,cover of key benthic groups,GBF_CY_GA_138
Fleshy algae cover,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,fleshy algae cover,GBF_CY_GA_139
Wetland Extent Trends Index,GBF,1,Ecosystems,Change In Ecosystems,NA,NA,wetland extent trends index,GBF_CY_GA_140
Change in the extent of inland water ecosystems over time,GBF,NA,Ecosystems,State Of Ecosystems,NA,Change In Ecosystems,change in the extent of inland water ecosystems over time,GBF_CY_GA_141
Forest Fragmentation Index,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,forest fragmentation index,GBF_CY_GA_142
Forest Landscape Integrity Index,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,forest landscape integrity index,"GBF_CY_GA_143,GBF_CY_T2_240"
Biomass of selected natural ecosystems,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,biomass of selected natural ecosystems,GBF_CY_GA_144
Global Vegetation Health Products,GBF,NA,Ecosystem Services,Nature Contribution,NA,NA,global vegetation health products,GBF_CY_GA_146
Relative Magnitude of Fragmentation (RMF),GBF,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA,relative magnitude of fragmentation (rmf),GBF_CY_GA_148
Biodiversity Intactness Index,GBF,1,Biodiversity,State Of Biodiversity,NA,NA,biodiversity intactness index,GBF_CY_GA_150
Ocean Health Index,GBF,1,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA,ocean health index,GBF_CY_GA_151
Extent of physical damage indicator to predominant seafloor habitats physical damage,GBF,NA,Direct Drivers,Land Conversion,NA,NA,extent of physical damage indicator to predominant seafloor habitats physical damage,GBF_CY_GA_152
River Fragmentation Index,GBF,NA,Ecosystems,State Of Ecosystems (Integrity),NA,State Of Ecosystems (Freshwater/Coastal),river fragmentation index,GBF_CY_GA_153
Dendritic Connectivity Index,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,dendritic connectivity index,GBF_CY_GA_154
Percentage of threatened species that are improving in status according to the Red List,GBF,NA,Biodiversity,Species Conservation,NA,Change In Biodiversity,percentage of threatened species that are improving in status,GBF_CY_GA_155
Percentage of threatened species that are improving in status,GBF,NA,Biodiversity,Species Conservation,NA,Change In Biodiversity,percentage of threatened species that are improving in status,GBF_CY_T4_270
Number of threatened species by species group,GBF,NA,Biodiversity,Species Conservation,NA,NA,number of threatened species by species group,GBF_CY_GA_156
Wild bird index,GBF,1,Biodiversity,State Of Biodiversity,NA,NA,wild bird index,GBF_CY_GA_157
Mean Species Abundance (MSA),GBF,1,Biodiversity,State Of Biodiversity,NA,NA,mean species abundance (msa),GBF_CY_GA_158
Changes in plankton biomass and abundance,GBF,NA,Biodiversity,Change In Biodiversity,NA,NA,changes in plankton biomass and abundance,GBF_CY_GA_160
Fish abundance and biomass,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,fish abundance and biomass,GBF_CY_GA_161
Genetic scorecard for wild species,GBF,NA,Biodiversity,Genetic Resources,NA,NA,genetic scorecard for wild species,GBF_CY_GA_162
Species richness/Changes in local terrestrial diversity (PREDICTS),GBF,1,Biodiversity,State Of Biodiversity,NA,NA,species richness,"GBF_CY_GA_163,GBF_CY_GA_164"
Marine species richness,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,marine species richness,GBF_CY_GA_165
Comprehensiveness of conservation of socioeconomically as well as culturally valuable species.,GBF,NA,Biodiversity,Species Conservation,Human Assets,Information On Biodiversity,comprehensiveness of conservation of socioeconomically as well as culturally valuable species,GBF_CY_GA_166
Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,GBF,1,Biodiversity,Genetic Resources,NA,NA,number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,GBF_CY_GA_167
Number of plant and animal genetic resources for food and agriculture secured in medium- or longterm conservation facilities,GBF,1,Biodiversity,Genetic Resources,NA,NA,number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,GBF_CY_T9_312
Proportion of local breeds classified as being at risk extinction,GBF,1,Biodiversity,Species Conservation,NA,NA,proportion of local breeds classified as being at risk of extinction,"GBF_CY_GA_168,GBF_CY_T4_272,GBF_CY_T10_318"
Proportion of local breeds classified as being at risk of extinction,SDG,1,Biodiversity,Species Conservation,NA,NA,proportion of local breeds classified as being at risk of extinction,SDG_2_5_2_25
Red List Index (wild relatives of domesticated animals),GBF,1,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution,red list index (wild relatives of farmed and domesticated species),"GBF_CY_GA_169,GBF_CY_T4_273,GBF_CY_T10_316"
CMS Connectivity Indicator,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,cms connectivity indicator,GBF_CY_GA_170
Intact Wilderness,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,intact wilderness,GBF_CY_GA_172
Intact wilderness,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,intact wilderness,GBF_CY_GB_194
Expected Loss of Phylogenetic diversity,GBF,1,Biodiversity,Genetic Diversity,NA,NA,loss of phylogenetic diversity,GBF_CY_GA_173
Expected loss of Phylogenetic Diversity,GBF,1,Biodiversity,Genetic Diversity,NA,NA,loss of phylogenetic diversity,GBF_CY_GB_179
Proportion of populations maintained within species,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,proportion of populations maintained within species,GBF_CY_GA_174
Free flowing rivers,GBF,NA,Ecosystems,State Of Ecosystems (Freshwater/Coastal),NA,NA,free flowing rivers,"GBF_CY_GA_175,GBF_CY_T2_242"
Levels of poverty in biodiversity depended communities,GBF,NA,Human Assets,Income,NA,State Of Economy,levels of poverty in biodiversity depended communities,GBF_CY_GB_176
Number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA,number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,GBF_CY_GB_178
Red List Index (pollinating species),GBF,1,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution,red list index (pollinators),"GBF_CY_GB_180,GBF_CY_T10_317"
Green status index (pollinators),GBF,NA,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution,green status index (pollinators),GBF_CY_GB_181
Air quality index,GBF,NA,Ecosystems,Abiotic Conditions,Human Well-Being,Healthy Living Conditions,air quality index,GBF_CY_GB_182
Air pollution emissions account,GBF,NA,Direct Drivers,Pollution,NA,NA,air pollution emissions account,GBF_CY_GB_183
Zoonotic disease in wildlife,GBF,NA,Direct Drivers,(Infectious) Diseases,NA,NA,zoonotic disease in wildlife,GBF_CY_GB_184
