indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,ipbes,Categories,Categories_2,Subcategories,Subcategories_2,usage,assess
biodiversity barometer (% of respondents giving correct definition of biodiversity),NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on biodiversity,NA,1,ga
biodiversity barometer (% of respondents that have heard of biodiversity),NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,Information on biodiversity,NA,1,ga
biodiversity habitat index,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,1,ga
biodiversity habitat index (hotspots),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
biodiversity in poverty reduction strategies,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature-based legislation,NA,1,va
biodiversity intactness index,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,3,ga
biodiversity intactness index,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,3,va
biodiversity intactness index,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,3,geo
biodiversity intactness index (for plants and vertebrates),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
biodiversity intactness index (hotspots),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
biodiversity intactness index (indigenous lands),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
"biodiversity intactness index (tropical forest, hotspots)",NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
"biodiversity intactness index (tropical forest, indigenous lands)",NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
biodiversity intactness index (tropical forest),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
"biodiversity with high potential for having bioactive principles for medicines or represent genetic resources useful for medicines agriculture or other purposes, that have been identified locally through ilk or by other knowledge systems at global levels for health treatments or other purposes (agriculture or other)",NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
biofuel production,1,NA,NA,NA,NA,NA,NA,1,NA,Ecosystem services,NA,Nature contribution,NA,1,geo
biofuel yield in joules or liters,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
"biofuel yield in joules or liters from agricultural/horticultural residue, forestry industry residue, other organic residues or by-products from various industries/process",NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
biofuel yield in joules or liters from industrial effluents and/or municipal solid waste,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
biofuel yield joules or liters from algal/microalgae biomass,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
biological pump efficiency,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
biomass abundance,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
biomass changes,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Change in biodiversity,NA,1,ga
biomass estimates in forests,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (integrity),NA,1,ga
biomass of prey fish,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
biomass turnover rate,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Change in biodiversity,NA,1,ga
biophysical inventories of biodiversity and ecosystem services,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
"biotic mediation of air-surface-groundwater partitioning (water demand by vegetation, infiltration)",NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
biotic productivity,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
biotime species richness indicator,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
biotime-local species richness,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
bird species per grid cell,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
blood pressure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
blue water sustainability index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
body condition,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,sua
body fat,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,sua
body mass index,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
buffer zones to protect catchment areas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
build up area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
business operations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
c pool,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
caloric intake,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
calorie intake,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
capacity of ecosystem to filter (or add) constituent components (extent of vegetation),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Ecosystem services,State of ecosystems (coverage),Nature contribution,1,ga
carbon sequestration,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
carbon stocks in ecosystems,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
"care, mental health, cultural security, life-satisfaction",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
catch per unit effort,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
catch per unit per effort,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
certified forest area,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,1,ga
change in extent of wetlands and inland water bodies,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Change in ecosystems,NA,1,ga
change in mean fish size,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Change in biodiversity,NA,1,ga
change in terrestrial biomass,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Change in biodiversity,NA,1,ga
change in the extent of water-related ecosystems over time,1,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,State of ecosystems,Change in ecosystems,1,sua
change in water-use efficiency over time,1,1,NA,NA,NA,NA,NA,1,1,Human assets,NA,Infrastructure (build-up area),NA,1,sua
"changes in terrestrial, marine and freshwater vertebrate populations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
changing range of wild species,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
chemical contaminants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
child mortality,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,ga
child mortality,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,geo
child mortality rate,NA,NA,NA,NA,NA,NA,NA,NA,1,Human well-being,Human assets,Healthy living conditions,Information on society and socio-economics,1,ga
childhood undernutrition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
cites parties that have implemented relevant resolutions and decisions,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
city biodiversity index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,ga
city biodiversity index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,geo
climate related loss events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
climate risk index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
climatic impact index,1,NA,NA,NA,NA,NA,NA,1,1,Direct drivers,NA,Climate change,NA,1,ga
climatic impact index for birds,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,biodiversity,Climate change,Change in biodiversity,1,ga
co2 concentration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
co2 emission per unit of value added,1,1,NA,NA,NA,NA,NA,1,1,Direct drivers,NA,Climate change,NA,1,sua
co2 emissions,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
co2 removal from atmosphere,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,Direct drivers,Nature contribution,Climate change,1,ga
coastal carbon-rich habitat,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
coastal forest distribution and extent,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,State of ecosystems (coverage),1,ga
coastal protection,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
coastal protection habitats,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,NA,1,ga
commercial trade in wild-collected specimens,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,sua
commodity index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
community awareness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
community-weighted mean trait value (cwm),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
companies with policies for biodiversity-friendly practices,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
complete phase-out of biomass use for cooking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
concentration of air pollutants in the air,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA,1,ga
concentration of constituents (pollutants) in the water,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Pollution,NA,1,ga
concentration of greenhouse gases in the atmosphere,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Climate change,NA,1,ga
condition and size of wild animals,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
connection to land,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
connection to sea,NA,NA,NA,NA,NA,NA,NA,NA,1,Knowledge systems,NA,ILK,NA,1,ga
container port traffic (teu: 20 foot equivalent units),NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Infrastructure (build-up area),NA,1,ga
convention of fishing and conservation of the living resources of the high seas,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,National/international cooperation,NA,1,ga
convention on biological diversity,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,National/international cooperation,NA,1,ga
convention on the conservation of antarctic marine living resources,NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,National/international cooperation,NA,1,ga
coral bleaching,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geo
coral reefs distribution and extent,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,State of ecosystems (marine),1,ga
coral solid units (number/year),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
cork (kg),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
correlation between high cultural diversity and areas of high biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
corruption perception index,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
cost reduction associated to prevented deaths caused by air pollution as consequence of ecosystems’ deposition of air pollutants,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
cost reduction with healthcare resulted from ecosystem contributions to air quality,NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,1,ga
costs associated with maintaining ncps of past or future projects,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
costs associated with protecting nature and biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,va
cotton (t/ha),NA,NA,NA,NA,NA,NA,NA,NA,1,Ecosystem services,NA,Nature contribution,NA,1,ga
coverage by protected areas of important sites for mountain biodiversity,NA,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,Area conservation,NA,2,ga
coverage by protected areas of important sites for mountain biodiversity,NA,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,Area conservation,NA,2,sua
coverage of fisheries with management measures to reduce bycatch and discards,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,ga
coverage of protected areas in relation to marine areas,NA,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,Area conservation,NA,2,sua
coverage of protected areas in relation to marine areas,NA,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,Area conservation,NA,2,geo
creation of new rural urban network,NA,NA,NA,NA,NA,NA,NA,NA,1,Human assets,NA,Infrastructure (build-up area),NA,1,ga
"credit to agriculture, forestry and fishing",NA,NA,NA,NA,NA,NA,NA,NA,1,Governance,NA,Nature detrimental legislation,NA,1,ga
crop production breaks caused by climate change,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Climate change,NA,1,ga
