indicator_harmonized,indic_ids,sources,policy,Categories,Categories_2,Subcategories,Subcategories_2,source,mea
advanced malaria control,GEO_22_21_257,GEO,0,Human well-being,Direct drivers,Healthy living conditions,(Infectious) diseases,GEO,FALSE
adverse changes in woody or shrubby vegetation,GA_2.2_81_123,IPBES,0,ecosystems,NA,Change in ecosystems,NA,IPBES,FALSE
adverse changes of unpalatable species,GA_2.2_81_123,IPBES,0,biodiversity,NA,Change in biodiversity,NA,IPBES,FALSE
aerosol abundance,IPCC_2_24_45,IPCC,0,Direct drivers,NA,Pollution,NA,IPCC,FALSE
aerosol changes,IPCC_3_17_173,IPCC,0,Direct drivers,NA,Climate change,NA,IPCC,FALSE
aerosol index,IPCC_7_29_329,IPCC,0,Direct drivers,NA,Pollution,NA,IPCC,FALSE
age-standardized prevalence of current tobacco use among persons aged 15 years and older,SDG_G3.a.1_49,SDG,1,Human assets,Knowledge systems,Coverage of basic needs,Information on society and socio-economics,SDG,TRUE
aggregated total applied toxicity,GBF_T7_H_25,GBF,1,Direct drivers,NA,Pollution,NA,GBF,TRUE
agricultural emissions from different farming sectors,GEO_17_11_203,GEO,0,Direct drivers,NA,Pollution,NA,GEO,FALSE
agricultural employment and landholders,GEO_3_10_20,GEO,0,Human assets,NA,Income,NA,GEO,FALSE
agricultural export subsidies,SDG_G2.b.1_26;IPBES_SUA_sup_2.b.1_24,SDG;IPBES,1,Governance,NA,Legislation/governance,NA,SDG,TRUE
agricultural export subsidies,SDG_G2.b.1_26;IPBES_SUA_sup_2.b.1_24,SDG;IPBES,1,Governance,NA,Legislation/governance,NA,IPBES,FALSE
agricultural land,IPBES_GA2.1_sup_30,IPBES,0,Direct drivers,Ecosystem services,Land conversion,Nature contribution,IPBES,FALSE
agricultural water withdrawal,IPBES_GA2.1_sup_58,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
agriculture orientation index for government expenditures,SDG_G2.a.1_24;IPBES_SUA_sup_2.a.1_22,SDG;IPBES,1,Direct drivers,NA,Land conversion,NA,SDG,TRUE
agriculture orientation index for government expenditures,SDG_G2.a.1_24;IPBES_SUA_sup_2.a.1_22,SDG;IPBES,1,Direct drivers,NA,Land conversion,NA,IPBES,FALSE
agriculture-based materials produced (tons),GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
agro-biodiversity,GEO_23_24_262,GEO,0,biodiversity,NA,State of biodiversity,NA,GEO,FALSE
agrobiodiversity index,GBF_T10_CY_193,GBF,1,Ecosystem services,biodiversity,Nature contribution,State of biodiversity,GBF,TRUE
aid for trade commitments and disbursements,SDG_G8.a.1_115;IPBES_SUA_sup_8.a.1_57,SDG;IPBES,1,Governance,NA,Nature-based funding,NA,SDG,TRUE
aid for trade commitments and disbursements,SDG_G8.a.1_115;IPBES_SUA_sup_8.a.1_57,SDG;IPBES,1,Governance,NA,Nature-based funding,NA,IPBES,FALSE
air departures,IPBES_GA2.1_sup_39,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA,IPBES,FALSE
air emission accounts,GBF_T11_CY_199,GBF,1,Direct drivers,NA,Climate change,NA,GBF,TRUE
air moisture,IPCC_2_52_82,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
air passengers,IPBES_GA2.1_sup_38,IPBES,0,Direct drivers,Direct drivers,Pollution,Invasive alien species,IPBES,FALSE
air pollution,GA_2_83_42;IPBES_GA2.1_sup_44,IPBES,0,Direct drivers,NA,Pollution,NA,IPBES,FALSE
air pollution emissions account,GBF_GB_CY_62,GBF,1,Direct drivers,NA,Pollution,NA,GBF,TRUE
air pollution exposure,GEO_5_19_45,GEO,0,Direct drivers,NA,Pollution,NA,GEO,FALSE
air quality,GA_3_123_420;GEO_20_6_228,IPBES;GEO,0,ecosystems,NA,Abiotic conditions,NA,IPBES,FALSE
air quality,GA_3_123_420;GEO_20_6_228,IPBES;GEO,0,ecosystems,NA,Abiotic conditions,NA,GEO,FALSE
air quality index,GBF_GB_CY_61;GEO_12_12_111,GBF;GEO,1,ecosystems,Human well-being,Abiotic conditions,Healthy living conditions,GBF,TRUE
air quality index,GBF_GB_CY_61;GEO_12_12_111,GBF;GEO,1,ecosystems,Human well-being,Abiotic conditions,Healthy living conditions,GEO,FALSE
alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol,SDG_G3.5.2_40,SDG,1,Human assets,NA,Coverage of basic needs,NA,SDG,TRUE
alcohol use,GEO_21_17_251,GEO,0,Human well-being,Human well-being,Healthy living conditions,Recreation,GEO,FALSE
alien species,GA_2_118_47,IPBES,0,biodiversity,NA,Invasive alien species,NA,IPBES,FALSE
alien species occurrence,IAS_6_114_165,IPBES,0,Direct drivers,NA,Invasive alien species,NA,IPBES,FALSE
alien species richness,GA_2_83_42;IAS_3_8_84,IPBES,0,biodiversity,biodiversity,Invasive alien species,State of biodiversity,IPBES,FALSE
altering of the carbon and biogeochemical cycles,GEO_2_26_7,GEO,0,ecosystems,NA,Abiotic conditions,NA,GEO,FALSE
alternative and nuclear energy (percentage of total energy use),IPBES_GA2.1_sup_16,IPBES,0,Human assets,Ecosystem services,Infrastructure (build-up area),Specific mention of sustainable use of species/ecosystems,IPBES,FALSE
amend policies that lead to destruction of mangroves,GEO_17_8_200,GEO,0,Governance,NA,Nature detrimental legislation,NA,GEO,FALSE
amoc,IPCC_1_70_30,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
amount and composition of biodiversity-related finance reported to the oecd creditor reporting system,GBF_T19_CY_239,GBF,1,Governance,NA,Nature-based legislation,NA,GBF,TRUE
amount in united states dollars committed to public-private partnerships for infrastructure,SDG_G17.17.1_254;IPBES_SUA_sup_17.17.1_153,SDG;IPBES,1,Human assets,NA,Infrastructure (build-up area),NA,SDG,TRUE
amount in united states dollars committed to public-private partnerships for infrastructure,SDG_G17.17.1_254;IPBES_SUA_sup_17.17.1_153,SDG;IPBES,1,Human assets,NA,Infrastructure (build-up area),NA,IPBES,FALSE
amount of biodiversity-related philanthropic funding,GBF_T19_CY_242,GBF,1,Governance,NA,Nature-based funding,NA,GBF,TRUE
amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),GBF_T18_CY_236;SDG_G12.c.1_174;IPBES_SUA_sup_12.c.1_101,GBF;SDG;IPBES,1,Governance,NA,Nature detrimental legislation,NA,GBF,TRUE
amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),GBF_T18_CY_236;SDG_G12.c.1_174;IPBES_SUA_sup_12.c.1_101,GBF;SDG;IPBES,1,Governance,NA,Nature detrimental legislation,NA,SDG,TRUE
amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),GBF_T18_CY_236;SDG_G12.c.1_174;IPBES_SUA_sup_12.c.1_101,GBF;SDG;IPBES,1,Governance,NA,Nature detrimental legislation,NA,IPBES,FALSE
amount of funding provided through the global environment facility and allocated to the biodiversity focal area,GBF_T19_CY_237,GBF,1,Governance,NA,Nature-based funding,NA,GBF,TRUE
amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,SDG_G6.a.1_92;IPBES_SUA_sup_6.a.1_37,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA,SDG,TRUE
amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,SDG_G6.a.1_92;IPBES_SUA_sup_6.a.1_37,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA,IPBES,FALSE
amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,SDG_G13.a.1_181;IPBES_SUA_sup_13.a.1_108,SDG;IPBES,1,Human assets,NA,State of economy,NA,SDG,TRUE
amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,SDG_G13.a.1_181;IPBES_SUA_sup_13.a.1_108,SDG;IPBES,1,Human assets,NA,State of economy,NA,IPBES,FALSE
animal behavior,GA_2.3_40_140,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
annual count of days when precipitation is greater than or equal to 10 mm,IPCC_sup_24,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,IPCC,FALSE
annual count of days when precipitation is greater than or equal to 20 mm,IPCC_sup_25,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,IPCC,FALSE
annual count of days when precipitation is greater than or equal to 5 mm,IPCC_sup_23,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,IPCC,FALSE
annual count of days when precipitation is greater than or equal to 50 mm,IPCC_sup_26,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,IPCC,FALSE
annual global mean surface temperature,GEO_2_26_7,GEO,0,ecosystems,NA,Abiotic conditions,NA,GEO,FALSE
annual growth rate of real gross domestic product,SDG_G8.1.1_100;IPBES_SUA_sup_8.1.1_44,SDG;IPBES,1,Human assets,NA,Income,NA,SDG,TRUE
annual growth rate of real gross domestic product,SDG_G8.1.1_100;IPBES_SUA_sup_8.1.1_44,SDG;IPBES,1,Human assets,NA,Income,NA,IPBES,FALSE
annual growth rate of real gross domestic product per employed person,SDG_G8.2.1_101;IPBES_SUA_sup_8.2.1_45,SDG;IPBES,1,Human assets,NA,Income,NA,SDG,TRUE
annual growth rate of real gross domestic product per employed person,SDG_G8.2.1_101;IPBES_SUA_sup_8.2.1_45,SDG;IPBES,1,Human assets,NA,Income,NA,IPBES,FALSE
annual gsat change,IPCC_1_50_21,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
annual ice volume,IPCC_1_50_21,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
annual mean levels of fine particulate matter in cities,GBF_T11_C_51;SDG_G11.6.2_153;IPBES_SUA_sup_11.6.2_83,GBF;SDG;IPBES,1,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity),GBF,TRUE
annual mean levels of fine particulate matter in cities,GBF_T11_C_51;SDG_G11.6.2_153;IPBES_SUA_sup_11.6.2_83,GBF;SDG;IPBES,1,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity),SDG,TRUE
annual mean levels of fine particulate matter in cities,GBF_T11_C_51;SDG_G11.6.2_153;IPBES_SUA_sup_11.6.2_83,GBF;SDG;IPBES,1,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity),IPBES,FALSE
annual mean wind speed,IPCC_sup_50,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
annual precipitation amount when the daily precipitation exceeds the 99th percentile of the wet-day precipitation,IPCC_sup_30,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,IPCC,FALSE
annual precipitation from daily precipitation > 95th percentile (r95p),IPCC_11_53_541,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
annual rate of net forest loss,GA_3_27_356;GA_3_27_356,IPBES,0,ecosystems,NA,Change in ecosystems,NA,IPBES,FALSE
annual total precipitation when the daily precipitation exceeds the 95th percentile of the wet-day (>1 mm) precipitation,IPCC_sup_29,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,IPCC,FALSE
annual tropical primary tree cover loss,GBF_T2_CY_118,GBF,1,ecosystems,NA,Change in ecosystems,NA,GBF,TRUE
annular mode index,IPCC_4_51_251,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
antarctic ice cores,IPCC_1_13_4,IPCC,0,ecosystems,Direct drivers,State of ecosystems,Climate change,IPCC,FALSE
antarctic ice sheet loss,IPCC_7_55_334,IPCC,0,ecosystems,NA,Change in ecosystems,NA,IPCC,FALSE
anthropogenic emissions of long-lived greenhouse gases (co2 equivalents),GEO_12_15_115,GEO,0,Direct drivers,NA,Pollution,NA,GEO,FALSE
anthropogenic emissions of long-lived greenhouse gases (ghg emissions),GEO_12_18_121,GEO,0,Direct drivers,NA,Pollution,NA,GEO,FALSE
antimicrobial resistence in pathogens,GEO_4_15_35,GEO,0,biodiversity,NA,State of biodiversity,NA,GEO,FALSE
appearance of new grass in grazing areas,VA_3_6_54,IPBES,0,Knowledge systems,NA,ILK,NA,IPBES,FALSE
arctic sea ice area,IPCC_4_7_219;IPCC_9_37_433,IPCC,0,ecosystems,NA,State of ecosystems,NA,IPCC,FALSE
arctic species trend index,GA_3_169_443;GEO_6_24_60,IPBES;GEO,0,biodiversity,NA,Change in biodiversity,NA,IPBES,FALSE
arctic species trend index,GA_3_169_443;GEO_6_24_60,IPBES;GEO,0,biodiversity,NA,Change in biodiversity,NA,GEO,FALSE
"area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values",SUA_2_92_69,IPBES,0,Knowledge systems,Knowledge systems,Specific information on ILK and IPLC,Specific information on human-nature relationship,IPBES,FALSE
area and percent of forests used for subsistence purposes,SUA_2_92_69,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
area of agricultural land under conservation,GA_1_52_19;GA_3_15_329;IPBES_GA3_sup_28,IPBES,0,ecosystems,Direct drivers,Area conservation,Land conversion,IPBES,FALSE
area of agricultural land under organic production,GA_3_15_329;IPBES_GA2.1_sup_34;IPBES_GA3_sup_27,IPBES,0,Direct drivers,Ecosystem services,Land conversion,Nature contribution,IPBES,FALSE
area of floodplain wetlands,GA_2.3_39_137,IPBES,0,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
area of forest under sustainable management,GBF_T10_C_47;GA_3_72_395;IPBES_GA3_sup_29,GBF;IPBES,1,Ecosystem services,Governance,Specific mention of sustainable use of species/ecosystems,Nature-based legislation,GBF,TRUE
area of forest under sustainable management,GBF_T10_C_47;GA_3_72_395;IPBES_GA3_sup_29,GBF;IPBES,1,Ecosystem services,Governance,Specific mention of sustainable use of species/ecosystems,Nature-based legislation,IPBES,FALSE
area of natural and traditional landscapes and seascapes,GA_2.3_42_143,IPBES,0,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
area under restoration,GBF_T2_H_17,GBF,1,ecosystems,NA,Restoration efforts,NA,GBF,TRUE
areas below calcium carbonate saturation thresholds,IPCC_12_24_615,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
arrival of new native and alien species,GA_2.2_6_56,IPBES,0,Direct drivers,NA,Invasive alien species,NA,IPBES,FALSE
associated species,SUA_2_96_79,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
atlantic meridional overturning circulation (amoc),IPCC_2_69_110;IPCC_4_8_220;IPCC_4_18_229,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
atlantic multi-decadal variability (amv) index,IPCC_2_90_158;IPCC_3_83_210;IPCC_10_58_493,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
atmosphere-land co2 fluxes,IPCC_3_64_190,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
atmospheric co2 concentrations,IPCC_1_16_6;IPCC_1_92_33;IPCC_2_81_132;IPCC_3_64_190,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
atmospheric dust deposition,IPCC_2_43_71,IPCC,0,Direct drivers,NA,Pollution,NA,IPCC,FALSE
atmospheric evaporative demand (aed),IPCC_11_60_547,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
atmospheric internal variability,IPCC_8_88_422,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
atmospheric inversions,IPCC_5_40_281,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
average conservation status,GA_4_158_230,IPBES,0,biodiversity,NA,Species conservation,NA,IPBES,FALSE
"average hourly earnings of employees, by sex, age, occupation and persons with disabilities",SDG_G8.5.1_105;IPBES_SUA_sup_8.5.1_49,SDG;IPBES,1,Human assets,NA,Income,NA,SDG,TRUE
"average hourly earnings of employees, by sex, age, occupation and persons with disabilities",SDG_G8.5.1_105;IPBES_SUA_sup_8.5.1_49,SDG;IPBES,1,Human assets,NA,Income,NA,IPBES,FALSE
"average income of small-scale food producers, by sex and indigenous status",GBF_T10_C_48;SDG_G2.3.2_20;IPBES_SUA_sup_2.3.2_18,GBF;SDG;IPBES,1,Human assets,NA,Income,NA,GBF,TRUE
"average income of small-scale food producers, by sex and indigenous status",GBF_T10_C_48;SDG_G2.3.2_20;IPBES_SUA_sup_2.3.2_18,GBF;SDG;IPBES,1,Human assets,NA,Income,NA,SDG,TRUE
"average income of small-scale food producers, by sex and indigenous status",GBF_T10_C_48;SDG_G2.3.2_20;IPBES_SUA_sup_2.3.2_18,GBF;SDG;IPBES,1,Human assets,NA,Income,NA,IPBES,FALSE
average marine acidity (ph) measured at agreed suite of representative sampling stations,SDG_G14.3.1_186;IPBES_SUA_sup_14.3.1_113,SDG;IPBES,1,ecosystems,Direct drivers,State of ecosystems (marine),Climate change,SDG,TRUE
average marine acidity (ph) measured at agreed suite of representative sampling stations,SDG_G14.3.1_186;IPBES_SUA_sup_14.3.1_113,SDG;IPBES,1,ecosystems,Direct drivers,State of ecosystems (marine),Climate change,IPBES,FALSE
average number of years of schooling,GA_2_25_31,IPBES,0,Human assets,NA,Coverage of basic needs,NA,IPBES,FALSE
average share of the built-up area of cities that is green/blue space for public use for all,GBF_T12_H_33,GBF,1,Human well-being,NA,Healthy living conditions,NA,GBF,TRUE
"average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",SDG_G11.7.1_154,SDG,1,Human assets,NA,Infrastructure (build-up area),NA,SDG,TRUE
avoided costs from air pollution,GA_2.3_42_143,IPBES,0,Governance,Direct drivers,Legislation/governance,Pollution,IPBES,FALSE
avoided morbidity and premature mortality from air pollution,GA_2.3_42_143,IPBES,0,Human well-being,Direct drivers,Healthy living conditions,Pollution,IPBES,FALSE
avoided water treatment costs,GA_2.3_42_143,IPBES,0,Human assets,NA,NA,NA,IPBES,FALSE
bare area,GA_2.3_39_137,IPBES,0,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
beach erosion volume due to the 100-year recurrence storm wave height,IPCC_12_20_606,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,IPCC,FALSE
beach litter,GEO_14_14_151;GEO_14_15_152,GEO,0,Direct drivers,NA,Pollution,NA,GEO,FALSE
bedrock topography,IPCC_9_48_440,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
beef consumption,GEO_22_8_255,GEO,0,Human well-being,NA,Healthy living conditions,NA,GEO,FALSE
"behavior of animals with importance as food, changes in crop phenology",GA_2.3_22_127,IPBES,0,Ecosystem services,biodiversity,Nature contribution,Change in biodiversity,IPBES,FALSE
benefits derived from healthy ecosystems and costs caused by its depletion,VA_2_38_28,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
benefits from the sustainable use of wild species,GBF_T9_H_27,GBF,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,GBF,TRUE
benthich isotopes,IPCC_2_28_57,IPCC,0,ecosystems,NA,Abiotic conditions,NA,IPCC,FALSE
better life index,GA_1_52_19,IPBES,0,Human well-being,Human well-being,Healthy living conditions,Wellness,IPBES,FALSE
biocapacity,GEO_13_19_143,GEO,0,Ecosystem services,NA,Nature contribution,NA,GEO,FALSE
biochemical oxygen demand (bod),GA_3_74_399,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
bioclimatic ecosystem resilience index (beri),GBF_T8_C_43;GBF_GA_CY_27;GBF_T2_CY_123,GBF,1,ecosystems,NA,State of biodiversity,NA,GBF,TRUE
biodiversity barometer (percentage of respondents giving correct definition of biodiversity),GA_3_15_329;IPBES_GA3_sup_2,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA,IPBES,FALSE
biodiversity barometer (percentage of respondents that have heard of biodiversity),GA_3_15_329;IPBES_GA3_sup_1,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA,IPBES,FALSE
biodiversity habitat index,GBF_GA_C_4;GBF_GA_CY_25;GBF_T2_CY_126;GA_1_52_19;GA_2.2_37_70;GA_2.2_39_75;GA_2.2_52_95;IPBES_GA2.2_sup_2;IPBES_GA2.2_sup_3,GBF;IPBES,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
biodiversity habitat index,GBF_GA_C_4;GBF_GA_CY_25;GBF_T2_CY_126;GA_1_52_19;GA_2.2_37_70;GA_2.2_39_75;GA_2.2_52_95;IPBES_GA2.2_sup_2;IPBES_GA2.2_sup_3,GBF;IPBES,1,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
biodiversity habitat index (species persisting),IPBES_GA2.2_sup_55,IPBES,0,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
"biodiversity habitat index (species persisting, hotspots)",IPBES_GA2.2_sup_54,IPBES,0,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
biodiversity in poverty reduction strategies,VA_4_28_109,IPBES,0,Governance,NA,Nature-based legislation,NA,IPBES,FALSE
biodiversity intactness index,GBF_GA_CY_30;GA_1_52_19;GA_2_117_46;GA_2.2_45_87;GA_2.2_46_88;GA_2.3_42_143;GA_5_10_235;VA_3_26_59;GEO_6_16_55;GEO_6_17_57;IPBES_GA2.2_sup_39,GBF;IPBES;GEO,1,biodiversity,NA,State of biodiversity,NA,GBF,TRUE
biodiversity intactness index,GBF_GA_CY_30;GA_1_52_19;GA_2_117_46;GA_2.2_45_87;GA_2.2_46_88;GA_2.3_42_143;GA_5_10_235;VA_3_26_59;GEO_6_16_55;GEO_6_17_57;IPBES_GA2.2_sup_39,GBF;IPBES;GEO,1,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
biodiversity intactness index,GBF_GA_CY_30;GA_1_52_19;GA_2_117_46;GA_2.2_45_87;GA_2.2_46_88;GA_2.3_42_143;GA_5_10_235;VA_3_26_59;GEO_6_16_55;GEO_6_17_57;IPBES_GA2.2_sup_39,GBF;IPBES;GEO,1,biodiversity,NA,State of biodiversity,NA,GEO,FALSE
biodiversity intactness index (hotspots),IPBES_GA2.2_sup_37,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
biodiversity intactness index (indigenous lands),IPBES_GA2.2_sup_38,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
biodiversity intactness index (tropical forest),GA_2.2_37_70;IPBES_GA2.2_sup_47,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
"biodiversity intactness index (tropical forest, hotspots)",GA_2.2_37_70;IPBES_GA2.2_sup_45,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
"biodiversity intactness index (tropical forest, indigenous lands)",GA_2.2_37_70;IPBES_GA2.2_sup_46,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
biofuel production,GBF_GB_CY_74;GEO_8_26_75,GBF;GEO,1,Ecosystem services,NA,Nature contribution,NA,GBF,TRUE
biofuel production,GBF_GB_CY_74;GEO_8_26_75,GBF;GEO,1,Ecosystem services,NA,Nature contribution,NA,GEO,FALSE
biological pump efficiency,GA_2.2_37_70;IPBES_GA2.2_sup_28,IPBES,0,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,IPBES,FALSE
biomass abundance,GA_4_34_176,IPBES,0,ecosystems,NA,State of ecosystems,NA,IPBES,FALSE
biomass of prey fish,GA_2.2_1_50,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
biomass of selected natural ecosystems,GBF_GA_CY_24,GBF,1,ecosystems,NA,State of ecosystems,NA,GBF,TRUE
biomass turnover rate,GA_2.2_37_70;IPBES_GA2.2_sup_29,IPBES,0,biodiversity,NA,Change in biodiversity,NA,IPBES,FALSE
biophysical inventories of biodiversity and ecosystem services,VA_4_28_109,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
biotic productivity,GA_2.3_56_155,IPBES,0,Ecosystem services,NA,Nature contribution,NA,IPBES,FALSE
biotime species richness indicator,GA_2.2_45_85,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
biotime-local species richness,GA_1_52_19,IPBES,0,biodiversity,NA,State of biodiversity,NA,IPBES,FALSE
