indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,indic_id,ipcc_sup,ga_sup,sua_sup,indic
river fragmentation index,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
dendritic connectivity index,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
percentage of threatened species that are improving in status,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of threatened species by species group,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
wild bird index,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
mean species abundance (msa),1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
changes in plankton biomass and abundance,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
fish abundance and biomass,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
genetic scorecard for wild species,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
species richness,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
local species richness (predicts),1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
marine species richness,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
comprehensiveness of conservation of socioeconomically as well as culturally valuable species,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
proportion of local breeds classified as being at risk of extinction,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
red list index (wild relatives of farmed and domesticated species),1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
cms connectivity indicator,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
intact wilderness,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
loss of phylogenetic diversity,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
proportion of populations maintained within species,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
free flowing rivers,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
levels of poverty in biodiversity depended communities,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
red list index (pollinators),1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
green status index (pollinators),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
air quality index,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
air pollution emissions account,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
zoonotic disease in wildlife,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
climatic impact index,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
ocean acidification,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
eflow index,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
change in the quality of inland water ecosystems over time,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
change in the quality of coastal water ecosystems over time,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
level of erosion,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
biofuel production,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
fish catch potential,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
population involved in hunting and gathering,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
forestry production and trade (wood fuel),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
trends in the legal trade of medicinal plants,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
visitor management assessment,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
linguistic diversity index,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
trends of bilinguistic diversity and numbers of speakers of indigenous languages,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
cultural vitality index,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
unesco culture 2030 (multiple indicators),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
processes and tools to monitor the implementation of a right to a healthy environment,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
red list index (internationally traded species),1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
total number of internationally recognized certificates of compliance published in the abs clearing-house,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of checkpoint communiques published in the abs clearing-house,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of internationally recognized certificates of compliance for non-commercial purposes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
finance mobilized for capacity-building,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"financial and technical assistance provided in dollars (including through south-south, northsouth and triangular cooperation)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of scientists per population,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
nationally maintained research vessels,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
proportion of total research budget allocated to research in the field of marine technology,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
volume of official development assistance flows for scholarships by sector and type of study,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
number of countries using natural capital accounts in planning processes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
percentage of spatial plans utilizing information on key biodiversity areas,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
habitat patches located within marine protected areas or integrated coastal zone management (iczm),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of countries using ocean accounts in planning processes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
proportion of transboundary basin area with an operational arrangement for water cooperation,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
percent of total land area that is under cultivation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation would work here for ips (not necessarily lcs), if spatial planning was substituted for conservation",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
habitat distributional range,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
increase in secondary natural forest cover,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
annual tropical primary tree cover loss,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
global ecosystem restoration index,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
percentage of cropped landscapes with at least 10 % natural land,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
status of key biodiversity areas,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"protected area downgrading, downsizing and degazettement (pd)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
iucn green list of protected and conserved areas,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
protected area and oecm management effectiveness (mepca) indicator,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
protected area isolation index (pai),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
protected areas network metric (pronet),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
extent to which protected areas and other effective area-based conservation measures (oecms) cover key biodiversity areas that are important for migratory species,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
coverage of protected areas and oecms and traditional territories (by governance type),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
ramsar management effectiveness tracking tool (r-mett),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
percentage of biosphere reserves that have a positive conservation outcome and effective management,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
extent of indigenous peoples and local communities lands that have some form of recognition,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
species threat abatement and restoration metric,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
changing status of evolutionary distinct and globally endangered species (edge index),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of cms daughter agreements,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
sustainable watershed and inland fisheries index,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
red list index (internationally traded species and migratory species),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
marine stewardship council certified catch,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
total catch of cetaceans under international convention for the regulation of whaling,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
by catch of vulnerable and non-target species,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
proportion of legal and illegal wildlife trade consisting of species threatened with extinction,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
illegal trade by cites species classification,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of countries incorporating trade in their national biodiversity policy,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of msc chain of custody certification holders by distribution country,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with biotrade principles and/or cites requirements),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of invasive alien species in national lists as per the global register of introduced and invasive species,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
red list index (impacts of invasive alien species),1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
trends in loss of reactive nitrogen to the environment,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
trends in nitrogen deposition,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
municipal solid waste collected and managed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
hazardous waste generation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
trends in the amount of litter in the water column including microplastics and on the seafloor,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
plastic debris density,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
underwater noise pollution,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
pesticide use per area of cropland,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
above-ground biomass stock in forest,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
spawning stock biomass (related to commercially exploited species),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
agrobiodiversity index,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
soil organic carbon (soc) stocks,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
proportion of land that is degraded over total land area,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,1
air emission accounts,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
proportion of population using safely managed drinking water services,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
mortality rate attributed to household and ambient air pollution,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
total number of transfers of crop material from the multilateral system of the international treaty on plant genetic resources for food and agriculture (itpgrfa) received in a country,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"total number of permits, or their equivalent, granted for access to genetic resources",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the abs clearing-house",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
number of countries that require prior informed consent that have published information on abs procedures in the abs clearing-house,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
estimated percentage of monetary and non-monetary benefits directed towards conservation and sustainable use of biodiversity,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
human appropriation of net primary productivity,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
co2 emission per unit of value added,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
change in water-use efficiency over time,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
number of companies publishing sustainability reports,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
