indic_id,indicators,indicators_harmonized
CITES_1_7_2_16,"The number of Parties with a process or mechanism for reviewing their enforcement strategies, and the activities to implement their strategies","the number of parties with a process or mechanism for reviewing their enforcement strategies, and the activities to implement their strategies"
CITES_1_7_3_17,"The number of Parties that have criminal (penal) law and procedures and forensic capacity in place, and that use specialized investigation techniques, for investigating, prosecuting, and penalizing CITES offences","the number of parties that have criminal (penal) law and procedures and forensic capacity in place, and that use specialized investigation techniques, for investigating, prosecuting, and penalizing cites offences"
CITES_1_7_4_18,The number of Parties using risk assessment and intelligence to combat illegal trade in CITES-listed species,the number of parties using risk assessment and intelligence to combat illegal trade in cites-listed species
CITES_1_7_5_19,"The number of administrative measures, criminal prosecutions and other court actions for CITES-related offences","the number of administrative measures, criminal prosecutions and other court actions for cites-related offences"
CITES_1_8_1_20,"The number of Parties with national and regional training programmes and information resources in place to implement CITES including the making of non-detriment findings, issuance of permits and enforcement","the number of parties with national and regional training programmes and information resources in place to implement cites including the making of non-detriment findings, issuance of permits and enforcement"
CITES_2_1_1_21,The number of Parties meeting their obligations with regard to their assessed contributions to the Trust Fund,the number of parties meeting their obligations with regard to their assessed contributions to the trust fund
CITES_2_1_2_22,The percentage of the work programme agreed by the Conference of the Parties that is fully funded,the percentage of the work programme agreed by the conference of the parties that is fully funded
CITES_2_2_1_23,"The number of Parties with dedicated staff and funding for Management Authorities, Scientific Authorities and wildlife trade enforcement agencies","the number of parties with dedicated staff and funding for management authorities, scientific authorities and wildlife trade enforcement agencies"
CITES_2_2_2_24,"The number of Parties that have undertaken one or more of the following activities in the past two years increased the budget for activities; hired more staff; developed implementation tools; and purchased technical equipment for implementation, monitoring or enforcement","the number of parties that have undertaken one or more of the following activities in the past two years increased the budget for activities; hired more staff; developed implementation tools; and purchased technical equipment for implementation, monitoring or enforcement"
CITES_2_2_3_25,The number of Parties raising funds for CITES implementation through user fees or other mechanisms,the number of parties raising funds for cites implementation through user fees or other mechanisms
CITES_2_2_4_26,The number of Parties using incentive measures as part of their implementation of the Convention,the number of parties using incentive measures as part of their implementation of the convention
CITES_2_3_1_27,The number of capacity building activities mandated by Resolutions and Decisions that are fully funded,the number of capacity building activities mandated by resolutions and decisions that are fully funded
CITES_3_1_1_28,The number of Parties funded by international financial mechanisms and other related institutions to develop activities that include CITES-related conservation and sustainable development elements,the number of parties funded by international financial mechanisms and other related institutions to develop activities that include cites-related conservation and sustainable development elements
CITES_3_1_2_29,The number of countries and institutions that have provided additional funding from CITES Authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the Convention,the number of countries and institutions that have provided additional funding from cites authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the convention
CITES_3_2_1_30,The number of Parties that have been involved in CITES awareness raising activities to bring about better awareness by the wider public and relevant user groups of the Convention requirements,the number of parties that have been involved in cites awareness raising activities to bring about better awareness by the wider public and relevant user groups of the convention requirements
CITES_3_2_2_31,The number of visits to the CITES website,the number of visits to the cites website
CITES_3_2_3_32,The number of Parties with web pages on CITES and its requirements,the number of parties with web pages on cites and its requirements
CITES_3_3_1_33,"The number of Parties which report that they have achieved synergies in their implementation of CITES, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements","the number of parties which report that they have achieved synergies in their implementation of cites, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements"
CITES_3_3_2_34,"The number of biodiversity conservation or sustainable use projects, trade and development goals, or scientific and technical programmes that integrate CITES requirements","the number of biodiversity conservation or sustainable use projects, trade and development goals, or scientific and technical programmes that integrate cites requirements"
CITES_3_3_3_35,The number of Parties cooperating and/or collaborating with intergovernmental and non-governmental organizations to participate in and/or fund CITES workshops and other training and capacity-building activities,the number of parties cooperating and/or collaborating with intergovernmental and non-governmental organizations to participate in and/or fund cites workshops and other training and capacity-building activities
CITES_3_4_1_36,The conservation status of species listed on the CITES Appendices has stabilized or improved,the conservation status of species listed on the cites appendices has stabilized or improved
CITES_3_4_2_37,The number of Parties incorporating CITES into their National Biodiversity Strategy and Action Plan (NBSAP),the number of parties incorporating cites into their national biodiversity strategy and action plan (nbsap)
CITES_3_5_1_38,The number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade,the number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade
CITES_3_5_2_39,The number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade,the number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade
