sua_indicators,sua_id,indicators,indic_id,indicators_harmonized
13.a.1 Amounts provided and mobilized in United States dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,13_a_1,Amounts provided and mobilized in United States dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,SUAsup_13_a_1_117,amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025
"13.b.1 Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",13_b_1,"Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",SUAsup_13_b_1_118,"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change"
14.1.1 (a) Index of coastal eutrophication; and (b) plastic debris density,14_1_1_a,Index of coastal eutrophication,SUAsup_14_1_1_119,index of coastal eutrophication potential (icep)
14.1.1 (a) Index of coastal eutrophication; and (b) plastic debris density,14_1_1_b,plastic debris density,SUAsup_14_1_1_120,plastic debris density
14.2.1 Number of countries using ecosystem-based approaches to managing marine areas,14_2_1,Number of countries using ecosystem-based approaches to managing marine areas,SUAsup_14_2_1_121,number of countries using ecosystem-based approaches to managing marine areas
14.3.1 Average marine acidity (pH) measured at agreed suite of representative sampling stations,14_3_1,Average marine acidity (pH) measured at agreed suite of representative sampling stations,SUAsup_14_3_1_122,average marine acidity (ph) measured at agreed suite of representative sampling stations
14.4.1 Proportion of fish stocks within biologically sustainable levels,14_4_1,Proportion of fish stocks within biologically sustainable levels,SUAsup_14_4_1_123,proportion of fish stocks within biologically sustainable levels
14.5.1 Coverage of protected areas in relation to marine areas,14_5_1,Coverage of protected areas in relation to marine areas,SUAsup_14_5_1_124,coverage of protected areas in relation to marine areas
"14.6.1 Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",14_6_1,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",SUAsup_14_6_1_166,"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
"14.7.1 Sustainable fisheries as a proportion of GDP in small island developing States, least developed countries and all countries",14_7_1,"Sustainable fisheries as a proportion of GDP in small island developing States, least developed countries and all countries",SUAsup_14_7_1_125,"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries"
14.a.1 Proportion of total research budget allocated to research in the field of marine technology,14_a_1,Proportion of total research budget allocated to research in the field of marine technology,SUAsup_14_a_1_126,proportion of total research budget allocated to research in the field of marine technology
14.b.1 Degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,14_b_1,Degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,SUAsup_14_b_1_127,degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries
"14.c.1 Number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the United Nations Convention on the Law of the Sea, for the conservation and sustainable use of the oceans and their resources",14_c_1,"Number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the United Nations Convention on the Law of the Sea, for the conservation and sustainable use of the oceans and their resources",SUAsup_14_c_1_128,"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources"
15.1.1 Forest area as a proportion of total land area,15_1_1,Forest area as a proportion of total land area,SUAsup_15_1_1_129,forest area as a percentage of total land area
"15.1.2 Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",15_1_2,"Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",SUAsup_15_1_2_130,"proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type"
15.2.1 Progress towards sustainable forest management,15_2_1,Progress towards sustainable forest management,SUAsup_15_2_1_131,progress towards sustainable forest management
15.3.1 Proportion of land that is degraded over total land area,15_3_1,Proportion of land that is degraded over total land area,SUAsup_15_3_1_132,proportion of land that is degraded over total land area
15.4.1 Coverage by protected areas of important sites for mountain biodiversity,15_4_1,Coverage by protected areas of important sites for mountain biodiversity,SUAsup_15_4_1_133,coverage by protected areas of important sites for mountain biodiversity
15.4.2 Mountain Green Cover Index,15_4_2,Mountain Green Cover Index,SUAsup_15_4_2_134,mountain green cover index
15.5.1 Red List Index,15_5_1,Red List Index,SUAsup_15_5_1_135,red list index
"15.6.1 Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",15_6_1,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",SUAsup_15_6_1_136,"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits"
15.7.1 Proportion of traded wildlife that was poached or illicitly trafficked,15_7_1,Proportion of traded wildlife that was poached or illicitly trafficked,SUAsup_15_7_1_137,proportion of traded wildlife that was poached or illicitly trafficked
15.8.1 Proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,15_8_1,Proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,SUAsup_15_8_1_138,proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species
"15.9.1 (a) Number of countries that have established national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011–2020 in their national biodiversity strategy and action plans and the progress reported towards these targets; and (b) integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting",15_9_1_a,Number of countries that have established national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011–2020 in their national biodiversity strategy and action plans and the progress reported towards these targets,SUAsup_15_9_1_a_139,number of countries that have established national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020 in their national biodiversity strategy and action plans and the progress reported towards these targets
"15.9.1 (a) Number of countries that have established national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011–2020 in their national biodiversity strategy and action plans and the progress reported towards these targets; and (b) integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting",15_9_1_b,"integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting",SUAsup_15_9_1_b_140,"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting"
15.a.1 (a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,15_a_1_a,Official development assistance on conservation and sustainable use of biodiversity,SUAsup_15_a_1_a_141,official development assistance on conservation and sustainable use of biodiversity
15.a.1 (a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,15_a_1_b,revenue generated and finance mobilized from biodiversity-relevant economic instruments,SUAsup_15_a_1_b_142,revenue generated and finance mobilized from biodiversity-relevant economic instruments
15.b.1 (a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,15_b_1_a,Official development assistance on conservation and sustainable use of biodiversity,SUAsup_15_b_1_a_143,official development assistance on conservation and sustainable use of biodiversity
15.b.1 (a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,15_b_1_b,revenue generated and finance mobilized from biodiversity-relevant economic instruments,SUAsup_15_b_1_b_144,revenue generated and finance mobilized from biodiversity-relevant economic instruments
15.c.1 Proportion of traded wildlife that was poached or illicitly trafficked,15_c_1,Proportion of traded wildlife that was poached or illicitly trafficked,SUAsup_15_c_1_145,proportion of traded wildlife that was poached or illicitly trafficked
"17.1.1 Total government revenue as a proportion of GDP, by source",17_1_1,"Total government revenue as a proportion of GDP, by source",SUAsup_17_1_1_146,"total government revenue as a proportion of gross domestic product, by source"
17.1.2 Proportion of domestic budget funded by domestic taxes,17_1_2,Proportion of domestic budget funded by domestic taxes,SUAsup_17_1_2_147,proportion of domestic budget funded by domestic taxes
"17.2.1 Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)",17_2_1,"Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)",SUAsup_17_2_1_148,"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)"
"17.3.1 Foreign direct investment, official development assistance and South-South cooperation as a proportion of gross national income",17_3_1,"Foreign direct investment, official development assistance and South-South cooperation as a proportion of gross national income",SUAsup_17_3_1_149,"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget"
17.3.2 Volume of remittances (in United States dollars) as a proportion of total GDP,17_3_2,Volume of remittances (in United States dollars) as a proportion of total GDP,SUAsup_17_3_2_150,volume of remittances (in united states dollars) as a proportion of total gross domestic product
"17.5.1 Number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",17_5_1,"Number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",SUAsup_17_5_1_151,"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries"
"17.7.1 Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",17_7_1,"Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",SUAsup_17_7_1_152,"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies"
17.8.1 Proportion of individuals using the Internet,17_8_1,Proportion of individuals using the Internet,SUAsup_17_8_1_153,proportion of individuals using the internet
"17.9.1 Dollar value of financial and technical assistance (including through North-South, South‑South and triangular cooperation) committed to developing countries",17_9_1,"Dollar value of financial and technical assistance (including through North-South, South‑South and triangular cooperation) committed to developing countries",SUAsup_17_9_1_154,"dollar value of financial and technical assistance (including through north-south, south‑south and triangular cooperation) committed to developing countries"
17.10.1 Worldwide weighted tariff-average,17_10_1,Worldwide weighted tariff-average,SUAsup_17_10_1_155,worldwide weighted tariff-average
17.11.1 Developing countries’ and least developed countries’ share of global exports,17_11_1,Developing countries’ and least developed countries’ share of global exports,SUAsup_17_11_1_156,developing countries’ and least developed countries’ share of global exports
"17.12.1 Weighted average tariffs faced by developing countries, least developed countries and small island developing States",17_12_1,"Weighted average tariffs faced by developing countries, least developed countries and small island developing States",SUAsup_17_12_1_157,"weighted average tariffs faced by developing countries, least developed countries and small island developing states"
17.14.1 Number of countries with mechanisms in place to enhance policy coherence of sustainable development,17_14_1,Number of countries with mechanisms in place to enhance policy coherence of sustainable development,SUAsup_17_14_1_158,number of countries with mechanisms in place to enhance policy coherence of sustainable development
17.15.1 Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,17_15_1,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,SUAsup_17_15_1_159,extent of use of country-owned results frameworks and planning tools by providers of development cooperation
17.16.1 Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,17_16_1,Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,SUAsup_17_16_1_160,number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals
17.17.1 Amount in United States dollars committed to public-private partnerships for infrastructure,17_17_1,Amount in United States dollars committed to public-private partnerships for infrastructure,SUAsup_17_17_1_161,amount in united states dollars committed to public-private partnerships for infrastructure
17.18.1 Statistical capacity indicator for Sustainable Development Goal monitoring,17_18_1,Statistical capacity indicator for Sustainable Development Goal monitoring,SUAsup_17_18_1_162,statistical capacity indicator for sustainable development goal monitoring
17.18.2 Number of countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics,17_18_2,Number of countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics,SUAsup_17_18_2_163,number of countries that have national statistical legislation that complies with the fundamental principles of official statistics
"17.18.3 Number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",17_18_3,"Number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",SUAsup_17_18_3_164,"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding"
17.19.1 Dollar value of all resources made available to strengthen statistical capacity in developing countries,17_19_1,Dollar value of all resources made available to strengthen statistical capacity in developing countries,SUAsup_17_19_1_165,dollar value of all resources made available to strengthen statistical capacity in developing countries
