indicators_raw,gbf,ga,va,sua,sdg,ipbes,indicators_cleaned,indicators_harmonized,indicators_categorized,indicators_categorized2,duplicated_indicator
"adolescent birth rate (aged 10–14 years; aged 15–19 years) per 1,000 women in that age group",,,,,1,,adolescent birth rate,equity,equity and freedom of choice and action,wellness,FALSE
proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,,,,1,1,1,adults with an account at a financial institution,information on society,scientific knowledge,scientific knowledge,FALSE
affordable and clean energy,,1,,,,1,affordable and clean energy,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
age group,,,,1,,1,age group,information on society,scientific knowledge,scientific knowledge,FALSE
age-standardized prevalence of current tobacco use among persons aged 15 years and older,,,,,1,,age-standardized prevalence of current tobacco use among persons aged 15 years and older,access to health,health,wellness,FALSE
agreement on international humane trapping standards database,,,,1,,1,agreement on international humane trapping standards database,nature-based legislation,legislative arrangements,governance,FALSE
proportion of agricultural area under productive and sustainable agriculture,1,,,1,1,1,agricultural area,land conversion,land conversion,direct drivers,FALSE
area of agricultural land under conservaton agriculture,,1,,,,1,agricultural land under conservation,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
bamboos and rattans market value,,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
bark (kg),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
coral solid units (number/year),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
cork (kg),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
cotton (t/ha),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
dyes (kg),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
flax (t/ha/year)),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
grass/fodder (kg),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
gums (kg),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
hemp yields (t/ha/year),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
jute yields (t/ha/year),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
land suitability and extent of cotton producing area,,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
latexes (kg),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
market value,,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
oil (kg),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
ornamental plants sold units (number/yearor kg/year),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
pearls sold units (number/year),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
"production of industrial roundwood, paper pulps",,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
resins (kg),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
shell sold units (number/year),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
silk cocoons (t/hear),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
sisal yields (t/ha/year),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
"supply of fiber crops, resins, gum arabic",,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
tannins (kg),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
timber harvest (m3/ha/year),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
tonnage of cotton production,,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
trade of silk,,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
volume of round wood production,,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
waxes (kg),,1,,,,1,agricultural production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
agricultural export subsidies,,,,1,1,1,agricultural subsidies,anti-nature legislation,legislative arrangements,governance,FALSE
"credit to agriculture, forestry and fishing",,1,,,,1,agricultural subsidies,anti-nature legislation,legislative arrangements,governance,FALSE
world trade organization greenbox agricultureal subsidies,,1,,,,1,agricultural subsidies,anti-nature legislation,legislative arrangements,governance,FALSE
the agriculture orientation index for government expenditures,,,,1,1,1,agriculture orientation index for government expenditures,anti-nature legislation,legislative arrangements,governance,FALSE
agriculture-based materials produced,,1,,,,1,agriculture-based materials produced,nature contribution,ecosystem services,ecosystem services,FALSE
agrobiodiversity index,1,,,,,,agrobiodiversity index,state of biodiveristy,biodiversity,biodiversity,FALSE
agrodiversity and landraces known to date for major crops,,1,,,,1,agrodiversity,nature contribution,ecosystem services,ecosystem services,FALSE
biodiversity richness/ types of agroecosystems,,1,,,,1,agrodiversity,nature contribution,ecosystem services,ecosystem services,FALSE
aichi biodiversity targets,,,,1,,1,aichi biodiversity targets,species conservation,biodiversity,biodiversity,FALSE
aichi biodiversity targets (15 and 18),,1,,,,1,aichi biodiversity targets,species conservation,biodiversity,biodiversity,FALSE
cbd aichi targets,,,1,,,1,aichi biodiversity targets,species conservation,biodiversity,biodiversity,FALSE
aid for trade commitments and disbursements,,,,1,1,1,aid for trade commitments and disbursements,national/international cooperation,legislative arrangements,governance,FALSE
air pollution,,1,,,,1,air pollution,pollution,pollution,direct drivers,FALSE
concentration of air pollutants in the air,,1,,,,1,air pollution,pollution,pollution,direct drivers,FALSE
air emission accounts,1,,,,,,air pollution emissions account,pollution,pollution,direct drivers,FALSE
air pollution emissions account,1,,,,,,air pollution emissions account,pollution,pollution,direct drivers,FALSE
air quality,,1,,,,1,air quality,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
air quality index,1,,,,,,air quality,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
air quality regulation (indicated by leaf surface area and climate regulation),,1,,,,1,air quality regulation,nature contribution,ecosystem services,ecosystem services,FALSE
air-sea fluxes of other greenhouse gases such as dimethyl sulfide,,1,,,,1,air quality regulation,nature contribution,ecosystem services,ecosystem services,FALSE
amelioration of health problems caused by air pollution resulted from ecosystem contributions to air quality,,1,,,,1,air quality regulation,nature contribution,ecosystem services,ecosystem services,FALSE
cost reduction with healthcare resulted from ecosystem contributions to air quality,,1,,,,1,air quality regulation,nature contribution,ecosystem services,ecosystem services,FALSE
reduction in the number of deaths caused by air pollution reduction by ecosystems,,1,,,,1,air quality regulation,nature contribution,ecosystem services,ecosystem services,FALSE
retention and prevented emissions of air pollutants by ecosystems,,1,,,,1,air quality regulation,nature contribution,ecosystem services,ecosystem services,FALSE
vegetation-atmosphere co2 exchange,,1,,,,1,air quality regulation,nature contribution,ecosystem services,ecosystem services,FALSE
air temperature low-cost thermal imagery,,1,,,,1,air temperature,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol,,,,,1,,alcohol consumption,human consumption,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
alternative and nuclear energy (% of total energy use),,1,,,,1,alternative and nuclear energy,human consumption,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
amount and composition of biodiversity-related finance reported to the oecd creditor reporting system,1,,,,,,amount and composition of biodiversity-related finance reported to the oecd creditor reporting system,nature-based funding,legislative arrangements,governance,FALSE
amount of biodiversity-related philanthropic funding,1,,,,,,amount of biodiversity-related philanthropic funding,nature-based funding,legislative arrangements,governance,FALSE
amount of fossil-fuel subsidies per unit of gdp (production and consumption)i,,,,1,,1,amount of fossil-fuel subsidies,anti-nature legislation,legislative arrangements,governance,FALSE
amount of funding provided through the global environment facility and allocated to the biodiversity focal area,1,,,,,,amount of funding provided through the global environment facility and allocated to the biodiversity focal area,nature-based funding,legislative arrangements,governance,FALSE
animal behaviour,,1,,,,1,animal behaviour,state of biodiveristy,biodiversity,biodiversity,FALSE
animal individuals hunted yearly per country,,,,1,,1,animal individuals hunted yearly per country,nature contribution,ecosystem services,ecosystem services,FALSE
tonnage of animal waste used for energy,,1,,,,1,animal waste used for energy,monetary nature contribution,ecosystem services,ecosystem services,FALSE
annual growth rate of real gdp per capita,,,,1,1,1,annual growth rate of real gdp per capita,state of economy,financial assets,financial assets,FALSE
annual growth rate of real gdp per employed person,,,,1,1,1,annual growth rate of real gdp per employed person,state of economy,financial assets,financial assets,FALSE
annual mean levels of fine particulate matter in cities,1,,,,,,annual mean levels of fine particulate matter in cities,pollution,pollution,direct drivers,FALSE
"anthropogenic drivers of biodiversity loss including habitat loss, fisheries, agriculture, aquaculture and forestry, pollustion invasives",,1,,,,1,anthropogenic drivers of biodiversity loss,exploitation,exploitation,direct drivers,FALSE
aquaculture production,,1,,,,1,aquaculture production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
production of fish meal and fish oil use in aquaculture/animal feeds,,1,,,,1,aquaculture production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
quantity of fish produced for animal/aquaculture feed,,1,,,,1,aquaculture production,monetary nature contribution,ecosystem services,ecosystem services,FALSE
arable land remaining,,1,,,,1,arable land remaining,monetary nature contribution,ecosystem services,ecosystem services,FALSE
arctic species trend index,,1,,,,1,arctic species trend index,state of biodiveristy,biodiversity,biodiversity,FALSE
"area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values",,,,1,,1,area of forest under sustainable management,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
area of forest under fsc and pefc,,1,,,,1,area of forest under sustainable management,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
area of forest under fsc and pefc forest management certification,,1,,,,1,area of forest under sustainable management,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
area of forest under sustainable management: total forest management certification by forest stewardship council and programme for the endorsement of forest certification,1,,,,,,area of forest under sustainable management,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
area of forest under sustainable management: total fsc and pefc forest management certification,,,,1,1,1,area of forest under sustainable management,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
area and quality of marine habitats,,1,,,,1,area of marine habitats,state of biodiveristy,biodiversity,biodiversity,FALSE
area under restoration,1,,,,,,area under restoration,restoration efforts,ecosystems,ecosystems,FALSE
areas including all uoa where people mainly rely on nature for their well being,,1,,,,1,areas where people mainly rely on nature for their well being,ILK,ILK,ILK,FALSE
atmospheric sounding,,1,,,,1,atmospheric sounding,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
gene bank accession and available genetic resources,,1,,,,1,available genetic resources,genetic resources,biodiversity,biodiversity,FALSE
"average hourly earnings of employees, by sex, age, occupation and persons with disabilities",,,,1,1,1,"average hourly earnings of employees, by sex, age, occupation and persons with disabilities",access to jobs/income,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
"average income of small-scale food producers, by sex and indigenous status",1,,,1,1,1,average income of small-scale food producers,access to jobs/income,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
"average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",,,,,1,,"average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",information on society,scientific knowledge,scientific knowledge,FALSE
avoided costs from air pollution,,1,,,,1,avoided costs from air pollution,pollution,pollution,direct drivers,FALSE
avoided costs of health treatment of vbd,,1,,,,1,avoided costs of health treatment,monetary nature contribution,ecosystem services,ecosystem services,FALSE
avoided costs of pesticide use,,1,,,,1,avoided costs of pesticide use,nature contribution,ecosystem services,ecosystem services,FALSE
avoided pest damage to crop and livestock,,1,,,,1,avoided pest damage,nature contribution,ecosystem services,ecosystem services,FALSE
avoided water treatment costs,,1,,,,1,avoided water treatment costs,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
awareness of biodiversity,,1,,,,1,awareness of biodiversity,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
bare area,,1,,,,1,bare area,state of ecosystems,ecosystems,ecosystems,FALSE
below- and above-ground biomass stocks,,1,,,,1,below and above ground biomass,state of ecosystems,ecosystems,ecosystems,FALSE
benefit relevant indicators (direct impact on well-being),,1,,,,1,benefit relevant indicators (direct impact on well-being),wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
benefit sharing,,,,1,,1,benefit sharing,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
"benefits from coral reefs (e.g. ecotourism, food)",,1,,,,1,benefits from coral reefs,nature contribution,ecosystem services,ecosystem services,FALSE
benefits from the sustainable use of wild species,1,,,,,,benefits from the sustainable use of wild species,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
best and poor catches,,,,1,,1,best and poor catches,monetary nature contribution,ecosystem services,ecosystem services,FALSE
betadiversity (species turnover),,1,,,,1,betadiversity (species turnover),state of biodiveristy,biodiversity,biodiversity,FALSE
bhutan gross domestic happiness index,,1,,,,1,bhutan gross domestic happiness index,wellness/well-being,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
biochemical oxygen demand,,1,,,,1,biochemical oxygen demand,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
bioclimatic ecosystem resilience index (beri),1,,,,1,,bioclimatic ecosystem resilience index (beri),state of ecosystems (integrity),ecosystems,ecosystems,FALSE
"biocultural diversity as a conceptual foundation for urban greenspace planning, capable of overcoming challenges of the ecosystem services paradigm",,,1,,,1,biocultural diversity,nature contribution,ecosystem services,ecosystem services,FALSE
"biocultural indicators (measuring nature as well as practices associated with nature, such as species used for medicine, rops and their dietary roles, a forest and its role in protecting water sources)",,1,,,,1,biocultural diversity,nature contribution,ecosystem services,ecosystem services,FALSE
biodiversity barometer,,1,,,1,1,biodiversity barometer,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
biodiversity engagement index,,,,1,,1,biodiversity engagement,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
biodiversity engagement indicator,,,,,1,,biodiversity engagement,information on human-nature relationship,scientific knowledge,scientific knowledge,FALSE
bhi (overall habitat integrity),,1,,,,1,biodiversity habitat index,state of biodiveristy,biodiversity,biodiversity,FALSE
biodiversity habitat index,1,1,,,1,1,biodiversity habitat index,state of biodiveristy,biodiversity,biodiversity,FALSE
bhi (overall habitat integrity) - hotspots,,1,,,,1,biodiversity habitat index (hotspots),state of biodiveristy,biodiversity,biodiversity,FALSE
biodiversity habitat index hotspots,,1,,,,1,biodiversity habitat index (hotspots),state of biodiveristy,biodiversity,biodiversity,FALSE
bhi (species persisting) - hotspots,,1,,,,1,"biodiversity habitat index (species persisting, hotspots)",state of biodiveristy,biodiversity,biodiversity,FALSE
biodiversity habitat index (species persisting) - hotspots,,1,,,,1,"biodiversity habitat index (species persisting, hotspots)",state of biodiveristy,biodiversity,biodiversity,FALSE
biodiversity habitat index (species persisting),,1,,,,1,biodiversity habitat index (species persisting),state of biodiveristy,biodiversity,biodiversity,FALSE
"value of subsidies and other incentives harmful to biodiversity that have been eliminated, phased out or reformed.",1,,,,,,biodiversity harmful subsidies (removal),nature-based funding,legislative arrangements,governance,FALSE
"value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",1,,,,,,biodiversity harmful subsidies (removal),nature-based funding,legislative arrangements,governance,FALSE
hotspots (terrestiral hotspots of rare species),,1,,,,1,biodiversity hotspots,state of biodiveristy,biodiversity,biodiversity,FALSE
biodiversity indicators partnership,,1,,1,,1,biodiversity indicators partnership,information on biodiversity,scientific knowledge,scientific knowledge,FALSE
indicator on biodiversity information for the monitoring the global biodiversity framework,1,,,,,,global biodiversity framework,nature-based legislation,legislative arrangements,governance,FALSE
biodiversity indicator partnership: biodiversity intactness index,,,,1,,1,biodiversity intactness index,state of biodiveristy,biodiversity,biodiversity,FALSE
biodiversity intactness,,1,,,,1,biodiversity intactness index,state of biodiveristy,biodiversity,biodiversity,FALSE
biodiversity intactness index,1,1,1,1,1,1,biodiversity intactness index,state of biodiveristy,biodiversity,biodiversity,FALSE
biodiversity intactness index (for plants and vertebrates),,1,,,,1,biodiversity intactness index,state of biodiveristy,biodiversity,biodiversity,FALSE
biodiversity intactness index (overall),,1,,,,1,biodiversity intactness index,state of biodiveristy,biodiversity,biodiversity,FALSE
biodiversity intactness index (hotspots),,1,,,,1,biodiversity intactness index (hotspots),state of biodiveristy,biodiversity,biodiversity,FALSE
biodiversity intactness index (indigenous lands),,1,,,,1,biodiversity intactness index (indigenous lands),state of biodiveristy,biodiversity,biodiversity,FALSE
tropical forest bii (hotspots),,1,,,,1,"biodiversity intactness index (tropical forest, hotspots)",state of biodiveristy,biodiversity,biodiversity,FALSE
tropical forest bii (indigenous lands),,1,,,,1,"biodiversity intactness index (tropical forest, indigenous lands)",state of biodiveristy,biodiversity,biodiversity,FALSE
tropical forest bii,,1,,,,1,biodiversity intactness index (tropical forest),state of biodiveristy,biodiversity,biodiversity,FALSE
tropical forest bii (overall),,1,,,,1,biodiversity intactness index (tropical forest),state of biodiveristy,biodiversity,biodiversity,FALSE
biodiversity loss or degradation of ecosystem integrity,,1,,,,1,biodiversity loss,change in biodiversity,biodiversity,biodiversity,FALSE
number of biodiversity papers published,,1,,,,1,biodiversity papers published,information on biodiversity,scientific knowledge,scientific knowledge,FALSE
"biodiversity richness at global level (plants, animals and fungi, terrestrial and marine)",,1,,,,1,biodiversity richness,state of biodiveristy,biodiversity,biodiversity,FALSE
"biodiversity with high potential for having bioactive principles for medicines or represent genetic resources useful for medicines agriculture or other purposes, that have been identified locally through ilk or by other knowledge systems at global levels for health treatments or other purposes ( agriculture or other)",,1,,,,1,"biodiversity with high potential for having bioactive principles for medicines, agriculture or other purposes",nature contribution,ecosystem services,ecosystem services,FALSE
percentage of modern drugs based on nmps or bio-inspired molecules used for diseases at the global level,,1,,,,1,"biodiversity with high potential for having bioactive principles for medicines, agriculture or other purposes",nature contribution,ecosystem services,ecosystem services,FALSE
land suitability and extent of bioenergy crop and livestock producing and harvesting areas,,1,,,,1,bioenergy crop extent,monetary nature contribution,ecosystem services,ecosystem services,FALSE
bioenergy sources,,1,,,,1,bioenergy sources,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
biofuel production,1,,,,,,biofuel production,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
biofuel yield in joules or liters,,1,,,,1,biofuel yield,monetary nature contribution,ecosystem services,ecosystem services,FALSE
"biofuel yield in joules or liters from agricultural/horticultural residue, forestry industry residue, other organic residues or by-products from various industries/process",,1,,,,1,biofuel yield,monetary nature contribution,ecosystem services,ecosystem services,FALSE
biofuel yield in joules or liters from industrial effluents and/or municipal solid waste,,1,,,,1,biofuel yield,monetary nature contribution,ecosystem services,ecosystem services,FALSE
biofuel yield joules or liters from algal/microalgae biomass,,1,,,,1,biofuel yield,monetary nature contribution,ecosystem services,ecosystem services,FALSE
yield per hectare converted to caloric or nutrient yield,,1,,,,1,biofuel yield,monetary nature contribution,ecosystem services,ecosystem services,FALSE
biological pump efficiency,,1,,,,1,biological pump efficiency,nature contribution,ecosystem services,ecosystem services,FALSE
biomass changes,,1,,,,1,biomass changes,change in ecosystems,ecosystems,ecosystems,FALSE
change in terrestrial biomass,,1,,,,1,biomass changes,change in ecosystems,ecosystems,ecosystems,FALSE
"tonnage of biomass (sugar cane, corn, palm oil), other energy crops",,1,,,,1,biomass of energy crops,monetary nature contribution,ecosystem services,ecosystem services,FALSE
biomass of selected natural ecosystems,1,,,,,,biomass of selected natural ecosystems,state of ecosystems,ecosystems,ecosystems,FALSE
biomass per fish prey,,1,,,,1,biomass per fish prey,state of biodiveristy,biodiversity,biodiversity,FALSE
biomass turnover rate,,1,,,,1,biomass turnover rate,change in ecosystems,ecosystems,ecosystems,FALSE
"consequences of biotic homogenization, including genetic homogenization",,1,,,,1,biotic homogenization,state of biodiveristy,biodiversity,biodiversity,FALSE
biotic productivity,,1,,,,1,biotic productivity,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
global bird richness,,1,,,,1,bird richness,state of biodiveristy,biodiversity,biodiversity,FALSE
global bird richness (csar),,1,,,,1,bird richness,state of biodiveristy,biodiversity,biodiversity,FALSE
bird species per grid cell,,1,,,,1,bird species per grid cell,state of biodiveristy,biodiversity,biodiversity,FALSE
bird species per grid cell (csar),,1,,,,1,bird species per grid cell,state of biodiveristy,biodiversity,biodiversity,FALSE
blue water sustainability index,,1,,,,1,blue water sustainability index,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
body condition,,,,1,,1,body condition,state of biodiveristy,biodiversity,biodiversity,FALSE
body fat,,,,1,,1,body fat,state of biodiveristy,biodiversity,biodiversity,FALSE
average share of the built-up area of cities that is green/blue space for public use for all,1,,,,,,built-up area of cities,build-up area,financial assets,financial assets,FALSE
by catch of vulnerable and non-target species,1,,,,,,by catch of vulnerable and non-target species,unsustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
c pool,,1,,,,1,c pool,nature contribution,ecosystem services,ecosystem services,FALSE
calendar of tajik community,,,,1,,1,calendar of tajik community,ILK,ILK,ILK,FALSE
calorie availability,,1,,,,1,calorie availability,healthy living conditions,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
per capita calorie intake,,1,,,,1,calorie intake,human consumption,"acces to food, water, energy, livehood security and well-being",wellness,FALSE
capacity building,,,,1,,1,capacity building,legislation/governance,legislative arrangements,governance,FALSE
capacity of ecosystem to filter (or add) constituent components (extent of vegetation),,1,,,,1,capacity of ecosystem to filter,nature contribution,ecosystem services,ecosystem services,FALSE
air-sea and sediment-water fluxes of carbon and co2,,1,,,,1,carbon sequestration,nature contribution,ecosystem services,ecosystem services,FALSE
capacity to sequester carbon by marine and terrestrial environments,,1,,,,1,carbon sequestration,nature contribution,ecosystem services,ecosystem services,FALSE
carbon sequestration,,1,,,,1,carbon sequestration,nature contribution,ecosystem services,ecosystem services,FALSE
co2 removal from atmosphere,,1,,,,1,carbon sequestration,nature contribution,ecosystem services,ecosystem services,FALSE
land and ocean carbon sinks,,1,,,,1,carbon sequestration,nature contribution,ecosystem services,ecosystem services,FALSE
net carbon sequestration,,1,,,,1,carbon sequestration,nature contribution,ecosystem services,ecosystem services,FALSE
"carbon stocks and annual net ghg emissions, by land-use category, split by natural and non-natural land cover",1,,,,,,carbon stocks,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
carbon stocks in ecosystems,,1,,,,1,carbon stocks,state of ecosystems (integrity),ecosystems,ecosystems,FALSE
ecosystem carbon storage,,1,,,,1,carbon stocks,nature contribution,ecosystem services,ecosystem services,FALSE
caring for the country,,1,,,,1,caring for the country,information on society,scientific knowledge,scientific knowledge,FALSE
size of catch,,,,1,,1,catch,monetary nature contribution,ecosystem services,ecosystem services,FALSE
trends in catch,,,,1,,1,catch,monetary nature contribution,ecosystem services,ecosystem services,FALSE
catch biomass or composition,,,,1,,1,catch biomass,monetary nature contribution,ecosystem services,ecosystem services,FALSE
production/catch biomass,,,,1,,1,catch biomass,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
catch biomass or composition,,,,1,,1,catch composition,monetary nature contribution,ecosystem services,ecosystem services,TRUE
catch composition,,,,1,,1,catch composition,monetary nature contribution,ecosystem services,ecosystem services,FALSE
catch per unit effort,,,,1,,1,catch per unit effort,monetary nature contribution,ecosystem services,ecosystem services,FALSE
catch-per-unit effort,,,,1,,1,catch per unit effort,monetary nature contribution,ecosystem services,ecosystem services,FALSE
harvest or catch per unit effort,,1,,,,1,catch per unit effort,monetary nature contribution,ecosystem services,ecosystem services,FALSE
landed catch (capture fisheries production),,1,,,,1,catch per unit effort,monetary nature contribution,ecosystem services,ecosystem services,FALSE
mean length of catch,,1,,,,1,catch per unit effort,monetary nature contribution,ecosystem services,ecosystem services,FALSE
measures of catch per unit of effort,,,,1,,1,catch per unit effort,monetary nature contribution,ecosystem services,ecosystem services,FALSE
tl of the landed catch,,1,,,,1,catch per unit effort,monetary nature contribution,ecosystem services,ecosystem services,FALSE
celtic tree calendar,,,,1,,1,celtic tree calendar,ILK,ILK,ILK,FALSE
certified forest area,,1,,,,1,certified forest area,sustainable use of species/ecosystems,ecosystem services,ecosystem services,FALSE
number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,1,,,,,,certified forest area under sustainable management,nature-based legislation,legislative arrangements,governance,FALSE
percentage change in local species richness,,1,,,,1,change in local species richness,change in biodiversity,biodiversity,biodiversity,FALSE
change in the extent of inland water ecosystems over time,1,,,,,,change in the extent of water-related ecosystems,change in ecosystems,ecosystems,ecosystems,FALSE
change in the extent of water-related ecosystems over time,1,,,1,1,1,change in the extent of water-related ecosystems,change in ecosystems,ecosystems,ecosystems,FALSE
