indic_id,indicators_harmonized,ipcc_sup,ga_sup,sua_sup
NA,volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,NA,NA,1
NA,"average income of small-scale food producers, by sex and indigenous status",NA,NA,1
NA,proportion of agricultural area under productive and sustainable agriculture,NA,NA,1
NA,number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,NA,NA,1
NA,proportion of local breeds classified as being at risk of extinction,NA,NA,1
NA,agriculture orientation index for government expenditures,NA,NA,1
NA,total official flows (official development assistance plus other official flows) to the agriculture sector,NA,NA,1
NA,agricultural export subsidies,NA,NA,1
NA,indicator of food price anomalies,NA,NA,1
NA,"proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",NA,NA,1
NA,"share of women among owners or rights-bearers of agricultural land, by type of tenure",NA,NA,1
NA,proportion of countries where the legal framework (including customary law) guarantees women equal rights to land ownership and/or control,NA,NA,1
NA,proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,NA,NA,1
NA,proportion of population using safely managed drinking water services,NA,NA,1
NA,proportion of bodies of water with good ambient water quality,NA,NA,1
NA,change in water-use efficiency over time,NA,NA,1
NA,level of water stress (freshwater withdrawal as a proportion of available freshwater resources),NA,NA,1
NA,degree of integrated water resources management,NA,NA,1
NA,proportion of transboundary basin area with an operational arrangement for water cooperation,NA,NA,1
NA,change in the extent of water-related ecosystems over time,NA,NA,1
NA,amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,NA,NA,1
NA,proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,NA,NA,1
NA,proportion of population with primary reliance on clean fuels and technology,NA,NA,1
NA,renewable energy share in the total final energy consumption,NA,NA,1
NA,energy intensity measured in terms of primary energy and gross domestic product,NA,NA,1
NA,"international financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",NA,NA,1
NA,installed renewable energy-generating capacity in developing countries (in watts per capita),NA,NA,1
NA,annual growth rate of real gross domestic product,NA,NA,1
NA,annual growth rate of real gross domestic product per employed person,NA,NA,1
NA,"proportion of informal employment in total employment, by sector and sex",NA,NA,1
NA,"material footprint, material footprint per capita, and material footprint per gross domestic product",NA,NA,1
NA,"domestic material consumption, domestic material consumption, and domestic material consumption per gross domestic product",NA,NA,1
NA,"average hourly earnings of employees, by sex, age, occupation and persons with disabilities",NA,NA,1
NA,"unemployment rate, by sex, age and persons with disabilities",NA,NA,1
NA,"proportion of youth (aged 15-24 years) not in education, employment or training",NA,NA,1
NA,"proportion and number of children aged 5-17 years engaged in child labour, by sex and age",NA,NA,1
NA,"fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status",NA,NA,1
NA,"level of national compliance with labour rights (freedom of association and collective bargaining) based on international labour organization (ilo) textual sources and national legislation, by sex and migrant status",NA,NA,1
NA,tourism direct gross domestic product as a proportion of total gross domestic product and in growth rate,NA,NA,1
NA,proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,NA,NA,1
NA,aid for trade commitments and disbursements,NA,NA,1
NA,"existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",NA,NA,1
NA,proportion of the rural population who live within 2 km of an all-season road,NA,NA,1
NA,"passenger and freight volumes, by mode of transport",NA,NA,1
NA,manufacturing value added as a proportion of gross domestic product and per capita,NA,NA,1
NA,manufacturing employment as a proportion of total employment,NA,NA,1
NA,proportion of small-scale industries in total industry value added,NA,NA,1
NA,proportion of small-scale industries with a loan or line of credit,NA,NA,1
NA,co2 emission per unit of value added,NA,NA,1
NA,research and development expenditure as a proportion of gross domestic product,NA,NA,1
NA,total official international support (official development assistance plus other official flows) to infrastructure,NA,NA,1
NA,proportion of medium and high-tech industry value added in total value added,NA,NA,1
NA,"proportion of population covered by a mobile network, by technology",NA,NA,1
NA,growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,NA,NA,1
NA,"proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",NA,NA,1
NA,proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,NA,NA,1
NA,labour share of gross domestic product,NA,NA,1
NA,proportion of members and voting rights of developing countries in international organizations,NA,NA,1
NA,"number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",NA,NA,1
NA,number of people who died or disappeared in the process of migration towards an international destinationi,NA,NA,1
NA,"proportion of the population who are refugees, by country of origin",NA,NA,1
NA,"total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",NA,NA,1
NA,ratio of land consumption rate to population growth rate,NA,NA,1
NA,"total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",NA,NA,1
NA,"direct economic loss in relation to global gross domestic product, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters",NA,NA,1
NA,annual mean levels of fine particulate matter in cities,NA,NA,1
NA,"proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months",NA,NA,1
NA,number of countries that have national urban policies or regional development plans that respond to population dynamics,NA,NA,1
NA,number of countries that have national urban policies or regional development plans that ensure balanced territorial development,NA,NA,1
NA,number of countries that have national urban policies or regional development plans that increase local fiscal space,NA,NA,1
NA,"number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production",NA,NA,1
NA,food loss index,NA,NA,1
NA,food waste index,NA,NA,1
NA,hazardous waste generated per capita,NA,NA,1
NA,"proportion of hazardous waste treated, by type of treatment",NA,NA,1
NA,"national recycling rate, tons of material recycled",NA,NA,1
NA,number of companies publishing sustainability reports,NA,NA,1
NA,degree of sustainable public procurement policies and action plan implementation,NA,NA,1
NA,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in national education policies,NA,NA,1
NA,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in curricula,NA,NA,1
NA,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in teacher education,NA,NA,1
NA,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in student assessment,NA,NA,1
NA,implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,NA,NA,1
NA,amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),NA,NA,1
NA,"number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",NA,NA,1
NA,total greenhouse gas emissions per year,NA,NA,1
NA,amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,NA,NA,1
NA,"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",NA,NA,1
NA,index of coastal eutrophication potential (icep),NA,NA,1
NA,plastic debris density,NA,NA,1
NA,number of countries using ecosystem-based approaches to managing marine areas,NA,NA,1
NA,average marine acidity (ph) measured at agreed suite of representative sampling stations,NA,NA,1
NA,coverage of protected areas in relation to marine areas,NA,NA,1
NA,"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",NA,NA,1
NA,"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries",NA,NA,1
NA,proportion of total research budget allocated to research in the field of marine technology,NA,NA,1
NA,degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,NA,NA,1
NA,"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources",NA,NA,1
NA,forest area as a percentage of total land area,NA,NA,1
NA,"proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",NA,NA,1
NA,progress towards sustainable forest management,NA,NA,1
NA,proportion of land that is degraded over total land area,NA,NA,1
NA,coverage by protected areas of important sites for mountain biodiversity,NA,NA,1
NA,mountain green cover index,NA,NA,1
NA,"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",NA,NA,1
NA,proportion of traded wildlife that was poached or illicitly trafficked,NA,NA,1
NA,proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,NA,NA,1
NA,number of countries that have established national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020 in their national biodiversity strategy and action plans and the progress reported towards these targets,NA,NA,1
NA,"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",NA,NA,1
NA,official development assistance on conservation and sustainable use of biodiversity,NA,NA,1
NA,revenue generated and finance mobilized from biodiversity-relevant economic instruments,NA,NA,1
NA,"total government revenue as a proportion of gross domestic product, by source",NA,NA,1
NA,proportion of domestic budget funded by domestic taxes,NA,NA,1
NA,"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)",NA,NA,1
NA,"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget",NA,NA,1
NA,volume of remittances (in united states dollars) as a proportion of total gross domestic product,NA,NA,1
NA,"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",NA,NA,1
NA,"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",NA,NA,1
NA,proportion of individuals using the internet,NA,NA,1
NA,"dollar value of financial and technical assistance (including through north-south, south‑south and triangular cooperation) committed to developing countries",NA,NA,1
NA,worldwide weighted tariff-average,NA,NA,1
NA,developing countries’ and least developed countries’ share of global exports,NA,NA,1
NA,"weighted average tariffs faced by developing countries, least developed countries and small island developing states",NA,NA,1
NA,number of countries with mechanisms in place to enhance policy coherence of sustainable development,NA,NA,1
NA,extent of use of country-owned results frameworks and planning tools by providers of development cooperation,NA,NA,1
NA,number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,NA,NA,1
NA,amount in united states dollars committed to public-private partnerships for infrastructure,NA,NA,1
NA,statistical capacity indicator for sustainable development goal monitoring,NA,NA,1
NA,number of countries that have national statistical legislation that complies with the fundamental principles of official statistics,NA,NA,1
NA,"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",NA,NA,1
NA,dollar value of all resources made available to strengthen statistical capacity in developing countries,NA,NA,1
