Categories,Subcategories,Source,Counts of metrics,prop
Ecosystems,State of ecosystems (integrity),RAMSAR,2,100
Ecosystems,State of ecosystems (integrity),UNCCD,1,100
Ecosystems,State of ecosystems (marine),IPCC,4,100
Ecosystems,State of ecosystems (marine),IPBES,3,100
Ecosystems,State of ecosystems (marine),SDG,1,100
Ecosystem services,Nature contribution,IPBES,70,100
Ecosystem services,Nature contribution,GBF,10,100
Ecosystem services,Nature contribution,GEO,10,100
Ecosystem services,Nature contribution,IPCC,8,100
Ecosystem services,Nature contribution,SDG,2,100
Ecosystem services,Specific mention of sustainable use of species/ecosystems,GBF,12,100
Ecosystem services,Specific mention of sustainable use of species/ecosystems,IPBES,12,100
Ecosystem services,Specific mention of sustainable use of species/ecosystems,GEO,4,100
Ecosystem services,Specific mention of sustainable use of species/ecosystems,SDG,3,100
Ecosystem services,Specific mention of sustainable use of species/ecosystems,RAMSAR,2,100
Ecosystem services,Specific mention of sustainable use of species/ecosystems,CITES,1,100
Ecosystem services,Specific mention of sustainable use of species/ecosystems,CMS,1,100
Ecosystem services,Specific monetary valuation of nature contribution,IPBES,11,100
Ecosystem services,Specific monetary valuation of nature contribution,GBF,2,100
Ecosystem services,Specific monetary valuation of nature contribution,SDG,2,100
Ecosystem services,Specific monetary valuation of nature contribution,CITES,1,100
Ecosystem services,Specific monetary valuation of nature contribution,GEO,1,100
Human well-being,Cultural diversity,GBF,3,100
Human well-being,Cultural diversity,SDG,1,100
Human well-being,Equity,SDG,24,100
Human well-being,Equity,IPBES,15,100
Human well-being,Equity,GBF,13,100
Human well-being,Equity,GEO,6,100
Human well-being,Equity,IPCC,1,100
Human well-being,Healthy living conditions,GEO,36,100
Human well-being,Healthy living conditions,IPBES,30,100
Human well-being,Healthy living conditions,SDG,11,100
Human well-being,Healthy living conditions,GBF,5,100
Human well-being,Healthy living conditions,UNCCD,2,100
Human well-being,Healthy living conditions,IPCC,1,100
Human well-being,Healthy living conditions,RAMSAR,1,100
Human well-being,Recreation,IPBES,8,100
Human well-being,Recreation,GBF,1,100
Human well-being,Wellness,IPBES,12,100
Human well-being,Wellness,SDG,4,100
Direct drivers,(Infectious) diseases,IPBES,3,100
Direct drivers,(Infectious) diseases,GBF,1,100
Direct drivers,(Infectious) diseases,GEO,1,100
Direct drivers,(Infectious) diseases,SDG,1,100
Direct drivers,Climate change,IPCC,27,100
Direct drivers,Climate change,IPBES,9,100
Direct drivers,Climate change,GBF,5,100
Direct drivers,Climate change,GEO,5,100
Direct drivers,Climate change,SDG,2,100
Direct drivers,Invasive alien species,IPBES,37,100
Direct drivers,Invasive alien species,GBF,5,100
Direct drivers,Invasive alien species,RAMSAR,1,100
Direct drivers,Land conversion,IPBES,13,100
Direct drivers,Land conversion,GEO,6,100
Direct drivers,Land conversion,GBF,3,100
Direct drivers,Land conversion,SDG,2,100
Direct drivers,Natural drivers,IPCC,10,100
Direct drivers,Natural drivers,IPBES,6,100
Direct drivers,Natural drivers,GBF,1,100
Direct drivers,Natural drivers,SDG,1,100
Direct drivers,Pollution,GEO,36,100
Direct drivers,Pollution,IPBES,28,100
Direct drivers,Pollution,GBF,15,100
Direct drivers,Pollution,IPCC,7,100
Direct drivers,Pollution,SDG,5,100
Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,IPBES,22,100
Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,SDG,5,100
Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,GBF,4,100
Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,GEO,3,100
Human assets,Coverage of basic needs,SDG,42,100
Human assets,Coverage of basic needs,IPBES,27,100
Human assets,Coverage of basic needs,GEO,8,100
Human assets,Coverage of basic needs,GBF,3,100
Human assets,Income,IPBES,13,100
Human assets,Income,SDG,8,100
Human assets,Income,GBF,6,100
Human assets,Income,GEO,3,100
Human assets,Information on society and socio-economics,SDG,13,100
Human assets,Information on society and socio-economics,IPBES,6,100
Human assets,Information on society and socio-economics,GBF,3,100
Human assets,Information on society and socio-economics,GEO,1,100
Human assets,Information on society and socio-economics,UNCCD,1,100
Human assets,Infrastructure (build-up area),IPBES,29,100
Human assets,Infrastructure (build-up area),SDG,18,100
Human assets,Infrastructure (build-up area),GEO,7,100
Human assets,Infrastructure (build-up area),GBF,3,100
Human assets,Infrastructure (build-up area),IPCC,2,100
Human assets,Specific information on human-nature relationship,GBF,1,100
Human assets,Specific information on human-nature relationship,GEO,1,100
Human assets,Specific information on human-nature relationship,IPBES,1,100
Human assets,Specific information on human-nature relationship,SDG,1,100
Human assets,State of economy,IPBES,21,100
Human assets,State of economy,SDG,18,100
Human assets,State of economy,GEO,5,100
Human assets,State of economy,GBF,3,100
Human assets,State of economy,IPCC,1,100
Knowledge systems,ILK,IPBES,11,100
Knowledge systems,ILK,GBF,1,100
Knowledge systems,Information on biodiversity,IPBES,20,100
Knowledge systems,Information on biodiversity,GBF,6,100
Knowledge systems,Information on biodiversity,RAMSAR,5,100
Knowledge systems,Information on biodiversity,CITES,3,100
Knowledge systems,Information on biodiversity,CMS,3,100
Knowledge systems,Information on society and socio-economics,IPBES,37,100
Knowledge systems,Information on society and socio-economics,SDG,16,100
Knowledge systems,Information on society and socio-economics,GEO,10,100
Knowledge systems,Information on society and socio-economics,GBF,8,100
Knowledge systems,Specific information on ILK and IPLC,IPBES,9,100
Knowledge systems,Specific information on ILK and IPLC,GBF,3,100
Knowledge systems,Specific information on ILK and IPLC,CITES,1,100
Knowledge systems,Specific information on ILK and IPLC,CMS,1,100
Knowledge systems,Specific information on ILK and IPLC,RAMSAR,1,100
Knowledge systems,Specific information on human-nature relationship,IPBES,14,100
Knowledge systems,Specific information on human-nature relationship,RAMSAR,9,100
Knowledge systems,Specific information on human-nature relationship,CITES,5,100
Knowledge systems,Specific information on human-nature relationship,GEO,4,100
Knowledge systems,Specific information on human-nature relationship,IPCC,3,100
Knowledge systems,Specific information on human-nature relationship,CMS,1,100
Knowledge systems,Specific information on human-nature relationship,GBF,1,100
Knowledge systems,State of economy,IPBES,1,100
Knowledge systems,State of economy,SDG,1,100
Governance,Broken governance,CITES,2,100
Governance,Broken governance,IPBES,2,100
Governance,Broken governance,SDG,2,100
Governance,Broken governance,GBF,1,100
Governance,Legislation/governance,IPBES,23,100
Governance,Legislation/governance,SDG,15,100
Governance,Legislation/governance,GBF,8,100
Governance,Legislation/governance,GEO,3,100
Governance,Legislation/governance,CITES,1,100
Governance,Legislation/governance,IPCC,1,100
Governance,National/international cooperation,CITES,21,100
Governance,National/international cooperation,RAMSAR,17,100
Governance,National/international cooperation,IPBES,11,100
Governance,National/international cooperation,GBF,10,100
Governance,National/international cooperation,SDG,6,100
Governance,National/international cooperation,UNCCD,3,100
Governance,Nature detrimental legislation,IPBES,4,100
Governance,Nature detrimental legislation,GBF,3,100
Governance,Nature detrimental legislation,GEO,3,100
Governance,Nature detrimental legislation,SDG,1,100
Governance,Nature-based funding,IPBES,19,100
Governance,Nature-based funding,GBF,14,100
Governance,Nature-based funding,SDG,4,100
Governance,Nature-based funding,RAMSAR,3,100
Governance,Nature-based funding,UNCCD,3,100
Governance,Nature-based funding,CITES,2,100
Governance,Nature-based funding,IPCC,2,100
Governance,Nature-based funding,CMS,1,100
Governance,Nature-based funding,GEO,1,100
Governance,Nature-based legislation,IPBES,41,100
Governance,Nature-based legislation,GBF,33,100
Governance,Nature-based legislation,SDG,18,100
Governance,Nature-based legislation,CITES,13,100
Governance,Nature-based legislation,RAMSAR,11,100
Governance,Nature-based legislation,CMS,7,100
Governance,Nature-based legislation,GEO,3,100
