Goal/target,indicators_harmonized,indic_id,indicators_orig,mea,ipbes,Categories,Subcategories,Categories_2,Subcategories_2
Target 3,coverage of protected areas and other effective area-based conservation measures,GBF_H_T3_18,Coverage of protected areas and other effective area-based conservation measures,NA,NA,NA,NA,NA,NA
Target 4,red list index,GBF_H_T4_19,Red List Index,"GBF,SDG",1,Biodiversity,State Of Biodiversity,NA,NA
Target 4,proportion of populations within species with an effective population size > 500,GBF_H_T4_20,The proportion of populations within species with an effective population size > 500,NA,NA,NA,NA,NA,NA
Target 5,proportion of fish stocks within biologically sustainable levels,GBF_H_T5_21,Proportion of fish stocks within biologically sustainable levels,"GBF,SDG",1,Biodiversity,State Of Biodiversity,NA,NA
Target 6,rate of invasive alien species establishment,GBF_H_T6_22,Rate of invasive alien species establishment,GBF,1,Direct Drivers,Invasive Alien Species,NA,NA
Target 6,"number of countries adopting relevant regulation, processes and measures and allocating resources to reduce the impact of invasive alien species",GBF_H_T6_23,"Number of countries adopting relevant regulation, processes and measures and allocating resources to reduce the impact of invasive alien species.",NA,NA,NA,NA,NA,NA
Target 7,index of coastal eutrophication potential (icep),GBF_H_T7_24,Index of coastal eutrophication potential,"GBF,SDG",1,Ecosystems,State Of Ecosystems (Integrity),Direct Drivers,Pollution
Target 7,aggregated total applied toxicity,GBF_H_T7_25,Aggregated Total Applied Toxicity,NA,NA,NA,NA,NA,NA
Target 8,number of countries with agreed policies to minimize the impact of climate change and ocean acidification on biodiversity and that minimize negative and foster positive impacts of climate action on biodiversity,GBF_H_T8_26,Number of countries with agreed policies to minimize the impact of climate change and ocean acidification on biodiversity and that minimize negative and foster positive impacts of climate action on biodiversity.,NA,NA,NA,NA,NA,NA
Target 9,benefits from the sustainable use of wild species,GBF_H_T9_27,Benefits from the sustainable use of wild species,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA
Target 9,percentage of the population in traditional occupations,GBF_H_T9_28,Percentage of the population in traditional occupations,NA,NA,NA,NA,NA,NA
Target 9,"number of countries with policies to sustainably manage, use [and trade] wild species, providing social, economic and environmental benefits for people, and that protect and encourage customary sustainable use [of wild species] by indigenous peoples and local communities",GBF_H_T9_29,"Number of countries with policies to sustainably manage, use [and trade] wild species, providing social, economic and environmental benefits for people, and that protect and encourage customary sustainable use [of wild species] by indigenous peoples and local communities.",NA,NA,NA,NA,NA,NA
Target 10,proportion of agricultural area under productive and sustainable agriculture,GBF_H_T10_30,Proportion of agricultural area under productive and sustainable agriculture,"GBF,SDG",1,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA
Target 10,progress towards sustainable forest management,GBF_H_T10_31,Progress towards sustainable forest management,"GBF,SDG",1,Governance,Nature-Based Legislation,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems
Target 11,services provided by ecosystems,GBF_H_T11_32,Services provided by ecosystems,GBF,NA,Ecosystem Services,Nature Contribution,NA,NA
Target 12,average share of the built-up area of cities that is green/blue space for public use for all,GBF_H_T12_33,Average share of the built-up area of cities that is green/blue space for public use for all,GBF,NA,Human Well-Being,Healthy Living Conditions,NA,NA
Target 12,number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces,GBF_H_T12_34,Number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces.,NA,NA,NA,NA,NA,NA
Target 13,indicator on monetary benefits received,GBF_H_T13_35,Indicator on monetary benefits received,GBF,NA,Human Assets,Income,NA,NA
Target 13,indicator on non-monetary benefits,GBF_H_T13_36,Indicator on non-monetary benefits,GBF,NA,Human Assets,Income,NA,NA
Target 13,"number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources",GBF_H_T13_37,"Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources.",NA,NA,NA,NA,NA,NA
Target 14,"number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty [reduction][eradication] strategies and accounts at all levels, [ensuring that biodiversity values are mainstreamed] [and] across all sectors [ and fiscal and financial flows are aligned with it]",GBF_H_T14_38,"Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty [reduction][eradication] strategies and accounts at all levels, [ensuring that biodiversity values are mainstreamed] [and] across all sectors [ and fiscal and financial flows are aligned with it].",NA,NA,NA,NA,NA,NA
Target 15,"number of companies disclosing their biodiversity-related risks, dependencies and impacts",GBF_H_T15_39,"Number of companies disclosing their biodiversity-related risks, dependencies and impacts",NA,NA,NA,NA,NA,NA
Target 15,"number of countries taking legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular, ensuring that large and transnational companies and financial institutions, to progressively reduce negative impacts from business and financial institutions on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production",GBF_H_T15_40,"Number of countries taking legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular, ensuring that large and transnational companies and financial institutions, to progressively reduce negative impacts from business and financial institutions on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production.",NA,NA,NA,NA,NA,NA
Target 16,"number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices",GBF_H_T16_41,"Number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices.",NA,NA,NA,NA,NA,NA
Target 17,number of countries that have taken action to implement biosafety measures as set out in article 8(g) of the convention and measures for the handling of biotechnology and the distribution of its benefits as set out in article 19,GBF_H_T17_42,Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19.,NA,NA,NA,NA,NA,NA
Target 18,positive incentives in place to promote biodiversity conservation and sustainable use,GBF_H_T18_43,Positive incentives in place to promote biodiversity conservation and sustainable use,GBF,NA,Governance,Nature-Based Legislation,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems
Target 18,value of subsidies and other incentives harmful to biodiversity,GBF_H_T18_44,Value of subsidies and other incentives harmful to biodiversity,NA,NA,NA,NA,NA,NA
Target 19,"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",GBF_H_T19_45,"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",GBF,NA,Governance,National/International Cooperation,NA,NA
Target 19,domestic public funding on conservation and sustainable use of biodiversity and ecosystems,GBF_H_T19_46,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,GBF,NA,Governance,Nature-Based Funding,NA,NA
Target 19,private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,GBF_H_T19_47,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,GBF,NA,Governance,Nature-Based Funding,NA,NA
Target 20,"number of countries that have taken significant action to strengthen capacity-building and development, access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation",GBF_H_T20_48,"Number of countries that have taken significant action to strengthen capacity-building and development, access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation.",NA,NA,NA,NA,NA,NA
Target 21,indicator on biodiversity information for monitoring the global biodiversity framework,GBF_H_T21_49,Indicator on biodiversity information for monitoring the global biodiversity framework,GBF,NA,Knowledge Systems,Information On Biodiversity,NA,NA
Target 22,"number of countries [promoting the full, equitable, inclusive, effective and gender-responsive representation and participation] and [recognizing the rights of indigenous peoples and local communities with respect to their traditional territories, cultures and practices as well as the rights of environmental human rights defenders, women, youth, and persons with disabilities] [ensuring representation and participation in decision-making and access to justice and information in relation with biodiversity and ensuring the legal rights of indigenous peoples and local communities, including respecting their rights over lands, territories, resources and traditional knowledge, women and girls, children and youth and persons with disabilities, and ensuring the full protection of human rights of environmental defenders.]",GBF_H_T22_50,"Number of countries [promoting the full, equitable, inclusive, effective and gender-responsive representation and participation] and [recognizing the rights of indigenous peoples and local communities with respect to their traditional territories, cultures and practices as well as the rights of environmental human rights defenders, women, youth, and persons with disabilities] [ensuring representation and participation in decision-making and access to justice and information in relation with biodiversity and ensuring the legal rights of indigenous peoples and local communities, including respecting their rights over lands, territories, resources and traditional knowledge, women and girls, children and youth and persons with disabilities, and ensuring the full protection of human rights of environmental defenders.]",NA,NA,NA,NA,NA,NA
Target 23,"number of countries with legal, administrative or policy frameworks, including the gender plan of action, as well as the allocation of specific financial resources to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the convention, including by ensuring women’s equal rights and access to land and natural resources",GBF_H_T23_51,"Number of countries with legal, administrative or policy frameworks, including the Gender Plan of Action, as well as the allocation of specific financial resources to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the Convention, including by ensuring women’s equal rights and access to land and natural resources.",NA,NA,NA,NA,NA,NA
Goal A,ecosystem intactness index,GBF_C_GA_1,Ecosystem Intactness Index,GBF,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA
Goal A,ecosystem integrity index,GBF_C_GA_2,Ecosystem Integrity Index,GBF,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA
Goal A,species habitat index,GBF_C_GA_3,Species habitat Index,GBF,1,Biodiversity,State Of Biodiversity,NA,NA
Goal A,biodiversity habitat index,GBF_C_GA_4,Biodiversity Habitat Index,GBF,1,Biodiversity,State Of Biodiversity,NA,NA
Goal A,protected connected (protconn) index,GBF_C_GA_5,Protected Connected (Protconn) index,GBF,NA,Ecosystems,Area Conservation,NA,State Of Ecosystems (Coverage)
Goal A,protected area connectedness (parc-connectedness) index,GBF_C_GA_6,Protected Area Connectedness Index (PARC-Connectedness),GBF,1,Ecosystems,State Of Ecosystems (Configuration),NA,NA
Goal A,evolutionarily distinct and globally endangered (edge),GBF_C_GA_7,Evolutionarily Distinct and Globally Endangered (EDGE),GBF,NA,Biodiversity,Genetic Diversity,NA,Species Conservation
Goal A,living planet index,GBF_C_GA_8,Living Planet Index,GBF,1,Ecosystems,State Of Biodiversity,NA,NA
Goal A,change in the extent of water-related ecosystems over time,GBF_C_GA_9,Change in the extent of water-related ecosystems over time,"GBF,SDG",1,Ecosystems,State Of Ecosystems,NA,Change In Ecosystems
Goal B,red list index (for utilized species),GBF_C_GB_10,Red List Index (for utilized species),GBF,1,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution
Goal B,living planet index (for used species),GBF_C_GB_11,Living Planet Index (for used species),GBF,NA,Ecosystems,State Of Biodiversity,Ecosystem Services,Nature Contribution
Target 1,priority retention of intact / wilderness areas,GBF_C_T1_14,Priority retention of intact / wilderness areas,GBF,NA,Ecosystems,State Of Ecosystems (Integrity),NA,NA
Target 2,extent of natural ecosystems,GBF_C_T2_15,Extent of natural ecosystems by type,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Target 2,maintenance and restoration of connectivity of natural ecosystems,GBF_C_T2_16,Maintenance and restoration of connectivity of natural ecosystems,GBF,NA,Ecosystems,Restoration Efforts,NA,NA
Target 3,protected area coverage of key biodiversity areas,GBF_C_T3_17,Protected area coverage of key biodiversity areas,GBF,1,Ecosystems,Area Conservation,NA,NA
Target 3,protected area management effectiveness (pame),GBF_C_T3_18,Protected Area Management Effectiveness (PAME),GBF,1,Ecosystems,Area Conservation,Governance,Nature-Based Legislation
Target 3,protconn,GBF_C_T3_19,Protconn,NA,NA,NA,NA,NA,NA
Target 3,protected area connectedness (parc-connectedness) index,GBF_C_T3_20,Protected Area Connectedness Index (PARC-Connectedness),GBF,1,Ecosystems,State Of Ecosystems (Configuration),NA,NA
Target 3,red list of ecosystems,GBF_C_T3_21,Red List of Ecosystems,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Target 3,connectivity indicator (in development),GBF_C_T3_22,Connectivity Indicator (in development),NA,NA,NA,NA,NA,NA
Target 3,the number of protected areas that have completed a site-level assessment of governance and equity (sage),GBF_C_T3_23,The number of protected areas that have completed a site-level assessment of governance and equity (SAGE),NA,NA,NA,NA,NA,NA
Target 3,species protection index,GBF_C_T3_24,Species Protection Index,GBF,1,Biodiversity,Species Conservation,NA,NA
Target 4,living planet index,GBF_C_T4_25,Living Planet Index,GBF,1,Ecosystems,State Of Biodiversity,NA,NA
Target 4,number of plant and animal genetic resources secured in medium or long-term conservation facilities,GBF_C_T4_26,Number of plant and animal genetic resources secured in medium or long-term conservation facilities,GBF,1,Biodiversity,Genetic Resources,NA,NA
Target 4,trends in effective and sustainable management of human-wildlife conflict and coexistence,GBF_C_T4_27,Trends in effective and sustainable management of human-wildlife conflict and coexistence,GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 4,green status of species index,GBF_C_T4_28,Green Status of Species Index,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA
Target 4,conservation status of species listed in the cites appendices has stabilized or improved,GBF_C_T4_29,Conservation status of species listed in the CITES Appendices has stabilized or improved,GBF,NA,Ecosystems,Species Conservation,NA,NA
Target 5,red list index for used species,GBF_C_T5_30,Red List Index for used species,NA,NA,NA,NA,NA,NA
Target 5,living planet index for used species,GBF_C_T5_31,Living Planet Index for used species,NA,NA,NA,NA,NA,NA
Target 5,sustainable use of wild species,GBF_C_T5_32,Sustainable use of Wild Species,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA
Target 6,rate of invasive species impact and rate of impact,GBF_C_T6_33,Rate of invasive species impact and rate of impact,GBF,NA,Direct Drivers,Invasive Alien Species,NA,NA
Target 6,rate of invasive alien species spread,GBF_C_T6_34,Rate of invasive alien species spread,GBF,NA,Direct Drivers,Invasive Alien Species,NA,NA
Target 6,number of invasive alien species introduction events,GBF_C_T6_35,Number of invasive alien species introduction events,GBF,1,Direct Drivers,Invasive Alien Species,NA,NA
Target 7,fertilizer use,GBF_C_T7_36,Fertilizer use,GBF,1,Direct Drivers,Pollution,NA,NA
Target 7,proportion of domestic and industrial wastewater flows safely treated,GBF_C_T7_37,Proportion of domestic and industrial wastewater flow safely treated,"GBF,SDG",NA,Human Assets,Infrastructure (Build-Up Area),NA,NA
Target 7,floating plastic debris density,GBF_C_T7_38,Floating plastic debris density [by micro and macro plastics],GBF,NA,Ecosystems,State Of Ecosystems (Integrity),Direct Drivers,Pollution
Target 7,red list index (impacts of pollution),GBF_C_T7_39,Red List Index (impact of pollution),GBF,1,Biodiversity,State Of Biodiversity,Direct Drivers,Pollution
Target 8,total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),GBF_C_T8_40,Total climate regulation services provided by ecosystems by ecosystem type (System of Environmental Economic Accounts),GBF,NA,Ecosystem Services,Nature Contribution,NA,NA
Target 8,number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030 which include biodiversity,GBF_C_T8_41,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 which include biodiversity,GBF,NA,Governance,Nature-Based Legislation,NA,NA
Target 8,national greenhouse inventories from land use and land use change,GBF_C_T8_42,National greenhouse inventories from land use and land use change,GBF,NA,Direct Drivers,Climate Change,NA,NA
Target 8,bioclimatic ecosystem resilience index (beri),GBF_C_T8_43,Bioclimatic Ecosystem Resilience Index (BERI),GBF,NA,Ecosystems,State Of Biodiversity,NA,NA
Target 9,"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",GBF_C_T9_44,"Number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",GBF,NA,Human Assets,Infrastructure (Build-Up Area),Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems
Target 9,red list index (for utilized species),GBF_C_T9_45,Red List Index (species used for food and medicine),GBF,1,Biodiversity,State Of Biodiversity,Ecosystem Services,Nature Contribution
Target 9,living planet index (for used species),GBF_C_T9_46,Living Planet Index (for used species),GBF,NA,Ecosystems,State Of Biodiversity,Ecosystem Services,Nature Contribution
Target 10,area of forest under sustainable management: total forest management certification by forest stewardship council and programme for the endorsement of forest certification,GBF_C_T10_47,Area of forest under sustainable management: total forest management certification by Forest Stewardship Council and Programme for the Endorsement of Forest Certification,GBF,1,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,Governance,Nature-Based Legislation
Target 10,"average income of small-scale food producers, by sex and indigenous status",GBF_C_T10_48,"Average income of small-scale food producers, by sex and indigenous status","GBF,SDG",1,Human Assets,Income,NA,NA
Target 11,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",GBF_C_T11_49,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","GBF,SDG",1,Direct Drivers,Natural Drivers,NA,NA
Target 11,"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)",GBF_C_T11_50,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)","GBF,SDG",NA,Human Well-Being,Healthy Living Conditions,Direct Drivers,Pollution
Target 11,annual mean levels of fine particulate matter (e.g. pm2.5 and pm10) in cities,GBF_C_T11_51,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities,NA,NA,NA,NA,NA,NA
Target 11,proportion of bodies of water with good ambient water quality,GBF_C_T11_52,Proportion of bodies of water with good ambient water quality,"GBF,SDG",1,Ecosystems,State Of Ecosystems,Human Well-Being,Healthy Living Conditions
Target 11,level of water stress,GBF_C_T11_53,Level of water stress,GBF,NA,Ecosystems,State Of Ecosystems,Human Well-Being,Healthy Living Conditions
Target 12,recreation and cultural ecosystem services provided,GBF_C_T12_54,Recreation and cultural ecosystem services provided,GBF,NA,Human Well-Being,Recreation,NA,NA
Target 13,number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,GBF_C_T13_55,Number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,GBF,NA,Biodiversity,Genetic Resources,NA,NA
Target 14,number of countries with implementation of the system of environmental economic accounting,GBF_C_T14_56,Number of countries with Implementation of the System of Environmental Economic Accounting,GBF,NA,Governance,Nature-Based Funding,NA,NA
Target 15,indicator based on task force for naturerelated financial disclosures,GBF_C_T15_57,Indicator based on Task Force for Naturerelated Financial Disclosures,GBF,NA,Human Assets,State Of Economy,NA,NA
Target 16,food waste index,GBF_C_T16_58,Food waste index,"GBF,SDG",1,Human Well-Being,Healthy Living Conditions,Human Assets,Coverage Of Basic Needs
Target 16,material footprint per capita,GBF_C_T16_59,Material footprint per capita,GBF,NA,Human Assets,State Of Economy,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems
Target 16,global environmental impacts of consumption,GBF_C_T16_60,Global environmental impacts of consumption,GBF,NA,Direct Drivers,Land Conversion,NA,NA
Target 16,ecological footprint,GBF_C_T16_61,Ecological footprint,GBF,1,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,NA
Target 18,"value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",GBF_C_T18_63,"Value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",GBF,NA,Governance,Nature-Based Funding,NA,NA
Target 21,species status index,GBF_C_T21_66,Species status index,GBF,1,Biodiversity,State Of Biodiversity,NA,NA
Target 21,"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",GBF_C_T21_67,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",NA,NA,NA,NA,NA,NA
Target 22,"proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",GBF_C_T22_68,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",NA,NA,NA,NA,NA,NA
Target 23,proportion of seats held by women in (a) national parliaments and (b) local governments,GBF_C_T23_69,Proportion of seats held by women in (a) national parliaments and (b) local governments,NA,NA,NA,NA,NA,NA
Target 23,indicator on national implementation of the gender plan of action 2023-2030,GBF_C_T23_70,Indicator on national implementation of the Gender Plan of Action 2023-2030,NA,NA,NA,NA,NA,NA
Target 23,"proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",GBF_C_T23_71,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",NA,NA,NA,NA,NA,NA
Goal A,forest area as a percentage of total land area,GBF_CY_GA_1,Forest area as a proportion of total land area,"GBF,SDG",1,Ecosystems,State Of Ecosystems (Coverage),NA,NA
Goal A,forest distribution,GBF_CY_GA_2,Forest distribution,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Goal A,tree cover loss,GBF_CY_GA_3,"Tree cover loss
",GBF,NA,Biodiversity,Change In Biodiversity,NA,NA
Goal A,grassland and savannah extent,GBF_CY_GA_4,Grassland and savannah extent,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Goal A,mountain green cover index,GBF_CY_GA_5,"Mountain Green Cover Index
","GBF,SDG",1,Ecosystems,State Of Ecosystems (Coverage),NA,NA
Goal A,peatland extent and condition,GBF_CY_GA_6,"Peatland extent and condition
",GBF,NA,Ecosystems,State Of Ecosystems (Coverage),NA,NA
Goal A,"permafrost thickness, depth and extent",GBF_CY_GA_7,"Permafrost thickness, depth and extent
",GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Goal A,continuous global mangrove forest area,GBF_CY_GA_8,"Continuous Global Mangrove Forest Cover
",GBF,NA,Ecosystems,State Of Ecosystems (Configuration),NA,NA
Goal A,trends in mangrove forest fragmentation,GBF_CY_GA_9,"Trends in mangrove forest fragmentation
",GBF,NA,Ecosystems,Change In Ecosystems,NA,State Of Ecosystems (Configuration)
Goal A,trends in mangrove extent,GBF_CY_GA_10,"Trends in mangrove extent
",GBF,NA,Ecosystems,Change In Ecosystems,NA,State Of Ecosystems (Coverage)
Goal A,live coral cover,GBF_CY_GA_11,"Live coral cover 
",GBF,1,Biodiversity,State Of Biodiversity,NA,NA
Goal A,hard coral cover and composition,GBF_CY_GA_12,"Hard coral cover and composition 
",GBF,NA,Biodiversity,State Of Biodiversity,NA,NA
Goal A,global coral reef extent,GBF_CY_GA_13,"Global coral reef extent 
",GBF,NA,Biodiversity,State Of Biodiversity,NA,NA
Goal A,global seagrass extent (seagrass cover and composition),GBF_CY_GA_14,Global Seagrass Extent (Seagrass Cover and composition),GBF,NA,Biodiversity,State Of Biodiversity,NA,NA
Goal A,global saltmarsh extent,GBF_CY_GA_15,"Global saltmarsh extent
",GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
Goal A,kelp canopy extent,GBF_CY_GA_16,"Kelp canopy extent
",GBF,NA,Biodiversity,State Of Biodiversity,NA,NA
Goal A,macroalgal canopy cover and composition,GBF_CY_GA_17,"Macroalgal Canopy Cover and Composition
",GBF,NA,Biodiversity,State Of Biodiversity,NA,NA
Goal A,cover of key benthic groups,GBF_CY_GA_18,"Cover of key benthic groups
",GBF,NA,Biodiversity,State Of Biodiversity,NA,NA
Goal A,fleshy algae cover,GBF_CY_GA_19,"Fleshy algae cover
",GBF,NA,Biodiversity,State Of Biodiversity,NA,NA
Goal A,wetland extent trends index,GBF_CY_GA_20,"Wetland Extent Trends Index
",GBF,1,Ecosystems,Change In Ecosystems,NA,NA
Goal A,change in the extent of inland water ecosystems over time,GBF_CY_GA_21,Change in the extent of inland water ecosystems over time,GBF,NA,Ecosystems,State Of Ecosystems,NA,Change In Ecosystems
Goal A,forest fragmentation index,GBF_CY_GA_22,"Forest Fragmentation Index
",GBF,NA,Ecosystems,State Of Ecosystems,NA,NA
