indicators_harmonized,ga,sua,va,ias,ipbes,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,indic,indic_ext,var_ext,ILK_ext
evolutionarily distinct and globally endangered (edge),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
living planet index,1,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
change in the extent of water-related ecosystems over time,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
red list index (for utilized species),1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
living planet index (for used species),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
priority retention of intact / wilderness areas,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
maintenance and restoration of connectivity of natural ecosystems,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
protected area coverage of key biodiversity areas,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
protected area management effectiveness (pame),1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
connectivity indicator,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
number of protected areas that have completed a site-level assessment of governance and equity (sage),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
species protection index,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
number of plant and animal genetic resources secured in medium or long-term conservation facilities,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
trends in effective and sustainable management of human-wildlife conflict and coexistence,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
green status of species index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
conservation status of species listed in the cites appendices has stabilized or improved,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
sustainable use of wild species,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
rate of invasive species impact and rate of impact,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
rate of invasive alien species spread,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
number of invasive alien species introduction events,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
fertilizer use,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
proportion of domestic and industrial wastewater flows safely treated,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
floating plastic debris density,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
red list index (impacts of pollution),1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030 which include biodiversity,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
national greenhouse inventories from land use and land use change,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
bioclimatic ecosystem resilience index (beri),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
area of forest under sustainable management: total forest management certification by forest stewardship council and programme for the endorsement of forest certification,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
"average income of small-scale food producers, by sex and indigenous status",NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)",NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
annual mean levels of fine particulate matter in cities,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
proportion of bodies of water with good ambient water quality,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
level of water stress,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
recreation and cultural ecosystem services provided,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
number of countries with implementation of the system of environmental economic accounting,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
indicator based on task force for naturerelated financial disclosures,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
food waste index,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA
material footprint per capita,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
global environmental impacts of consumption,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
ecological footprint,1,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
species status index,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in national education policies,NA,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in curricula,NA,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in teacher education,NA,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in student assessment,NA,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA
"proportion of total adult population with secure tenure rights to land with legally recognized documentation, by sex and type of tenure",NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"proportion of total adult population with secure tenure rights to land who perceive their rights to land as secure, by sex and type of tenure",NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
proportion of seats held by women in national parliaments,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
proportion of seats held by women in local governments,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
indicator on national implementation of the gender plan of action,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
forest area as a percentage of total land area,1,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA
forest distribution,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
tree cover loss,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
grassland and savannah extent,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
mountain green cover index,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA
peatland extent and condition,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"permafrost thickness, depth and extent",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
continuous global mangrove forest area,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
trends in mangrove forest fragmentation,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
trends in mangrove extent,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
live coral cover,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
hard coral cover and composition,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
global coral reef extent,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
global seagrass extent (seagrass cover and composition),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
global saltmarsh extent,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
kelp canopy extent,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
macroalgal canopy cover and composition,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
cover of key benthic groups,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
fleshy algae cover,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
wetland extent trends index,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
change in the extent of inland water ecosystems over time,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
forest fragmentation index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
forest landscape integrity index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
biomass of selected natural ecosystems,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
global vegetation health products,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
relative magnitude of fragmentation (rmf),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
biodiversity intactness index,1,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
ocean health index,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
extent of physical damage indicator to predominant seafloor habitats physical damage,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
river fragmentation index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
dendritic connectivity index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
percentage of threatened species that are improving in status,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
number of threatened species by species group,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
wild bird index,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
mean species abundance (msa),1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
changes in plankton biomass and abundance,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
fish abundance and biomass,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
genetic scorecard for wild species,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
species richness,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA
local species richness (predicts),1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
marine species richness,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
comprehensiveness of conservation of socioeconomically as well as culturally valuable species,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
proportion of local breeds classified as being at risk of extinction,1,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA
red list index (wild relatives of farmed and domesticated species),1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
cms connectivity indicator,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
intact wilderness,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
loss of phylogenetic diversity,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
proportion of populations maintained within species,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
free flowing rivers,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
levels of poverty in biodiversity depended communities,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
red list index (pollinators),1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
green status index (pollinators),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
air quality index,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
air pollution emissions account,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
zoonotic disease in wildlife,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
climatic impact index,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
ocean acidification,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),NA,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA
eflow index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
change in the quality of inland water ecosystems over time,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
change in the quality of coastal water ecosystems over time,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
level of erosion,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
biofuel production,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA
fish catch potential,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
population involved in hunting and gathering,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
forestry production and trade (wood fuel),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
trends in the legal trade of medicinal plants,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
visitor management assessment,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
linguistic diversity index,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
trends of bilinguistic diversity and numbers of speakers of indigenous languages,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
cultural vitality index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
unesco culture 2030 (multiple indicators),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
processes and tools to monitor the implementation of a right to a healthy environment,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
red list index (internationally traded species),1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
total number of internationally recognized certificates of compliance published in the abs clearing-house,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
number of checkpoint communiques published in the abs clearing-house,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
number of internationally recognized certificates of compliance for non-commercial purposes,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
finance mobilized for capacity-building,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"financial and technical assistance provided in dollars (including through south-south, northsouth and triangular cooperation)",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
number of scientists per population,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
nationally maintained research vessels,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
proportion of total research budget allocated to research in the field of marine technology,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
volume of official development assistance flows for scholarships by sector and type of study,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
number of countries using natural capital accounts in planning processes,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
percentage of spatial plans utilizing information on key biodiversity areas,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
habitat patches located within marine protected areas or integrated coastal zone management (iczm),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
number of countries using ocean accounts in planning processes,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
proportion of transboundary basin area with an operational arrangement for water cooperation,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
percent of total land area that is under cultivation,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation would work here for ips (not necessarily lcs), if spatial planning was substituted for conservation",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
habitat distributional range,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
increase in secondary natural forest cover,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
annual tropical primary tree cover loss,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
global ecosystem restoration index,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
