indicators_harmonized,ga,sua,va,geo,ipcc,km_gbf,sdg,ipbes,var,indic,ILK_indicators
mean species abundance (msa) (hotspots),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
mean species abundance (msa) (indigenous lands),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"biodiversity intactness index (tropical forest, hotspots)",1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"biodiversity intactness index (tropical forest, indigenous lands)",1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
biodiversity intactness index (tropical forest),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
bird species per grid cell,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
cumulative introduced invasive aliens,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
forest-specialist bird species per grid cell,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
functional intactness (madingley),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
species richness per grid cell,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
global bird richness (csar),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
global forest-specialist bird richness (csar),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
global mammal and bird species remaining,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
red list index,1,1,NA,1,NA,1,1,1,NA,1,NA
red list index (forest specialists),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
red list index (internationally traded birds),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
red list index (pollinators),1,NA,NA,NA,NA,1,NA,1,NA,1,NA
red list index (for utilized species),1,NA,NA,1,NA,1,NA,1,NA,1,NA
red list index (wild relatives),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
extent of suitable habitat (mammals),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
mammalian range size,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
megafaunal range size,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
species habitat index,1,NA,NA,NA,NA,1,NA,1,NA,1,NA
proportion of fish stocks within biologically sustainable levels,1,1,NA,1,NA,1,1,1,NA,1,NA
living planet index (freshwater),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
living planet index (marine),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
living planet index,1,1,NA,1,NA,1,NA,1,NA,1,NA
living planet index (terrestrial),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
predatory fish biomass,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
prey fish biomass,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
wild bird index (habitat specialists),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
wild mammal biomass,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
functional richness (madingley),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
mammalian body mass,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
marine trophic index (mti),1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
extent of each ecoregion globally,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
landscape dominance of habitat,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
number of managed bee hives,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
abundance of managed and wild pollinators,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
pollinator diversity,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
proportion pollinator dependent vegetables/fruit in food supply,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
number of visitors to national parks in the eeuu,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
output from pollinator dependent crops,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
carbon stocks in ecosystems,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
prevented emissions from biofuel use,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
vegetation type and cover in areas prone to soil dust emission,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
leaf properties,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
vegetation type and cover in areas prone to soil dust movement,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
concentration of air pollutants in the air,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
retention and prevented emissions of air pollutants by ecosystems,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
amelioration of health problems caused by air pollution resulted from ecosystem contributions to air quality,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
reduction in the number of deaths caused by air pollution reduction by ecosystems,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"premature deaths caused by pollution emissions by natural sources, biomass burning, firewood use and agriculture",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
cost reduction with healthcare resulted from ecosystem contributions to air quality,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
cost reduction associated to prevented deaths caused by air pollution as consequence of ecosystems’ deposition of air pollutants,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
vegetation-atmosphere co2 exchange,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
below- and above-ground biomass stocks,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
biomass changes,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
remote sensed vegetation,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
mechanistic models that quantify and disentangle effects of vegetation on climate and hydrological cycle,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
atmospheric sounding,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
infiltrability,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
air temperature low-cost thermal imagery,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
soil organic carbon,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
dust emissions,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
net greenhouse gases emissions,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
air-sea and sediment-water fluxes of carbon and co2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
air-sea fluxes of other greenhouse gases such as dimethyl sulfide,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
dissolved organic carbon,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
co2 removal from atmosphere,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
net primary production,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
abundance of sulfate reducing microorganisms,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
carbon sequestration,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
concentration of greenhouse gases in the atmosphere,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
prevented emissions and uptake of greenhouse gases by ecosystems,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
number of deaths caused by extreme climatic events,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
food security and climate change,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
number of undernourished people,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
crop production breaks caused by climate change,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"economic impacts of climate change on specific aspects of regional economic activity, such as labour productivity, the supply of production factors such as capital, and changes in the structure of demand",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
extent of marine vegetation,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
extent of marine calcification,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
net primary production seaweed aquaculture,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
extent of coral reefs,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
land use change that causes a change in et,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
change in terrestrial biomass,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
change in extent of wetlands and inland water bodies,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"biotic mediation of air-surface-groundwater partitioning (water demand by vegetation, infiltration",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
water availability,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
water available for people relative to demand,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
extent of irrigated area,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
water shortage,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
desertification,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
how much kw hrs that are dependent on water ag (irrigated area),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
suspended organic carbon,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
existence of non-crop or urban in a place dominated by either,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
capacity of ecosystem to filter (or add) constituent components (extent of vegetation),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
concentration of constituents (pollutants) in the water,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
reduced incidence of water borne disease,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
avoided water treatment costs,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
rain-use efficiency adjusted ndvi,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
crop yield,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
soil depth,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
food security,1,NA,NA,1,NA,NA,NA,1,1,NA,NA
soil biodiversity,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
soil quality,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
soil degradation impact on crop productivity,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
coral reefs distribution and extent,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
mangrove distribution and abundance,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
saltmarsh distribution and abundance,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
coastal forest distribution and extent,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
globally available combined bathy/topo,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
globally available data for waves and wind,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
globally available continental shelf,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
thousands of deaths each year,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
billions of dollars each year,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
fraction of people die due to flood,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
fraction of people infected with disease of flood,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
post-traumatic stress disorder score,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
cumulative exposure indicators,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
psychological health indicators,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
direct tangible damage loss,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
landscape inundated by the flood,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"absolute damage to roads and transportation, power plant,etc",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
lowered incidence and impact of hazards,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
lowered flood peaks,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
lowered fuel load (fires),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
coastal protection,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
landslides stabilization,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
incidence of hazards,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
reduced morbidity and premature mortality,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
reduced property loss,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
near- or on-farm habitat diversity,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
landscape complexity,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
abundance of alternative hosts species,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
species richness,1,NA,NA,NA,NA,1,NA,1,NA,1,NA
avoided costs of pesticide use,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
avoided costs of health treatment of vbd,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
reduced pesticide use,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
reduced prevalence of vbd,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
diversity of biological controllers of pests,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
diversity of competent hosts of vector-borne and zoonotic diseases,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
abundance of wild and managed biological controllers of pests,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
abundance of competent hosts of vector-born and zoonotic diseases,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
avoided pest damage to crop and livestock,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
reduced incidence rate of vector-borne and zoonotic diseases,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"tonnage of biomass (sugar cane, corn, palm oil)",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
land area in biomass production,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
tonnage of fuelwood,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
biomass estimates in forests,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
numbers of livestock and use rate,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"tonnage of biomass (sugar cane, corn, palm oil), other energy crops",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
yield (production) in tonnage,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
biofuel yield in joules or liters,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"biofuel yield in joules or liters from agricultural/horticultural residue, forestry industry residue, other organic residues or by-products from various industries/process",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
biofuel yield in joules or liters from industrial effluents and/or municipal solid waste,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
biofuel yield joules or liters from algal/microalgae biomass,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
population directly reliant on biomass,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
kwh x price,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
tons of oil equivalent x price,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
land suitability and extent of bioenergy crop and livestock producing and harvesting areas,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
diversity and abundance of species for bioenergy use,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
energy content of bioenergy crops,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
tonnage of animal waste used for energy,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
increased energy security,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
revenue from bioenergy production,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
yield per hectare converted to caloric or nutrient yield,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
agrodiversity and landraces known to date for major crops,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
remote sensing of croplands,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
types of agroecosystems,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
landed catch,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
aquaculture production,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
quantity of fish produced for animal/aquaculture feed,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
mean length of catch,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
large fish indicator,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
trophic level of the landed catch,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
mean length of fish in the community,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
proportion of predatory fish,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
trophic level of the community,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
proportion of non-declining species in the surveyed community,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
change in mean fish size,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
trends in fisheries certified by the msc,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
status of assessed fish stocks,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
indicator of unsustainable fisheries (iuu),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
ocean health index,1,NA,NA,1,NA,1,NA,1,NA,1,NA
ebfm performance index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
fisheries management effectiveness index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
fisheries management index,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
value of production,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
value of catch,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"nutritional output (calories, nutrients)",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
farm size distribution,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
nutrition derived from fish,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
fisheries revenues,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
gross value added (gva),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
potential catch loss,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
production of fish meal and fish oil use in aquaculture/animal feeds,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
number of jobs,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
arable land remaining,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
fish catch potential,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA
kcal capita,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
dietary diversity,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
hunger,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
malnutrition,1,NA,NA,1,NA,NA,NA,1,1,NA,NA
timber harvest (m3/ha/year),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
grass/fodder (kg),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
bamboos and rattans market value,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
market value,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
gums (kg),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
resins (kg),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
latexes (kg),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
oil (kg),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
waxes (kg),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
tannins (kg),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
dyes (kg),1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
