Goal/target,indicators_harmonized,indic_id,indicators_orig
Target 4,proportion of populations within species with an effective population size > 500,GBF_H_T4_20,The proportion of populations within species with an effective population size > 500
Target 5,proportion of fish stocks within biologically sustainable levels,GBF_H_T5_21,Proportion of fish stocks within biologically sustainable levels
Target 6,rate of invasive alien species establishment,GBF_H_T6_22,Rate of invasive alien species establishment
Target 6,"number of countries adopting relevant regulation, processes and measures and allocating resources to reduce the impact of invasive alien species",GBF_H_T6_23,"Number of countries adopting relevant regulation, processes and measures and allocating resources to reduce the impact of invasive alien species."
Target 7,index of coastal eutrophication potential (icep),GBF_H_T7_24,Index of coastal eutrophication potential
Target 7,aggregated total applied toxicity,GBF_H_T7_25,Aggregated Total Applied Toxicity
Target 8,number of countries with agreed policies to minimize the impact of climate change and ocean acidification on biodiversity and that minimize negative and foster positive impacts of climate action on biodiversity,GBF_H_T8_26,Number of countries with agreed policies to minimize the impact of climate change and ocean acidification on biodiversity and that minimize negative and foster positive impacts of climate action on biodiversity.
Target 9,benefits from the sustainable use of wild species,GBF_H_T9_27,Benefits from the sustainable use of wild species
Target 9,percentage of the population in traditional occupations,GBF_H_T9_28,Percentage of the population in traditional occupations
Target 9,"number of countries with policies to sustainably manage, use [and trade] wild species, providing social, economic and environmental benefits for people, and that protect and encourage customary sustainable use [of wild species] by indigenous peoples and local communities",GBF_H_T9_29,"Number of countries with policies to sustainably manage, use [and trade] wild species, providing social, economic and environmental benefits for people, and that protect and encourage customary sustainable use [of wild species] by indigenous peoples and local communities."
Target 10,proportion of agricultural area under productive and sustainable agriculture,GBF_H_T10_30,Proportion of agricultural area under productive and sustainable agriculture
Target 10,progress towards sustainable forest management,GBF_H_T10_31,Progress towards sustainable forest management
Target 11,services provided by ecosystems,GBF_H_T11_32,Services provided by ecosystems
Target 12,average share of the built-up area of cities that is green/blue space for public use for all,GBF_H_T12_33,Average share of the built-up area of cities that is green/blue space for public use for all
Target 12,number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces,GBF_H_T12_34,Number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces.
Target 13,indicator on monetary benefits received,GBF_H_T13_35,Indicator on monetary benefits received
Target 13,indicator on non-monetary benefits,GBF_H_T13_36,Indicator on non-monetary benefits
Target 13,"number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources",GBF_H_T13_37,"Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources."
Target 14,"number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty [reduction][eradication] strategies and accounts at all levels, [ensuring that biodiversity values are mainstreamed] [and] across all sectors [ and fiscal and financial flows are aligned with it]",GBF_H_T14_38,"Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty [reduction][eradication] strategies and accounts at all levels, [ensuring that biodiversity values are mainstreamed] [and] across all sectors [ and fiscal and financial flows are aligned with it]."
Target 15,"number of companies disclosing their biodiversity-related risks, dependencies and impacts",GBF_H_T15_39,"Number of companies disclosing their biodiversity-related risks, dependencies and impacts"
Target 15,"number of countries taking legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular, ensuring that large and transnational companies and financial institutions, to progressively reduce negative impacts from business and financial institutions on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production",GBF_H_T15_40,"Number of countries taking legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular, ensuring that large and transnational companies and financial institutions, to progressively reduce negative impacts from business and financial institutions on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production."
Target 16,"number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices",GBF_H_T16_41,"Number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices."
Target 17,number of countries that have taken action to implement biosafety measures as set out in article 8(g) of the convention and measures for the handling of biotechnology and the distribution of its benefits as set out in article 19,GBF_H_T17_42,Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19.
Target 18,positive incentives in place to promote biodiversity conservation and sustainable use,GBF_H_T18_43,Positive incentives in place to promote biodiversity conservation and sustainable use
Target 18,value of subsidies and other incentives harmful to biodiversity,GBF_H_T18_44,Value of subsidies and other incentives harmful to biodiversity
Target 19,"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",GBF_H_T19_45,"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems"
Target 19,domestic public funding on conservation and sustainable use of biodiversity and ecosystems,GBF_H_T19_46,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems
Target 19,private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,GBF_H_T19_47,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems
Target 20,"number of countries that have taken significant action to strengthen capacity-building and development, access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation",GBF_H_T20_48,"Number of countries that have taken significant action to strengthen capacity-building and development, access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation."
Target 21,indicator on biodiversity information for monitoring the global biodiversity framework,GBF_H_T21_49,Indicator on biodiversity information for monitoring the global biodiversity framework
Target 22,"number of countries [promoting the full, equitable, inclusive, effective and gender-responsive representation and participation] and [recognizing the rights of indigenous peoples and local communities with respect to their traditional territories, cultures and practices as well as the rights of environmental human rights defenders, women, youth, and persons with disabilities] [ensuring representation and participation in decision-making and access to justice and information in relation with biodiversity and ensuring the legal rights of indigenous peoples and local communities, including respecting their rights over lands, territories, resources and traditional knowledge, women and girls, children and youth and persons with disabilities, and ensuring the full protection of human rights of environmental defenders.]",GBF_H_T22_50,"Number of countries [promoting the full, equitable, inclusive, effective and gender-responsive representation and participation] and [recognizing the rights of indigenous peoples and local communities with respect to their traditional territories, cultures and practices as well as the rights of environmental human rights defenders, women, youth, and persons with disabilities] [ensuring representation and participation in decision-making and access to justice and information in relation with biodiversity and ensuring the legal rights of indigenous peoples and local communities, including respecting their rights over lands, territories, resources and traditional knowledge, women and girls, children and youth and persons with disabilities, and ensuring the full protection of human rights of environmental defenders.]"
Target 23,"number of countries with legal, administrative or policy frameworks, including the gender plan of action, as well as the allocation of specific financial resources to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the convention, including by ensuring women’s equal rights and access to land and natural resources",GBF_H_T23_51,"Number of countries with legal, administrative or policy frameworks, including the Gender Plan of Action, as well as the allocation of specific financial resources to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the Convention, including by ensuring women’s equal rights and access to land and natural resources."
Goal A,ecosystem intactness index,GBF_C_GA_1,Ecosystem Intactness Index
Goal A,ecosystem integrity index,GBF_C_GA_2,Ecosystem Integrity Index
Goal A,species habitat index,GBF_C_GA_3,Species habitat Index
Goal A,biodiversity habitat index,GBF_C_GA_4,Biodiversity Habitat Index
Goal A,protected connected (protconn) index,GBF_C_GA_5,Protected Connected (Protconn) index
Goal A,protected area connectedness (parc-connectedness) index,GBF_C_GA_6,Protected Area Connectedness Index (PARC-Connectedness)
Goal A,evolutionarily distinct and globally endangered (edge),GBF_C_GA_7,Evolutionarily Distinct and Globally Endangered (EDGE)
Goal A,living planet index,GBF_C_GA_8,Living Planet Index
Goal A,change in the extent of water-related ecosystems over time,GBF_C_GA_9,Change in the extent of water-related ecosystems over time
Goal B,red list index (for utilized species),GBF_C_GB_10,Red List Index (for utilized species)
Goal B,living planet index (for used species),GBF_C_GB_11,Living Planet Index (for used species)
Target 1,priority retention of intact / wilderness areas,GBF_C_T1_14,Priority retention of intact / wilderness areas
Target 2,extent of natural ecosystems,GBF_C_T2_15,Extent of natural ecosystems by type
Target 2,maintenance and restoration of connectivity of natural ecosystems,GBF_C_T2_16,Maintenance and restoration of connectivity of natural ecosystems
Target 3,protected area coverage of key biodiversity areas,GBF_C_T3_17,Protected area coverage of key biodiversity areas
Target 3,protected area management effectiveness (pame),GBF_C_T3_18,Protected Area Management Effectiveness (PAME)
Target 3,protconn,GBF_C_T3_19,Protconn
Target 3,protected area connectedness (parc-connectedness) index,GBF_C_T3_20,Protected Area Connectedness Index (PARC-Connectedness)
Target 3,red list of ecosystems,GBF_C_T3_21,Red List of Ecosystems
Target 3,connectivity indicator (in development),GBF_C_T3_22,Connectivity Indicator (in development)
Target 3,the number of protected areas that have completed a site-level assessment of governance and equity (sage),GBF_C_T3_23,The number of protected areas that have completed a site-level assessment of governance and equity (SAGE)
Target 3,species protection index,GBF_C_T3_24,Species Protection Index
Target 4,living planet index,GBF_C_T4_25,Living Planet Index
Target 4,number of plant and animal genetic resources secured in medium or long-term conservation facilities,GBF_C_T4_26,Number of plant and animal genetic resources secured in medium or long-term conservation facilities
Target 4,trends in effective and sustainable management of human-wildlife conflict and coexistence,GBF_C_T4_27,Trends in effective and sustainable management of human-wildlife conflict and coexistence
Target 4,green status of species index,GBF_C_T4_28,Green Status of Species Index
Target 4,conservation status of species listed in the cites appendices has stabilized or improved,GBF_C_T4_29,Conservation status of species listed in the CITES Appendices has stabilized or improved
Target 5,red list index for used species,GBF_C_T5_30,Red List Index for used species
Target 5,living planet index for used species,GBF_C_T5_31,Living Planet Index for used species
Target 5,sustainable use of wild species,GBF_C_T5_32,Sustainable use of Wild Species
Target 6,rate of invasive species impact and rate of impact,GBF_C_T6_33,Rate of invasive species impact and rate of impact
Target 6,rate of invasive alien species spread,GBF_C_T6_34,Rate of invasive alien species spread
Target 6,number of invasive alien species introduction events,GBF_C_T6_35,Number of invasive alien species introduction events
Target 7,fertilizer use,GBF_C_T7_36,Fertilizer use
Target 7,proportion of domestic and industrial wastewater flows safely treated,GBF_C_T7_37,Proportion of domestic and industrial wastewater flow safely treated
Target 7,floating plastic debris density,GBF_C_T7_38,Floating plastic debris density [by micro and macro plastics]
Target 7,red list index (impacts of pollution),GBF_C_T7_39,Red List Index (impact of pollution)
Target 8,total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),GBF_C_T8_40,Total climate regulation services provided by ecosystems by ecosystem type (System of Environmental Economic Accounts)
Target 8,number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030 which include biodiversity,GBF_C_T8_41,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 which include biodiversity
Target 8,national greenhouse inventories from land use and land use change,GBF_C_T8_42,National greenhouse inventories from land use and land use change
Target 8,bioclimatic ecosystem resilience index (beri),GBF_C_T8_43,Bioclimatic Ecosystem Resilience Index (BERI)
Target 9,"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",GBF_C_T9_44,"Number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)"
Target 9,red list index (for utilized species),GBF_C_T9_45,Red List Index (species used for food and medicine)
Target 9,living planet index (for used species),GBF_C_T9_46,Living Planet Index (for used species)
Target 10,area of forest under sustainable management: total forest management certification by forest stewardship council and programme for the endorsement of forest certification,GBF_C_T10_47,Area of forest under sustainable management: total forest management certification by Forest Stewardship Council and Programme for the Endorsement of Forest Certification
Target 10,"average income of small-scale food producers, by sex and indigenous status",GBF_C_T10_48,"Average income of small-scale food producers, by sex and indigenous status"
Target 11,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",GBF_C_T11_49,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
Target 11,"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)",GBF_C_T11_50,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)"
Target 11,annual mean levels of fine particulate matter (e.g. pm2.5 and pm10) in cities,GBF_C_T11_51,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities
Target 11,proportion of bodies of water with good ambient water quality,GBF_C_T11_52,Proportion of bodies of water with good ambient water quality
Target 11,level of water stress,GBF_C_T11_53,Level of water stress
Target 12,recreation and cultural ecosystem services provided,GBF_C_T12_54,Recreation and cultural ecosystem services provided
Target 13,number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,GBF_C_T13_55,Number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit
Target 14,number of countries with implementation of the system of environmental economic accounting,GBF_C_T14_56,Number of countries with Implementation of the System of Environmental Economic Accounting
Target 15,indicator based on task force for naturerelated financial disclosures,GBF_C_T15_57,Indicator based on Task Force for Naturerelated Financial Disclosures
Target 16,food waste index,GBF_C_T16_58,Food waste index
Target 16,material footprint per capita,GBF_C_T16_59,Material footprint per capita
Target 16,global environmental impacts of consumption,GBF_C_T16_60,Global environmental impacts of consumption
Target 16,ecological footprint,GBF_C_T16_61,Ecological footprint
Target 18,"value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",GBF_C_T18_63,"Value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated"
Target 21,species status index,GBF_C_T21_66,Species status index
Target 21,"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",GBF_C_T21_67,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments"
Target 22,"proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",GBF_C_T22_68,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure"
Target 23,proportion of seats held by women in (a) national parliaments and (b) local governments,GBF_C_T23_69,Proportion of seats held by women in (a) national parliaments and (b) local governments
Target 23,indicator on national implementation of the gender plan of action 2023-2030,GBF_C_T23_70,Indicator on national implementation of the Gender Plan of Action 2023-2030
Target 23,"proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",GBF_C_T23_71,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure"
Goal A,forest area as a percentage of total land area,GBF_CY_GA_1,Forest area as a proportion of total land area
Goal A,forest distribution,GBF_CY_GA_2,Forest distribution
Goal A,tree cover loss,GBF_CY_GA_3,"Tree cover loss
"
Goal A,grassland and savannah extent,GBF_CY_GA_4,Grassland and savannah extent
Goal A,mountain green cover index,GBF_CY_GA_5,"Mountain Green Cover Index
"
Goal A,peatland extent and condition,GBF_CY_GA_6,"Peatland extent and condition
"
Goal A,"permafrost thickness, depth and extent",GBF_CY_GA_7,"Permafrost thickness, depth and extent
"
Goal A,continuous global mangrove forest area,GBF_CY_GA_8,"Continuous Global Mangrove Forest Cover
"
Goal A,trends in mangrove forest fragmentation,GBF_CY_GA_9,"Trends in mangrove forest fragmentation
"
Goal A,trends in mangrove extent,GBF_CY_GA_10,"Trends in mangrove extent
"
Goal A,live coral cover,GBF_CY_GA_11,"Live coral cover 
"
Goal A,hard coral cover and composition,GBF_CY_GA_12,"Hard coral cover and composition 
"
Goal A,global coral reef extent,GBF_CY_GA_13,"Global coral reef extent 
"
Goal A,global seagrass extent (seagrass cover and composition),GBF_CY_GA_14,Global Seagrass Extent (Seagrass Cover and composition)
Goal A,global saltmarsh extent,GBF_CY_GA_15,"Global saltmarsh extent
"
Goal A,kelp canopy extent,GBF_CY_GA_16,"Kelp canopy extent
"
Goal A,macroalgal canopy cover and composition,GBF_CY_GA_17,"Macroalgal Canopy Cover and Composition
"
Goal A,cover of key benthic groups,GBF_CY_GA_18,"Cover of key benthic groups
"
Goal A,fleshy algae cover,GBF_CY_GA_19,"Fleshy algae cover
"
Goal A,wetland extent trends index,GBF_CY_GA_20,"Wetland Extent Trends Index
"
Goal A,change in the extent of inland water ecosystems over time,GBF_CY_GA_21,Change in the extent of inland water ecosystems over time
Goal A,forest fragmentation index,GBF_CY_GA_22,"Forest Fragmentation Index
"
Goal A,forest landscape integrity index,GBF_CY_GA_23,"Forest Landscape Integrity Index
"
Goal A,biomass of selected natural ecosystems,GBF_CY_GA_24,"Biomass of selected natural ecosystems 
"
Goal A,biodiversity habitat index,GBF_CY_GA_25,Biodiversity Habitat Index
Goal A,global vegetation health products,GBF_CY_GA_26,"Global Vegetation Health Products
"
Goal A,bioclimatic ecosystem resilience index (beri),GBF_CY_GA_27,Bioclimatic Ecosystem Resilience Index (BERI)
Goal A,relative magnitude of fragmentation (rmf),GBF_CY_GA_28,"Relative Magnitude of Fragmentation (RMF) 
"
Goal A,ecosystem intactness index,GBF_CY_GA_29,"Ecosystem Intactness Index
"
Goal A,biodiversity intactness index,GBF_CY_GA_30,"Biodiversity Intactness Index 
"
Goal A,ocean health index,GBF_CY_GA_31,"Ocean Health Index 
"
Goal A,extent of physical damage indicator to predominant seafloor habitats physical damage,GBF_CY_GA_32,Extent of physical damage indicator to predominant seafloor habitats physical damage
Goal A,river fragmentation index,GBF_CY_GA_33,River Fragmentation Index
Goal A,dendritic connectivity index,GBF_CY_GA_34,Dendritic Connectivity Index
Goal A,percentage of threatened species that are improving in status,GBF_CY_GA_35,Percentage of threatened species that are improving in status according to the Red List
Goal A,number of threatened species by species group,GBF_CY_GA_36,Number of threatened species by species group
Goal A,wild bird index,GBF_CY_GA_37,Wild bird index
Goal A,mean species abundance (msa),GBF_CY_GA_38,Mean Species Abundance (MSA)
Goal A,species protection index,GBF_CY_GA_39,Species Protection Index
Goal A,changes in plankton biomass and abundance,GBF_CY_GA_40,Changes in plankton biomass and abundance
Goal A,fish abundance and biomass,GBF_CY_GA_41,Fish abundance and biomass
Goal A,genetic scorecard for wild species,GBF_CY_GA_42,Genetic scorecard for wild species
Goal A,species richness/local species richness (predicts),GBF_CY_GA_43,Species richness/Changes in local terrestrial diversity (PREDICTS)
Goal A,marine species richness,GBF_CY_GA_44,"Marine species richness 
"
Goal A,comprehensiveness of conservation of socioeconomically as well as culturally valuable species,GBF_CY_GA_45,Comprehensiveness of conservation of socioeconomically as well as culturally valuable species.
Goal A,number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,GBF_CY_GA_46,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities
Goal A,proportion of local breeds classified as being at risk of extinction,GBF_CY_GA_47,Proportion of local breeds classified as being at risk extinction
Goal A,red list index (wild relatives of farmed and domesticated species),GBF_CY_GA_48,Red List Index (wild relatives of domesticated animals)
Goal A,cms connectivity indicator,GBF_CY_GA_49,CMS Connectivity Indicator
Goal A,species status index,GBF_CY_GA_50,Species Status Index
Goal A,intact wilderness,GBF_CY_GA_51,"Intact Wilderness 
"
Goal A,loss of phylogenetic diversity,GBF_CY_GA_52,Expected Loss of Phylogenetic diversity
Goal A,proportion of populations maintained within species,GBF_CY_GA_53,Proportion of populations maintained within species
Goal A,free flowing rivers,GBF_CY_GA_54,Free flowing rivers
Goal B,levels of poverty in biodiversity depended communities,GBF_CY_GB_55,Levels of poverty in biodiversity depended communities
Goal B,ecological footprint,GBF_CY_GB_56,Ecological footprint
Goal B,number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,GBF_CY_GB_57,Number of certified forest areas under sustainable management with verified impacts on biodiversity conservation
Goal B,loss of phylogenetic diversity,GBF_CY_GB_58,Expected loss of Phylogenetic Diversity
Goal B,red list index (pollinators),GBF_CY_GB_59,Red List Index (pollinating species)
Goal B,green status index (pollinators),GBF_CY_GB_60,Green status index (pollinators)
Goal B,air quality index,GBF_CY_GB_61,Air quality index
Goal B,air pollution emissions account,GBF_CY_GB_62,Air pollution emissions account
Goal B,zoonotic disease in wildlife,GBF_CY_GB_63,Zoonotic disease in wildlife
Goal B,climatic impact index,GBF_CY_GB_64,Climatic impact index
Goal B,ocean acidification,GBF_CY_GB_65,Ocean acidification
Goal B,level of water stress (freshwater withdrawal as a proportion of available freshwater resources),GBF_CY_GB_66,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
Goal B,proportion of bodies of water with good ambient water quality,GBF_CY_GB_67,Proportion of bodies of water with good ambient water quality
Goal B,eflow index,GBF_CY_GB_68,Eflow index
Goal B,change in the quality of inland water ecosystems over time,GBF_CY_GB_69,Change in the quality of inland water ecosystems over time
Goal B,change in the quality of coastal water ecosystems over time,GBF_CY_GB_70,Change in the quality of coastal water ecosystems over time
Goal B,level of erosion,GBF_CY_GB_71,Level of erosion
Goal B,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",GBF_CY_GB_72,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
Goal B,intact wilderness,GBF_CY_GB_73,Intact wilderness
Goal B,biofuel production,GBF_CY_GB_74,Biofuel production
Goal B,fish catch potential,GBF_CY_GB_75,Maximum fish catch potential
Goal B,population involved in hunting and gathering,GBF_CY_GB_76,Population involved in hunting and gathering
Goal B,"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",GBF_CY_GB_77,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale"
Goal B,forestry production and trade (wood fuel),GBF_CY_GB_78,Forestry Production & Trade (Wood Fuel)
Goal B,trends in the legal trade of medicinal plants,GBF_CY_GB_79,Trends in the legal trade of medicinal plants
Goal B,visitor management assessment,GBF_CY_GB_80,Visitor management assessment
Goal B,number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves,GBF_CY_GB_81,Number of formal and nonformal education programmes transmitting spiritual and cultural values in the UNESCO World Network of Biosphere Reserves
Goal B,"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves",GBF_CY_GB_82,"Number of mixed sites (having both natural and cultural Outstanding Universal Values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the UNESCO World Heritage List and UNESCO World Network of Biosphere Reserves"
Goal B,linguistic diversity index - trends of bilinguistic diversity and numbers of speakers of indigenous languages,GBF_CY_GB_83,Index of Linguistic Diversity - Trends of Bilinguistic diversity and numbers of speakers of indigenous languages
Goal B,"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",GBF_CY_GB_84,"Index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity"
Goal B,cultural vitality index,GBF_CY_GB_85,Cultural vitality index
Goal B,unesco culture 2030 (multiple indicators),GBF_CY_GB_86,UNESCO Culture 2030 (multiple indicators)
Goal B,processes and tools to monitor the implementation of a right to a healthy environment (e.g. included in nbsaps and reported in national reports,GBF_CY_GB_87,Processes and tools to monitor the implementation of a right to a healthy environment (e.g. Included in NBSAPs and reported in national reports
Goal B,red list index (internationally traded species),GBF_CY_GB_88,Red List Index (for internationally traded species)
Goal C,number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,GBF_CY_GC_89,Number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints
Goal C,total number of internationally recognized certificates of compliance published in the abs clearing-house,GBF_CY_GC_90,Total number of internationally recognized certificates published in the ABS Clearing-House
Goal C,number of checkpoint communiques published in the abs clearing-house,GBF_CY_GC_91,Number of checkpoint communiques published in the ABS Clearing-House
Goal C,number of internationally recognized certificates of compliance for non-commercial purposes,GBF_CY_GC_92,Number of internationally recognized certificates of compliance for non-commercial purposes
Goal C,"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",GBF_CY_GC_93,"Integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting."
Goal D,finance mobilized for capacity-building,GBF_CY_GD_94,Finance mobilized for capacity-building
Goal D,"financial and technical assistance provided in dollars (including through south-south, northsouth and triangular cooperation)",GBF_CY_GD_95,"Financial and technical assistance provided in dollars (including through South-South, NorthSouth and triangular cooperation)"
Goal D,"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",GBF_CY_GD_96,"Finance mobilized for promoting the development, transfer, dissemination and diffusion of technology"
Goal D,number of scientists per population,GBF_CY_GD_97,"Number of scientists per population
"
Goal D,joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector,GBF_CY_GD_98,Joint scientific papers published in Ocean Biodiversity Information System (OBIS) by sector
