indicators_harmonized,ga,sua,ipcc,km_gbf,sdg
agriculture orientation index for government expenditures,NA,1,NA,NA,1
total official flows (official development assistance plus other official flows) to the agriculture sector,NA,1,NA,NA,1
agricultural export subsidies,NA,1,NA,NA,1
indicator of food price anomalies,NA,1,NA,NA,1
"proportion of total agricultural population with ownership or secure rights over agricultural land, by sex and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",NA,1,NA,1,1
proportion of countries where the legal framework (including customary law) guarantees women equal rights to land ownership and/or control,NA,1,NA,1,1
proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,NA,1,NA,NA,1
proportion of population using safely managed drinking water services,NA,1,NA,1,1
proportion of bodies of water with good ambient water quality,NA,1,NA,1,1
change in water-use efficiency over time,NA,1,NA,1,1
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),NA,1,NA,1,1
degree of integrated water resources management,NA,1,NA,NA,1
proportion of transboundary basin area with an operational arrangement for water cooperation,NA,1,NA,1,1
change in the extent of water-related ecosystems over time,NA,1,NA,1,1
amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,NA,1,NA,NA,1
proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,NA,1,NA,1,1
proportion of population with primary reliance on clean fuels and technology,NA,1,NA,NA,1
renewable energy share in the total final energy consumption,NA,1,NA,NA,1
energy intensity measured in terms of primary energy and gross domestic product,NA,1,NA,NA,1
"international financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",NA,1,NA,NA,1
installed renewable energy-generating capacity in developing countries (in watts per capita),NA,1,NA,NA,1
annual growth rate of real gross domestic product per capita,NA,1,NA,NA,1
annual growth rate of real gross domestic product per employed person,NA,1,NA,NA,1
"proportion of informal employment in total employment, by sector and sex",NA,1,NA,NA,1
"material footprint, material footprint per capita, and material footprint per gross domestic product",NA,1,NA,NA,1
"domestic material consumption, domestic material consumption per capita, and domestic material consumption per gross domestic product",NA,1,NA,NA,1
"average hourly earnings of employees, by sex, age, occupation and persons with disabilities",NA,1,NA,NA,1
"unemployment rate, by sex, age and persons with disabilities",NA,1,NA,NA,1
"proportion of youth (aged 15-24 years) not in education, employment or training",NA,1,NA,NA,1
"proportion and number of children aged 5-17 years engaged in child labour, by sex and age",NA,1,NA,NA,1
"fatal and non-fatal occupational injuries per 1workers, by sex and migrant status",NA,1,NA,NA,1
"level of national compliance with labour rights (freedom of association and collective bargaining) based on international labour organization (ilo) textual sources and national legislation, by sex and migrant status",NA,1,NA,NA,1
tourism direct gross domestic product as a proportion of total gross domestic product and in growth rate,NA,1,NA,NA,1
proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,NA,1,NA,NA,1
aid for trade commitments and disbursements,NA,1,NA,NA,1
"existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",NA,1,NA,NA,1
proportion of the rural population who live within 2 km of an all-season road,NA,1,NA,NA,1
"passenger and freight volumes, by mode of transport",NA,1,NA,NA,1
manufacturing value added as a proportion of gross domestic product and per capita,NA,1,NA,NA,1
manufacturing employment as a proportion of total employment,NA,1,NA,NA,1
proportion of small-scale industries in total industry value added,NA,1,NA,NA,1
proportion of small-scale industries with a loan or line of credit,NA,1,NA,NA,1
co2 emission per unit of value added,NA,1,NA,1,1
research and development expenditure as a proportion of gross domestic product,NA,1,NA,NA,1
total official international support (official development assistance plus other official flows) to infrastructure,NA,1,NA,NA,1
proportion of medium and high-tech industry value added in total value added,NA,1,NA,NA,1
"proportion of population covered by a mobile network, by technology",NA,1,NA,NA,1
growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,NA,1,NA,NA,1
"proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",NA,1,NA,NA,1
proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,NA,1,NA,NA,1
labour share of gross domestic product,NA,1,NA,NA,1
proportion of members and voting rights of developing countries in international organizations,NA,1,NA,NA,1
"number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",NA,1,NA,NA,1
number of people who died or disappeared in the process of migration towards an international destinationi,NA,1,NA,NA,NA
"proportion of the population who are refugees, by country of origin",NA,1,NA,NA,1
"total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",NA,1,NA,NA,1
ratio of land consumption rate to population growth rate,NA,1,NA,NA,1
"total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",NA,1,NA,NA,1
"direct economic loss in relation to global gross domestic product, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters",NA,1,NA,NA,NA
annual mean levels of fine particulate matter in cities,NA,1,NA,1,1
"proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months",NA,1,NA,NA,1
number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space,NA,1,NA,NA,1
"number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production",NA,1,NA,NA,1
food loss index and (b) food waste index,NA,1,NA,NA,1
"hazardous waste generated per capita and (b) proportion of hazardous waste treated, by type of treatment",NA,1,NA,NA,1
"national recycling rate, tons of material recycled",NA,1,NA,NA,1
number of companies publishing sustainability reports,NA,1,NA,1,1
degree of sustainable public procurement policies and action plan implementation,NA,1,NA,NA,NA
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,NA,1,NA,1,1
implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,NA,1,NA,NA,1
amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),NA,1,NA,1,1
"number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",NA,1,NA,NA,1
total greenhouse gas emissions per year,NA,1,NA,NA,1
amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,NA,1,NA,NA,1
"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",NA,1,NA,1,1
index of coastal eutrophication potential (icep) and (b) plastic debris density,NA,1,NA,1,1
number of countries using ecosystem-based approaches to managing marine areas,NA,1,NA,NA,1
average marine acidity (ph) measured at agreed suite of representative sampling stations,NA,1,NA,NA,1
coverage of protected areas in relation to marine areas,NA,1,NA,NA,1
"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",NA,1,NA,1,1
"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries",NA,1,NA,NA,1
proportion of total research budget allocated to research in the field of marine technology,NA,1,NA,1,1
degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,NA,1,NA,NA,1
"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources",NA,1,NA,NA,1
forest area as a percentage of total land area,NA,1,NA,1,1
"proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",NA,1,NA,NA,1
progress towards sustainable forest management,NA,1,NA,1,1
proportion of land that is degraded over total land area,NA,1,NA,1,1
coverage by protected areas of important sites for mountain biodiversity,NA,1,NA,NA,1
mountain green cover index,NA,1,NA,1,1
"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",NA,1,NA,1,1
proportion of traded wildlife that was poached or illicitly trafficked,NA,1,NA,NA,1
proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,NA,1,NA,NA,1
"number of countries that have established national targets in accordance with or similar to aichi biodiversity target the strategic plan for biodiversity their national biodiversity strategy and action plans and the progress reported towards these targets; and (b) integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",NA,1,NA,NA,1
official development assistance on conservation and sustainable use of biodiversity and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,NA,1,NA,NA,1
"total government revenue as a proportion of gross domestic product, by source",NA,1,NA,NA,1
proportion of domestic budget funded by domestic taxes,NA,1,NA,NA,1
"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)",NA,1,NA,NA,1
"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget",NA,1,NA,1,NA
volume of remittances (in united states dollars) as a proportion of total gross domestic product,NA,1,NA,NA,1
"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",NA,1,NA,NA,1
"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",NA,1,NA,1,1
proportion of individuals using the internet,NA,1,NA,NA,1
"dollar value of financial and technical assistance (including through north-south, south‑south and triangular cooperation) committed to developing countries",NA,1,NA,NA,1
worldwide weighted tariff-average,NA,1,NA,NA,1
developing countries’ and least developed countries’ share of global exports,NA,1,NA,NA,1
"weighted average tariffs faced by developing countries, least developed countries and small island developing states",NA,1,NA,NA,1
number of countries with mechanisms in place to enhance policy coherence of sustainable development,NA,1,NA,NA,1
extent of use of country-owned results frameworks and planning tools by providers of development cooperation,NA,1,NA,NA,1
number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,NA,1,NA,NA,1
amount in united states dollars committed to public-private partnerships for infrastructure,NA,1,NA,NA,1
statistical capacity indicator for sustainable development goal monitoring,NA,1,NA,NA,1
number of countries that have national statistical legislation that complies with the fundamental principles of official statistics,NA,1,NA,NA,1
"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",NA,1,NA,NA,1
dollar value of all resources made available to strengthen statistical capacity in developing countries,NA,1,NA,1,1
"proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",NA,NA,NA,NA,1
number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030 which include biodiversity,NA,NA,NA,1,1
"proportion of total government spending on essential services (education, health and social protection)",NA,NA,NA,NA,1
number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,NA,NA,NA,NA,1
maternal mortality ratio,NA,NA,NA,NA,1
proportion of births attended by skilled health personnel,NA,NA,NA,NA,1
under-five child mortality rate,NA,NA,NA,NA,1
neonatal mortality rate,NA,NA,NA,NA,1
"number of new hiv infections per uninfected population, by sex, age and key populations",NA,NA,NA,NA,1
tuberculosis incidence per 1population,NA,NA,NA,NA,1
malaria incidence per population,NA,NA,NA,NA,1
hepatitis b incidence per 1population,NA,NA,NA,NA,1
number of people requiring interventions against neglected tropical diseases,NA,NA,NA,NA,1
"mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",NA,NA,NA,NA,1
suicide mortality rate,NA,NA,NA,NA,1
"coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",NA,NA,NA,NA,1
alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol,NA,NA,NA,NA,1
death rate due to road traffic injuries,NA,NA,NA,NA,1
proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,NA,NA,NA,NA,1
adolescent birth rate (aged years; aged 15-19 years) per women in that age group,NA,NA,NA,NA,1
coverage of essential health services,NA,NA,NA,NA,1
proportion of population with large household expenditures on health as a share of total household expenditure or income,NA,NA,NA,NA,1
mortality rate attributed to household and ambient air pollution,NA,NA,NA,1,1
"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)",NA,NA,NA,1,1
mortality rate attributed to unintentional poisoning,NA,NA,NA,NA,1
age-standardized prevalence of current tobacco use among persons aged 15 years and older,NA,NA,NA,NA,1
proportion of the target population covered by all vaccines included in their national programme,NA,NA,NA,NA,1
total net official development assistance to medical research and basic health sectors,NA,NA,NA,NA,1
proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,NA,NA,NA,NA,1
health worker density and distribution,NA,NA,NA,NA,1
international health regulations (ihr) capacity and health emergency preparedness,NA,NA,NA,NA,1
percentage of bloodstream infections due to selected antimicrobial-resistant organisms,NA,NA,NA,NA,1
"proportion of children and young people (a) in grades (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",NA,NA,NA,NA,1
"completion rate (primary education, lower secondary education, upper secondary education)",NA,NA,NA,NA,1
"proportion of children aged months who are developmentally on track in health, learning and psychosocial well-being, by sex",NA,NA,NA,NA,1
"participation rate in organized learning (one year before the official primary entry age), by sex",NA,NA,NA,NA,1
"participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",NA,NA,NA,NA,1
"proportion of youth and adults with information and communications technology (ict) skills, by type of skill",NA,NA,NA,NA,1
"parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",NA,NA,NA,NA,1
"proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",NA,NA,NA,NA,1
"proportion of schools offering basic services, by type of service",NA,NA,NA,NA,1
volume of official development assistance flows for scholarships by sector and type of study,NA,NA,NA,1,1
"proportion of teachers with the minimum required qualifications, by education level",NA,NA,NA,NA,1
"whether or not legal frameworks are in place to promote, enforce and monitor equality and non‑discrimination on the basis of sex",NA,NA,NA,NA,1
"proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",NA,NA,NA,NA,1
"proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",NA,NA,NA,NA,1
proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,NA,NA,NA,NA,1
"proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",NA,NA,NA,NA,1
"proportion of time spent on unpaid domestic and care work, by sex, age and location",NA,NA,NA,NA,1
proportion of seats held by women in (a) national parliaments and (b) local governments,NA,NA,NA,1,1
proportion of women in managerial positions,NA,NA,NA,NA,1
"proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",NA,NA,NA,NA,1
"number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education",NA,NA,NA,NA,1
"proportion of individuals who own a mobile telephone, by sex",NA,NA,NA,NA,1
proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water,NA,NA,NA,NA,1
proportion of domestic and industrial wastewater flows safely treated,NA,NA,NA,1,1
proportion of population with access to electricity,NA,NA,NA,NA,1
number of commercial bank branches per adults and (b) number of automated teller machines (atms) per adults,NA,NA,NA,NA,1
researchers (in full-time equivalent) per million inhabitants,NA,NA,NA,NA,1
redistributive impact of fiscal policy,NA,NA,NA,NA,1
financial soundness indicators,NA,NA,NA,NA,1
recruitment cost borne by employee as a proportion of monthly income earned in country of destination,NA,NA,NA,NA,1
number of people who died or disappeared in the process of migration towards an international destination,NA,NA,NA,NA,1
proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,NA,NA,NA,NA,1
remittance costs as a proportion of the amount remitted,NA,NA,NA,NA,1
"proportion of urban population living in slums, informal settlements or inadequate housing",NA,NA,NA,NA,1
"proportion of population that has convenient access to public transport, by sex, age and persons with disabilities",NA,NA,NA,NA,1
proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically,NA,NA,NA,NA,1
"damage to critical infrastructure and (b) number of disruptions to basic services, attributed to disasters",NA,NA,NA,NA,1
"proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated, by cities",NA,NA,NA,NA,1
"average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",NA,NA,NA,NA,1
"number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",NA,NA,NA,NA,1
number of countries implementing sustainable public procurement policies and action plans,NA,NA,NA,NA,1
"number of victims of intentional homicide per 1population, by sex and age",NA,NA,NA,NA,1
"conflict-related deaths per 1population, by sex, age and cause",NA,NA,NA,NA,1
"proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months",NA,NA,NA,NA,1
proportion of population that feel safe walking alone around the area they live after dark,NA,NA,NA,NA,1
proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,NA,NA,NA,NA,1
"number of victims of human trafficking per 1population, by sex, age and form of exploitation",NA,NA,NA,NA,1
proportion of young women and men aged 18-29 years who experienced sexual violence by age 18,NA,NA,NA,NA,1
proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,NA,NA,NA,NA,1
unsentenced detainees as a proportion of overall prison population,NA,NA,NA,NA,1
"proportion of the population who have experienced a dispute in the past two years and who accessed a formal or informal dispute resolution mechanism, by type of mechanism",NA,NA,NA,NA,1
total value of inward and outward illicit financial flows (in current united states dollars),NA,NA,NA,NA,1
"proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments",NA,NA,NA,NA,1
"proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months",NA,NA,NA,NA,1
"proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",NA,NA,NA,NA,1
"primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)",NA,NA,NA,NA,1
proportion of population satisfied with their last experience of public services,NA,NA,NA,NA,1
"proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",NA,NA,NA,NA,1
"proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",NA,NA,NA,1,1
"proportion of children under 5 years of age whose births have been registered with a civil authority, by age",NA,NA,NA,NA,1
"number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",NA,NA,NA,NA,1
"number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",NA,NA,NA,NA,1
existence of independent national human rights institutions in compliance with the paris principles,NA,NA,NA,NA,1
additional financial resources mobilized for developing countries from multiple sources,NA,NA,NA,NA,1
debt service as a proportion of exports of goods and services,NA,NA,NA,NA,1
"fixed internet broadband subscriptions per 100 inhabitants, by speed6",NA,NA,NA,NA,1
macroeconomic dashboard,NA,NA,NA,NA,1
proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,NA,NA,NA,NA,1
monthly maximum value of daily maximum temperature,NA,NA,1,NA,NA
monthly minimum value of daily maximum temperature,NA,NA,1,NA,NA
monthly minimum value of daily minimum temperature,NA,NA,1,NA,NA
monthly maximum value of daily minimum temperature,NA,NA,1,NA,NA
percentage of days when daily maximum temperature is greater than the 90th percentile,NA,NA,1,NA,NA
percentage of days when daily maximum temperature is less than the 10th percentile,NA,NA,1,NA,NA
percentage of days when daily minimum temperature is greater than the 90th percentile,NA,NA,1,NA,NA
percentage of days when daily minimum temperature is less than the 10th percentile,NA,NA,1,NA,NA
number of icing days: annual count of days when tx (daily maximum temperature) <0°c,NA,NA,1,NA,NA
number of frost days: annual count of days when tn (daily minimum temperature) <0°c,NA,NA,1,NA,NA
warm spell duration index (wsdi),NA,NA,1,NA,NA
cold spell duration index: annual count of days with at least six consecutive days when tn <10th percentile,NA,NA,1,NA,NA
number of summer days: annual count of days when tx (daily maximum temperature) >25°c,NA,NA,1,NA,NA
number of tropical nights: annual count of days when tn (daily minimum temperature) >20°c,NA,NA,1,NA,NA
daily temperature range: monthly mean difference between tx and tn,NA,NA,1,NA,NA
"growing season length: annual (1 jan to 31 dec in northern hemisphere (nh), 1 july to 30 june in southern hemisphere (sh)) count between first span of at least six days with daily mean temperature tg >5°c and first span after july 1 (jan 1 in sh) of six days with tg <5°c",NA,NA,1,NA,NA
one-in-20 year return value of monthly maximum value of daily maximum temperature,NA,NA,1,NA,NA
one-in-20 year return value of monthly minimum value of daily maximum temperature,NA,NA,1,NA,NA
one-in-20 year return value of monthly minimum value of daily minimum temperature,NA,NA,1,NA,NA
one-in-20 year return value of monthly maximum value of daily minimum temperature,NA,NA,1,NA,NA
maximum one-day precipitation,NA,NA,1,NA,NA
maximum five-day precipitation,NA,NA,1,NA,NA
annual count of days when precipitation is greater than or equal to 5 mm,NA,NA,1,NA,NA
annual count of days when precipitation is greater than or equal to 10 mm,NA,NA,1,NA,NA
annual count of days when precipitation is greater than or equal to 20 mm,NA,NA,1,NA,NA
annual count of days when precipitation is greater than or equal to 50 mm,NA,NA,1,NA,NA
maximum number of consecutive days with less than 1 mm of precipitation per day,NA,NA,1,NA,NA
maximum number of consecutive days with more than or equal to 1 mm of precipitation per day,NA,NA,1,NA,NA
annual total precipitation when the daily precipitation exceeds the 95th percentile of the wet-day (>1 mm) precipitation,NA,NA,1,NA,NA
annual precipitation amount when the daily precipitation exceeds the 99th percentile of the wet-day precipitation,NA,NA,1,NA,NA
simple precipitation intensity index,NA,NA,1,NA,NA
one-in-20 year return value of maximum one-day precipitation,NA,NA,1,NA,NA
one-in-20 year return value of maximum five-day precipitation,NA,NA,1,NA,NA
standardized precipitation index,NA,NA,1,NA,NA
"potential evaporation, evaporative demand drought index",NA,NA,1,NA,NA
soil moisture anomalies,NA,NA,1,NA,NA
standardized soil moisture index,NA,NA,1,NA,NA
standardized runoff index,NA,NA,1,NA,NA
standardized streamflow index,NA,NA,1,NA,NA
palmer drought severity index,NA,NA,1,NA,NA
standardized precipitation evapotranspiration index (spei),NA,NA,1,NA,NA
red list of ecosystems,NA,NA,NA,1,NA
extent of natural ecosystems,NA,NA,NA,1,NA
proportion of populations within species with a genetically effective population size > 500,NA,NA,NA,1,NA
services provided by ecosystems,NA,NA,NA,1,NA
indicator on monetary benefits received,NA,NA,NA,1,NA
indicator on non-monetary benefits,NA,NA,NA,1,NA
"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",NA,NA,NA,1,NA
domestic public funding on conservation and sustainable use of biodiversity and ecosystems,NA,NA,NA,1,NA
private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,NA,NA,NA,1,NA
percent of land and seas covered by biodiversity-inclusive spatial plans,NA,NA,NA,1,NA
area under restoration,NA,NA,NA,1,NA
coverage of protected areas and oecms,NA,NA,NA,1,NA
rate of invasive alien species establishment,NA,NA,NA,1,NA
index of coastal eutrophication potential (icep) potential,NA,NA,NA,1,NA
pesticide environment concentration,NA,NA,NA,1,NA
benefits from the sustainable use of wild species,NA,NA,NA,1,NA
percentage of the population in traditional employment,NA,NA,NA,1,NA
average share of the built-up area of cities that is green/blue space for public use for all,NA,NA,NA,1,NA
"number of companies reporting on disclosures of risks, dependencies and impacts on biodiversity",NA,NA,NA,1,NA
positive incentives in place to promote biodiversity conservation and sustainable use,NA,NA,NA,1,NA
"value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",NA,NA,NA,1,NA
indicator on biodiversity information for monitoring the global biodiversity framework,NA,NA,NA,1,NA
ecosystem intactness index,NA,NA,NA,1,NA
ecosystem integrity index,NA,NA,NA,1,NA
protected connected (protconn) index,NA,NA,NA,1,NA
protected area connectedness (parc-connectedness) index,NA,NA,NA,1,NA
evolutionarily distinct and globally endangered (edge),NA,NA,NA,1,NA
living planet index (for used species),NA,NA,NA,1,NA
priority retention of intact / wilderness areas,NA,NA,NA,1,NA
maintenance and restoration of connectivity of natural ecosystems,NA,NA,NA,1,NA
protected area management effectiveness (pame),NA,NA,NA,1,NA
connectivity indicator,NA,NA,NA,1,NA
number of protected areas that have completed a site-level assessment of governance and equity (sage),NA,NA,NA,1,NA
species protection index,NA,NA,NA,1,NA
trends in effective and sustainable management of human-wildlife conflict and coexistence,NA,NA,NA,1,NA
green status of species index,NA,NA,NA,1,NA
conservation status of species listed in the cites appendices has stabilized or improved,NA,NA,NA,1,NA
sustainable use of wild species,NA,NA,NA,1,NA
rate of invasive species impact and rate of impact,NA,NA,NA,1,NA
rate of invasive alien species spread,NA,NA,NA,1,NA
fertilizer use,NA,NA,NA,1,NA
floating plastic debris density,NA,NA,NA,1,NA
total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),NA,NA,NA,1,NA
national greenhouse inventories from land use and land use change,NA,NA,NA,1,NA
bioclimatic ecosystem resilience index (beri),NA,NA,NA,1,NA
"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",NA,NA,NA,1,NA
level of water stress,NA,NA,NA,1,NA
recreation and cultural ecosystem services provided,NA,NA,NA,1,NA
number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,NA,NA,NA,1,NA
number of countries with implementation of the system of environmental economic accounting,NA,NA,NA,1,NA
indicator based on task force for naturerelated financial disclosures,NA,NA,NA,1,NA
food waste index,NA,NA,NA,1,NA
material footprint per capita,NA,NA,NA,1,NA
global environmental impacts of consumption,NA,NA,NA,1,NA
indicator on national implementation of the gender plan of action,NA,NA,NA,1,NA
forest distribution,NA,NA,NA,1,NA
tree cover loss,NA,NA,NA,1,NA
grassland and savannah extent,NA,NA,NA,1,NA
peatland extent and condition,NA,NA,NA,1,NA
"permafrost thickness, depth and extent",NA,NA,NA,1,NA
continuous global mangrove forest area,NA,NA,NA,1,NA
trends in mangrove forest fragmentation,NA,NA,NA,1,NA
trends in mangrove extent,NA,NA,NA,1,NA
hard coral cover and composition,NA,NA,NA,1,NA
global coral reef extent,NA,NA,NA,1,NA
global seagrass extent (seagrass cover and composition),NA,NA,NA,1,NA
global saltmarsh extent,NA,NA,NA,1,NA
kelp canopy extent,NA,NA,NA,1,NA
macroalgal canopy cover and composition,NA,NA,NA,1,NA
cover of key benthic groups,NA,NA,NA,1,NA
fleshy algae cover,NA,NA,NA,1,NA
change in the extent of inland water ecosystems over time,NA,NA,NA,1,NA
forest fragmentation index,NA,NA,NA,1,NA
forest landscape integrity index,NA,NA,NA,1,NA
biomass of selected natural ecosystems,NA,NA,NA,1,NA
global vegetation health products,NA,NA,NA,1,NA
relative magnitude of fragmentation (rmf),NA,NA,NA,1,NA
extent of physical damage indicator to predominant seafloor habitats physical damage,NA,NA,NA,1,NA
river fragmentation index,NA,NA,NA,1,NA
dendritic connectivity index,NA,NA,NA,1,NA
percentage of threatened species that are improving in status,NA,NA,NA,1,NA
number of threatened species by species group,NA,NA,NA,1,NA
wild bird index,NA,NA,NA,1,NA
changes in plankton biomass and abundance,NA,NA,NA,1,NA
fish abundance and biomass,NA,NA,NA,1,NA
genetic scorecard for wild species,NA,NA,NA,1,NA
marine species richness,NA,NA,NA,1,NA
comprehensiveness of conservation of socioeconomically as well as culturally valuable species,NA,NA,NA,1,NA
red list index (wild relatives of farmed and domesticated species),NA,NA,NA,1,NA
cms connectivity indicator,NA,NA,NA,1,NA
intact wilderness,NA,NA,NA,1,NA
proportion of populations maintained within species,NA,NA,NA,1,NA
free flowing rivers,NA,NA,NA,1,NA
levels of poverty in biodiversity depended communities,NA,NA,NA,1,NA
number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,NA,NA,NA,1,NA
green status index (pollinators),NA,NA,NA,1,NA
air quality index,NA,NA,NA,1,NA
air pollution emissions account,NA,NA,NA,1,NA
zoonotic disease in wildlife,NA,NA,NA,1,NA
climatic impact index,NA,NA,NA,1,NA
