indic_id,indicator_type,Goal/target,Goal/target (explicit),Indicator name,Indicator,indicators,Availability,Time series,Update frequency,Data relevant at global scale,Data available/collated national scale,National methodology available,Institution,Other MEAs/Processes,Used in 5NR/6NR,BIP Indicator,Gender,indicators_harmonized
GBF_H_T5_18,headline,Target 5,,5.1 Proportion of fish stocks within biologically sustainable levels,Proportion of fish stocks within biologically sustainable levels,Proportion of fish stocks within biologically sustainable levels,Available,,2 years,Y,N,N,FAO,SDG indicator 14.4.1; IPBES Core Indicator,NA,Y,NA,proportion of fish stocks within biologically sustainable levels
GBF_H_T6_19,headline,Target 6,,6.1 Rate of invasive alien species establishment*,Rate of invasive alien species establishment,Rate of invasive alien species establishment,Data pending,,Data pending,Data pending,Data pending,Data pending,NA,NA,NA,N,NA,rate of invasive alien species establishment
GBF_H_T7_20,headline,Target 7,,7.1 Index of coastal eutrophication potential,Index of coastal eutrophication potential,Index of coastal eutrophication potential,Available,,2 years,Y,Y,Y,United Nations Environment Programme (UNEP),SDG,NA,N,NA,index of coastal eutrophication potential (icep) potential
GBF_H_T7_21,headline,Target 7,,7.2 Pesticide environment concentration*,Pesticide environment concentration,Pesticide environment concentration,In development,,In development,Y,N,Y,Data pending,N,NA,N,NA,pesticide environment concentration
GBF_H_T9_23,headline,Target 9,,9.1 Benefits from the sustainable use of wild species*,Benefits from the sustainable use of wild species,Benefits from the sustainable use of wild species,In development,,In development,In development,In development,In development,United Nations Statistics Division (UNSD),Data pending,NA,N,NA,benefits from the sustainable use of wild species
GBF_H_T9_24,headline,Target 9,,9.2 Percentage of the population in traditional employment*,Percentage of the population in traditional employment,Percentage of the population in traditional employment,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,NA,N,NA,percentage of the population in traditional employment
GBF_H_T10_25,headline,Target 10,,10.1 Proportion of agricultural area under productive and sustainable agriculture,Proportion of agricultural area under productive and sustainable agriculture,Proportion of agricultural area under productive and sustainable agriculture,Available,,Yearly,Y,Y,Y,Food and Agriculture Organization (FAO),SDG,NA,N,NA,proportion of agricultural area under productive and sustainable agriculture
GBF_H_T10_26,headline,Target 10,,10.2 Progress towards sustainable forest management,Progress towards sustainable forest management,Progress towards sustainable forest management,Available,,Sub-ind 4. next update 2025.; Sub-ind 5 next update 2023,Y,Y,Y,Food and Agriculture Organization (FAO),SDG,NA,N,NA,progress towards sustainable forest management
GBF_H_T11_27,headline,Target 11,,11.1 Services provided by ecosystems*,Services provided by ecosystems,Services provided by ecosystems,In development,,In development,Y,Y,In development,United Nations Statistics Division (UNSD),Data pending,NA,N,NA,services provided by ecosystems
GBF_H_T12_28,headline,Target 12,,12.1 Average share of the built-up area of cities that is green/blue space for public use for all,Average share of the built-up area of cities that is green/blue space for public use for all,Average share of the built-up area of cities that is green/blue space for public use for all,Available,,3 - 5 years,Y,Y,Y,United Nations (UN) Habitat,SDG,NA,N,NA,average share of the built-up area of cities that is green/blue space for public use for all
GBF_H_T13_29,headline,Target 13,,C.1 Indicator on monetary benefits received*,Indicator on monetary benefits received,Indicator on monetary benefits received,In development,,In development,In development,In development,In development,Secretariat of the Convention on Biological Diversity (SCBD),Data pending,NA,N,NA,indicator on monetary benefits received
GBF_H_T13_30,headline,Target 13,,C.2 Indicator on non-monetary benefits*,Indicator on non-monetary benefits,Indicator on non-monetary benefits,In development,,In development,In development,In development,In development,Secretariat of the Convention on Biological Diversity (SCBD),Data pending,NA,N,NA,indicator on non-monetary benefits
GBF_H_T15_32,headline,Target 15,,"15.1 Number of companies reporting on disclosures of risks, dependencies and impacts on biodiversity*","Number of companies reporting on disclosures of risks, dependencies and impacts on biodiversity","Number of companies reporting on disclosures of risks, dependencies and impacts on biodiversity",In development,,In development,In development,In development,In development,Needs Developing,Data pending,NA,N,NA,"number of companies reporting on disclosures of risks, dependencies and impacts on biodiversity"
GBF_H_T18_35,headline,Target 18,,18.1 Positive incentives in place to promote biodiversity conservation and sustainable use,Positive incentives in place to promote biodiversity conservation and sustainable use,Positive incentives in place to promote biodiversity conservation and sustainable use,Available,,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),SDG,NA,Y,NA,positive incentives in place to promote biodiversity conservation and sustainable use
GBF_H_T18_36,headline,Target 18,,"18.2 Value of subsidies and other incentives harmful to biodiversity, that have been eliminated, phased out or reformed*","Value of subsidies and other incentives harmful to biodiversity, that have been eliminated, phased out or reformed*","Value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,NA,N,NA,"value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated"
GBF_H_T19_37,headline,Target 19,,"D.1 International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems","International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems","International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",Available,,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development's Development Assistance Committee (OECD DAC),SDG,NA,Y,NA,"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems"
GBF_H_T19_38,headline,Target 19,,D.2 Domestic public funding on conservation and sustainable use of biodiversity and ecosystems*,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,In development,,In development,In development,In development,In development,Secretariat of the Convention on Biological Diversity (SCBD),Data pending,NA,N,NA,domestic public funding on conservation and sustainable use of biodiversity and ecosystems
GBF_H_T19_39,headline,Target 19,,D.3 Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems*,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,In development,,In development,In development,In development,In development,Secretariat of the Convention on Biological Diversity (SCBD),Data pending,NA,N,NA,private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems
GBF_H_T21_41,headline,Target 21,,21.1 Indicator on biodiversity information for monitoring the global biodiversity framework*,Indicator on biodiversity information for monitoring the global biodiversity framework,Indicator on biodiversity information for monitoring the global biodiversity framework,In development,,In development,In development,In development,In development,Needs Developing,Data pending,NA,N,NA,indicator on biodiversity information for monitoring the global biodiversity framework
GBF_C_GA_44,component,Goal A,,Ecosystem Intactness Index,Ecosystem Intactness Index,Ecosystem Intactness Index,Available,,Yearly,Y,N,Y,Wildlife Conservation Society (WCS),N,N,Y,N,ecosystem intactness index
GBF_C_GA_45,component,Goal A,,Ecosystem Integrity Index,Ecosystem Integrity Index,Ecosystem Integrity Index,In development,,In development,In development,In development,In development,In development,In development,In development,N,In development,ecosystem integrity index
GBF_C_GA_46,component,Goal A,,Species habitat Index,Species habitat Index,Species habitat Index,Available,,Yearly,Y,Y,Y,Yale University; Group on Earth Observations - Biodiversity Observation Network (GEO BON),IPBES,Data pending,Y,N,species habitat index
GBF_C_GA_47,component,Goal A,,Biodiversity Habitat Index,Biodiversity Habitat Index,Biodiversity Habitat Index,Available,,5 years,Y,N,Y,Commonwealth Scientific and Industrial Research Organisation (CSIRO),IPBES,N,Y,N,biodiversity habitat index
GBF_C_GA_48,component,Goal A,,Protected Connected (Protconn) index,Protected Connected (Protconn) index,Protected Connected (Protconn) index,Available,,2 years,Y,Y,Y,European Commission (EC),N,N,Y,N,protected connected (protconn) index
GBF_C_GA_49,component,Goal A,,Protected Area Connectedness Index (PARC-Connectedness),Protected Area Connectedness Index (PARC-Connectedness),Protected Area Connectedness Index (PARC-Connectedness),Available,,"pre 2012 10 years, post 2012 2 years",Y,Y,Y,CSIRO,N,N,Y,N,protected area connectedness (parc-connectedness) index
GBF_C_GA_50,component,Goal A,,Evolutionarily Distinct and Globally Endangered (EDGE),Evolutionarily Distinct and Globally Endangered (EDGE),Evolutionarily Distinct and Globally Endangered (EDGE),Available,,Yearly,Y,N,N,International Union for Conservation of Nature Species Survival Commission (IUCN SSC) Phylogenetic Diversity Task Force,N,N,N,N,evolutionarily distinct and globally endangered (edge)
GBF_C_GA_51,component,Goal A,,Living Planet Index,Living Planet Index,Living Planet Index,In development,,2 years,Y,Y,In development,"Institute of Zoology, Zoological Society of London",IPBES; CMS; Ramsar Convention on Wetlands,N,Y,N,living planet index
GBF_C_GA_52,component,Goal A,,Change in the extent of water-related ecosystems over time,Change in the extent of water-related ecosystems over time,Change in the extent of water-related ecosystems over time,Available,,Yearly,Y,Y,Y,United Nations Environment Programme (UNEP); Secretariat of the Ramsar Convention on Wetlands,Ramsar Convention on Wetlands; SDG,N,N,N,change in the extent of water-related ecosystems over time
GBF_C_GB_53,component,Goal B,,Red List Index (for utilized species),Red List Index (for utilized species),Red List Index (for utilized species),Available,,Data pending,Y,N,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),N,N,N,N,red list index (for utilized species)
GBF_C_GB_54,component,Goal B,,Living Planet Index (for used species),Living Planet Index (for used species),Living Planet Index (for used species),Available,,2 years,Y,Y,In development,"Institute of Zoology, Zoological Society of London",IPBES; CMS; Ramsar Convention on Wetlands,N,Y,N,living planet index (for used species)
GBF_C_T1_57,component,Target 1,,Priority retention of intact / wilderness areas,Priority retention of intact / wilderness areas,Priority retention of intact / wilderness areas,In development,,In development,In development,In development,In development,In development,In development,In development,In development,In development,priority retention of intact / wilderness areas
GBF_C_T2_58,component,Target 2,,Extent of natural ecosystems by type,Extent of natural ecosystems by type,Extent of natural ecosystems by type,In development,,In development,In development,In development,In development,In development,In development,In development,In development,In development,extent of natural ecosystems
GBF_C_T2_59,component,Target 2,,Maintenance and restoration of connectivity of natural ecosystems,Maintenance and restoration of connectivity of natural ecosystems,Maintenance and restoration of connectivity of natural ecosystems,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,maintenance and restoration of connectivity of natural ecosystems
GBF_C_T3_60,component,Target 3,,Protected area coverage of key biodiversity areas,Protected area coverage of key biodiversity areas,Protected area coverage of key biodiversity areas,Available,,Yearly,Y,Y,Y,United Nations Environment Programme World Conservation Monitoring Centre (UNEP-WCMC); International Union for Conservation of Nature (IUCN); BirdLife International (BLI); Alliance for Zero Extinction (AZE); Key Biodiversity Area (KBA) partnership,SDG,N,Y,N,protected area coverage of key biodiversity areas
GBF_C_T3_61,component,Target 3,,Protected Area Management Effectiveness (PAME),Protected Area Management Effectiveness (PAME),Protected Area Management Effectiveness (PAME),Available,,Monthly,Y,Y,Y,United Nations Environment Programme World Conservation Monitoring Centre (UNEP-WCMC),N,N,Y,N,protected area management effectiveness (pame)
GBF_C_T3_62,component,Target 3,,Protconn,Protected Connected (Protconn) index,Protected Connected (Protconn) index,Available,,2 years,Y,Y,Y,European Commission (EC),N,N,Y,N,protected connected (protconn) index
GBF_C_T3_63,component,Target 3,,Protected Area Connectedness Index (PARC-Connectedness),Protected Area Connectedness Index (PARC-Connectedness),Protected Area Connectedness Index (PARC-Connectedness),Available,,"pre 2012 10 years, post 2012 2 years",Y,Y,Y,CSIRO,N,N,Y,N,protected area connectedness (parc-connectedness) index
GBF_C_T3_64,component,Target 3,,Red List of Ecosystems,Red List of Ecosystems,Red List of Ecosystems,Available,,5 years,Y,Y,In development,International Union for Conservation of Nature (IUCN),SDG,N,Yes,N,red list of ecosystems
GBF_C_T3_65,component,Target 3,,Connectivity Indicator (in development),Connectivity Indicator,Connectivity Indicator,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,connectivity indicator
GBF_C_T3_66,component,Target 3,,The number of protected areas that have completed a site-level assessment of governance and equity (SAGE),The number of protected areas that have completed a site-level assessment of governance and equity (SAGE),Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),In development,,Data pending,Data pending,Data pending,Data pending,International Institute for Environment and Development (IIED),N,N,N,N,number of protected areas that have completed a site-level assessment of governance and equity (sage)
GBF_C_T3_67,component,Target 3,,Species Protection Index,Species Protection Index,Species Protection Index,Available,,Yearly,Y,Y,Y,Yale University; Map of Life (MOL),IPBES,N,Y,N,species protection index
GBF_C_T4_68,component,Target 4,,Living Planet Index,Living Planet Index,Living Planet Index,Available,,2 years,Y,Y,In development,"Institute of Zoology, Zoological Society of London",IPBES; CMS; Ramsar Convention on Wetlands,N,Y,N,living planet index
GBF_C_T4_69,component,Target 4,,Number of plant and animal genetic resources secured in medium or long-term conservation facilities,Number of plant and animal genetic resources secured in medium or long-term conservation facilities,Number of plant and animal genetic resources secured in medium or long-term conservation facilities,Available,,Yearly,Y,Y,Y,Food and Agriculture Organization (FAO),SDG,"Plant 6NR 4 out of 20 countries sampled, Animal 6NR 5 out of 20 countries sampled",N,N,number of plant and animal genetic resources secured in medium or long-term conservation facilities
GBF_C_T4_70,component,Target 4,,Trends in effective and sustainable management of human-wildlife conflict and coexistence,Trends in effective and sustainable management of human-wildlife conflict and coexistence,Trends in effective and sustainable management of human-wildlife conflict and coexistence,In development,,In development,In development,In development,In development,IUCN SSC Human-Wildlife Conflict Task Force and partners,In development,In development,In development,In development,trends in effective and sustainable management of human-wildlife conflict and coexistence
GBF_C_T4_71,component,Target 4,,Green Status of Species Index,Green Status of Species Index,Green Status of Species Index,In development,,In development,In development,In development,In development,International Union for Conservation of Nature (IUCN),In development,In development,In development,In development,green status of species index
GBF_C_T4_72,component,Target 4,,Conservation status of species listed in the CITES Appendices has stabilized or improved,Conservation status of species listed in the CITES Appendices has stabilized or improved,Conservation status of species listed in the CITES Appendices has stabilized or improved,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,conservation status of species listed in the cites appendices has stabilized or improved
GBF_C_T5_73,component,Target 5,,Red List Index for used species,Red List Index (for utilized species),Red List Index (for utilized species),Available,,Data pending,Y,Y,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),N,N,N,N,red list index (for utilized species)
GBF_C_T5_74,component,Target 5,,Living Planet Index for used species,Living Planet Index (for used species),Living Planet Index (for used species),Available,,2 years,Y,Y,In development,"Institute of Zoology, Zoological Society of London",IPBES; CMS; Ramsar Convention on Wetlands,N,Y,N,living planet index (for used species)
GBF_C_T5_75,component,Target 5,,Sustainable use of Wild Species,Sustainable use of Wild Species,Sustainable use of Wild Species,In development,,In development,In development,In development,In development,In development,In development,In development,In development,In development,sustainable use of wild species
GBF_C_T6_76,component,Target 6,,Rate of invasive species impact and rate of impact,Rate of invasive species impact and rate of impact,Rate of invasive species impact and rate of impact,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,rate of invasive species impact and rate of impact
GBF_C_T6_77,component,Target 6,,Rate of invasive alien species spread,Rate of invasive alien species spread,Rate of invasive alien species spread,In development,,In development,In development,In development,In development,In development,In development,In development,In development,In development,rate of invasive alien species spread
GBF_C_T6_78,component,Target 6,,Number of invasive alien species introduction events,Number of invasive alien species introduction events,Number of invasive alien species introduction events,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,number of invasive alien species introduction events
GBF_C_T7_79,component,Target 7,,Fertilizer use,Fertilizer use,Fertilizer use,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,fertilizer use
GBF_C_T7_80,component,Target 7,,Proportion of domestic and industrial wastewater flow safely treated,Proportion of domestic and industrial wastewater flow safely treated,Proportion of domestic and industrial wastewater flow safely treated,Available,,Data pending,Y,Y,Y,United Nations Habitat,SDG,N,N,N,proportion of domestic and industrial wastewater flows safely treated
GBF_C_T7_81,component,Target 7,,Floating plastic debris density [by micro and macro plastics],Floating plastic debris density [by micro and macro plastics],Floating plastic debris density [by micro and macro plastics],Available,,Data pending,Y,Y,Y,United Nations Environment Programme (UNEP),SDG,N,N,N,floating plastic debris density
GBF_C_T7_82,component,Target 7,,Red List Index (impact of pollution),Red List Index (impact of pollution),Red List Index (impact of pollution),Available,,Yearly,Y,Y,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),IPBES; CMS; Ramsar Convention on Wetlands; UNCCD,N,Y,N,red list index (impacts of pollution)
GBF_C_T8_83,component,Target 8,,Total climate regulation services provided by ecosystems by ecosystem type (System of Environmental Economic Accounts),Total climate regulation services provided by ecosystems by ecosystem type (System of Environmental Economic Accounts),Total climate regulation services provided by ecosystems by ecosystem type (System of Environmental Economic Accounts),Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts)
GBF_C_T8_84,component,Target 8,,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 which include biodiversity,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 which include biodiversity,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 which include biodiversity,Data pending,,Data pending,Y,Y,Y,United Nations Office for Disaster Risk Reduction (UNDRR),SDG,N,N,N,number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030 which include biodiversity
GBF_C_T8_85,component,Target 8,,National greenhouse inventories from land use and land use change,National greenhouse inventories from land use and land use change,National greenhouse inventories from land use and land use change,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,national greenhouse inventories from land use and land use change
GBF_C_T8_86,component,Target 8,,Bioclimatic Ecosystem Resilience Index (BERI),Bioclimatic Ecosystem Resilience Index (BERI),Bioclimatic Ecosystem Resilience Index (BERI),Available,,5 Years,Y,Y,Data pending,Commonwealth Scientific and Industrial Research Organisation (CSIRO),N,N,Y,N,bioclimatic ecosystem resilience index (beri)
GBF_C_T9_87,component,Target 9,,"Number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)","Number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)","Number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)"
GBF_C_T9_88,component,Target 9,,Red List Index (species used for food and medicine),Red List Index (species used for food and medicine),Red List Index (species used for food and medicine),Available,,Yearly,Y,Y,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),IPBES; SDG; CMS SPMS,N,Y,N,red list index (for utilized species)
GBF_C_T9_89,component,Target 9,,Living Planet Index (for used species),Living Planet Index (for used species),Living Planet Index (for used species),Available,,2 years,Y,Y,In development,"Institute of Zoology, Zoological Society of London",IPBES; CMS; Ramsar Convention on Wetlands,N,Y,N,living planet index (for used species)
GBF_C_T10_90,component,Target 10,,Area of forest under sustainable management: total forest management certification by Forest Stewardship Council and Programme for the Endorsement of Forest Certification,Area of forest under sustainable management: total forest management certification by Forest Stewardship Council and Programme for the Endorsement of Forest Certification,Area of forest under sustainable management: total forest management certification by Forest Stewardship Council and Programme for the Endorsement of Forest Certification,In development,,Yearly,Y,Y,Y,Forest Stewardship Council (FSC); Programme for the Endorsement of Forest Certification (PEFC),IPBES; Ramsar Convention on Wetlands; UNCCD,6NR 7 out of 20 countries sampled,Y,N,area of forest under sustainable management: total forest management certification by forest stewardship council and programme for the endorsement of forest certification
GBF_C_T10_91,component,Target 10,,"Average income of small-scale food producers, by sex and indigenous status","Average income of small-scale food producers, by sex and indigenous status","Average income of small-scale food producers, by sex and indigenous status",Available,,Data pending,Y,Y,Y,Food and Agriculture Organization (FAO),SDG,N,N,Y,"average income of small-scale food producers, by sex and indigenous status"
GBF_C_T11_92,component,Target 11,,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Available,,Data pending,Y,Y,Y,United Nations Office for Disaster Risk Reduction (UNDRR),SDG,N,N,Y,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
GBF_C_T11_93,component,Target 11,,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",Available,,Data pending,Y,Y,Y,World Health Organization (WHO),SDG,N,N,Y,"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)"
GBF_C_T11_94,component,Target 11,,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities,Annual mean levels of fine particulate matter in cities,Available,,2 - 3 years,Y,Y,Y,World Health Organization (WHO),SDG,N,N,N,annual mean levels of fine particulate matter in cities
GBF_C_T11_95,component,Target 11,,Proportion of bodies of water with good ambient water quality,Proportion of bodies of water with good ambient water quality,Proportion of bodies of water with good ambient water quality,Available,,3 years,Y,Y,Y,United Nations Environment Programme (UNEP),SDG,6 NR 2 out of 20 countries sampled,N,N,proportion of bodies of water with good ambient water quality
GBF_C_T11_96,component,Target 11,,Level of water stress,Level of water stress,Level of water stress,Available,,Yearly,Y,Y,Y,Food and Agriculture Organization (FAO) AQUASTAT,SDG,6NR 1 out of 20 countries sampled,N,N,level of water stress
GBF_C_T12_97,component,Target 12,,Recreation and cultural ecosystem services provided,Recreation and cultural ecosystem services provided,Recreation and cultural ecosystem services provided,Data pending,,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,recreation and cultural ecosystem services provided
GBF_C_T13_98,component,Target 13,,Number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,Number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,Number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,Available,,4 years,N,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit
