indicators_harmonized,var_indic,geo_extracted,ILK
water- saving devices,1,1,NA
buffer zones to protect catchment areas,1,1,NA
amend policies that lead to destruction of mangroves,1,1,NA
laws preventing recycling of water,1,1,NA
laws allowing building in vulnerable areas,1,1,NA
land-use models for efficient farming,1,1,NA
sustainable fishing practices,1,1,NA
community awareness,1,1,NA
ghg emissions from agriculture,2,1,NA
agricultural emissions from different farming sectors,2,1,NA
proportion of agricultural area under productive and sustainable agriculture,2,1,NA
sustainability and nutrient efficiency of national dietary outcomes,2,1,NA
dietary health and sustainability,2,1,NA
including annual estimates of national food supplies per capita for each primary commodity and a number of processed commodities that are potentially available for human consumption,2,1,NA
recommended intake values for the food groups,2,1,NA
energy production,2,1,NA
energy consumption,2,1,NA
achievement of a circular economic system,1,1,NA
sustainable resource management,1,1,NA
societal behaviour,1,1,NA
business operations,1,1,NA
material flow accounting,1,1,NA
material flow analysis,1,1,NA
domestic material consumption,2,1,NA
under-five child mortality rate,2,1,NA
pm 2.5 emissions,2,1,NA
o3 emissions,2,1,NA
volatile organic compounds emissions,2,1,NA
pm 10 emissions,2,1,NA
air quality,2,1,NA
mortality rate attributable to household and ambient air pollution,2,1,NA
deaths due to unsafe water,2,1,NA
sanitation and hygiene,2,1,NA
mortality from unintentional poisoning,2,1,NA
percentage of the population exposed to annual mean pm concentrations above the highest interim target of 35 μg/m,2,1,NA
united nations framework convention on climate change,2,1,NA
total gobal population living in water scarce areas,2,1,NA
marine nutirent pollution,2,1,NA
nutrient runoff into oceans (n and p),2,1,NA
proportion of fish stocks within biologically sustainable levels,2,1,NA
soil organic carbon (soc) stocks,2,1,NA
number of people living on less than 1.90 usd per day,1,1,NA
land-use change,2,1,NA
"changes in terrestrial, marine and freshwater vertebrate populations",2,1,NA
species dispersal ability,2,1,NA
projections of global fisheries under an unchanged climate and current management scenario,2,1,NA
body mass index,1,1,NA
blood pressure,1,1,NA
smoking,1,1,NA
childhood undernutrition,1,1,NA
alcohol use,1,1,NA
beef consumption,1,1,NA
energy-intensity,1,1,NA
share of low-carbon options,1,1,NA
measure of income,1,1,NA
health,1,1,NA
levels of education,1,1,NA
low income,1,1,NA
women and girl’s education,1,1,NA
inclusive and equitable quality education,1,1,NA
child mortality,1,1,NA
fertility rates,1,1,NA
democracy,1,1,NA
universal female education,1,1,NA
piped drinking water,1,1,NA
advanced malaria control,1,1,NA
complete phase-out of biomass use for cooking,1,1,NA
food waste,1,1,NA
yield (improvement),1,1,NA
agro-biodiversity,1,1,NA
forest and land management,1,1,NA
investment costs of groundwater abstraction and desalination for continued water supply and sanitation of rapidly expanding cities,1,1,NA
wastewater treatment,1,1,NA
chemical contaminants,1,1,NA
