indicator_harmonized,indic_ids,ipbes_extracted
ecological footprint,GA_1_52_19;GA_5_73_254;GA_3_15_329;GA_3_26_355;VA_2_38_29,1
economic value of bio-inspired production,GA_2.3_42_143,1
employment in materials production,GA_2.3_42_143,1
encounter rates with supernatural forest dwelling entities,GA_2.3_41_142,1
endemic species richness,VA_2_10_12,1
endemism richness,GA_2.2_21_61,1
energy content of bioenergy crops,GA_2.3_42_143,1
energy security from bio-energy and fuelwood,GA_2.3_42_143,1
environmental awareness,VA_2_10_12,1
environmental change,SUA_2_97_80,1
environmental component of the social sustainability index,GA_2_25_34,1
environmental performance index,GA_2_25_34;GA_5_104_261;GA_5_107_262,1
estimated fisheries catch and fishing effort,GA_1_52_19,1
ethnographic accounts,VA_2_38_28,1
evapotranspiration,GA_2.2_37_70,1
evolutionary diversity,IAS_3_84_95,1
existence and uptake of multilateral agreements and national legislation relevant to the prevention and control of invasive alien species,IAS_6_14_142,1
expansion of settlements,GA_2.2_6_56,1
extent of agricultural land,GA_2.3_42_143,1
extent of ecosystems that filter or add constituent components to water,GA_2.3_42_143,1
extent of forests,GA_2.2_1_50;GA_2.2_37_70;GA_2.2_40_78;GA_2.3_42_143,1
extent of intact forest landscapes,GA_2.2_37_70,1
extent of marine calcification benefits from coral reefs,GA_2.3_42_143,1
extent of marine wilderness,GA_2.2_37_70,1
extent of protected and intact habitat globally,GA_2.3_59_157,1
extent of suitable habitat,GA_2.2_37_70;GA_2.2_37_70;GA_2.3_42_143;GA_3_15_329,1
extent of suitable habitat index (esh),GA_5_34_243,1
extent of terrestrial wilderness,GA_2.2_37_70,1
extent of which essential policy and management approaches have been adopted,IAS_6_56_150,1
"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",VA_6_52_152,1
extinction risk,GA_2.2_1_50,1
extinction risk of wild relatives of domesticated or farmed birds and mammals,GA_3_44_371,1
extraction of living biomass,GA_2_83_42,1
extraction of non-human materials,GA_2_118_47,1
extraction of non-living materials,GA_2_83_42,1
farmland bird index,SUA_4_51_116,1
fertilizer use,GA_2_83_42,1
fewer lives lost,VA_2_76_48,1
fisheries exploitation rates,GA_3_164_441,1
fisheries stock size,GA_3_164_441,1
floods,GA_2.2_6_56,1
food produced (kcal),GA_2.3_42_143,1
food quality (nutrients),GA_2.3_42_143,1
forest and its role in protecting water sources,GA_2.3_22_127,1
forest area as a percentage of total land area,GA_1_52_19,1
forest-specialist bird species per grid cell,GA_2.2_37_70,1
forests and grazing lands loss,GA_2.2_5_55,1
fraction of ocean not fished per year,GA_2.2_37_70,1
fraction of species known to be medicinal,GA_2.3_42_143,1
functional diversity,IAS_5_109_131,1
functional intactness (madingley),GA_2.2_37_70;GA_2.2_47_90,1
funding for environmental education,GA_3_15_329,1
funding for environmental impact assessments,GA_3_15_329,1
funding towards institutional capacity building in fisheries,GA_3_15_329,1
gene bank accession and available genetic resources,GA_2.3_42_143,1
genetic diversity,VA_2_10_12;VA_2_38_28,1
genuine progress indicator,GA_6_139_289;VA_2_8_10;VA_2_38_29;VA_5_78_136;VA_6_21_143;IAS_6_85_153,1
geographical overlay of linguistic diversity and biodiversity,GA_2.3_39_137,1
gini index,GA_5_80_256,1
glacial mass balance,GA_3_51_381,1
global climate risk index,GA_1_52_19,1
global cover of mangroves,GA_2.2_91_124,1
global ecosystem restoration index,GA_1_52_19,1
global effort in bottom-trawling,GA_1_52_19;GA_4_152_225;GA_3_15_329,1
global funding for resourcing of biological invasions policy and management implementation,IAS_6_17_143,1
global index on indigenous peoples' well-being,VA_3_63_79,1
global linguistic diversity index and language threat level,GA_1_52_19,1
global mammal and bird species remaining,GA_2.2_37_70,1
global scale ecosystem carbon storage,GA_4_87_186,1
globalization index,GA_2_24_29,1
governance index,SUA_6_77_200,1
green consumption,GA_3_26_355,1
green gross domestic product,VA_6_22_145,1
greenhouse gas emissions,GA_2_83_42,1
gross domestic product,GA_1_19_6;GA_2_20_26;GA_2_24_29;GA_6_139_289;SUA_1_11_4;SUA_4_149_137;VA_2_10_12;VA_2_38_29;VA_5_78_136;VA_6_61_155;IAS_2_5_11;IAS_3_8_84;IAS_3_34_90;IAS_6_85_153,1
gross ecosystem product,VA_4_89_124,1
gross national happiness index,GA_1_19_6;GA_5_69_253;GA_6_140_290;SUA_1_12_5;VA_2_29_20;IAS_6_85_153,1
gross national happiness index of bhutan,VA_6_21_143,1
gross national product,IAS_6_85_153,1
growth in human appropriation of net primary productivity,GA_3_26_355,1
growth in information relevant to informing policy on invasive alien species prevention and control,IAS_6_11_138;IAS_6_119_174,1
growth rates,IAS_4_64_104,1
habitat area and quality,GA_4_34_176,1
habitat conditions,SUA_4_89_132,1
habitat quality,SUA_2_95_77,1
hallow coral reefs,GA_2.2_91_124,1
happiness,VA_3_41_70,1
happy planet index,GA_5_69_253;GA_5_108_263,1
harvest intensity,SUA_2_95_77,1
health associated with intake of pollinator dependent foods,GA_2.3_42_143,1
health condition and body size of wild animals decrease,GA_2.2_5_55,1
health of the forest,GA_2.3_41_142,1
health of the soil,GA_2.3_40_140,1
historic land use change since 1970,GA_2.3_53_152,1
holistic health model,VA_3_63_79,1
human appropriation of fresh water,GA_3_15_329,1
human appropriation of net primary productivity,GA_1_52_19;VA_2_38_29,1
human development index (hdi),GA_1_19_6;GA_1_31_9;GA_2_24_29;GA_2_22_30;GA_5_68_252;GA_3_77_402;GA_3_97_413;SUA_1_12_5;VA_5_78_136;IAS_2_18_24,1
human footprint,GA_2.2_62_105,1
human population density,IAS_3_8_84,1
human population size,IAS_2_5_11,1
hunting success,SUA_2_97_80,1
ideas and products mimicking or inspired by nature,GA_2.3_42_143,1
identity value - rural and iplc,GA_2.3_42_143,1
identity value - urban,GA_2.3_42_143,1
impact of agricultural habitat conversion on birds,SUA_4_42_113,1
"impact of alien species on sensitive places, species and functions",IAS_6_97_160,1
importance of forests to people,SUA_2_92_69,1
improved health from natural medicines or bio-derived medicines,GA_2.3_42_143,1
improvement in conseration status of species threatened by invasive alien species,IAS_6_119_174,1
inclusion of historically disadvantaged stakeholders,VA_2_10_12,1
inclusive wealth,GA_1_19_6;SUA_1_12_5;VA_2_7_9;VA_2_39_33;VA_3_114_99;VA_5_78_136,1
income,GA_2_25_31;SUA_4_149_137,1
"increased awareness, care, mental health, cultural security, life satisfaction - rural and iplc",GA_2.3_42_143,1
"increased awareness, care, mental health, cultural security, life satisfaction - urban",GA_2.3_42_143,1
increasingly unpredictable annual distribution of rainfall,GA_2.2_6_56,1
index of sustaibale economic welfare,IAS_6_85_153,1
index of sustainable economic welfare (isew),GA_6_139_289;VA_2_38_29;VA_2_39_33,1
individual deprivation measure,GA_3_97_413,1
"information provided through the financial reporting framework, adopted by decision xii/3",GA_1_52_19,1
inland fishery production,GA_1_52_19;GA_1_52_19,1
intensity of weather,SUA_2_97_80,1
international migrant stock,GA_2_24_29,1
interventions to limit spread and reduce impact of alien species,IAS_6_97_160,1
invasive alien species are given new names by indigenous peoples and local communities,IAS_1_53_8,1
invasive alien species impact,IAS_6_114_165,1
land and ocean carbon sinks,GA_2.3_42_143,1
land not cultivated or urban,GA_2.2_37_70,1
land not cultivated or urban (hotspots),GA_2.2_37_70,1
land not cultivated or urban (indigenous lands),GA_2.2_37_70,1
land under cereal production (ha),GA_1_52_19,1
land use change,GA_2_83_42,1
leaf area index (lai),GA_2.2_37_70;GA_2.2_40_79,1
leaf surface area,GA_2.3_56_155,1
"less biomass, more annuals and shrubs on pastures",GA_2.2_65_113,1
life expectancy,GA_2_25_31,1
life satisfaction,VA_3_41_70,1
linguistic diversity index,GA_2_25_33,1
live coral cover,GA_2.2_37_70;GA_2.2_38_74;GA_2.2_91_124,1
livelihood dependence,VA_3_2_52,1
living conditions in the arctic,VA_3_63_79,1
living planet index,GA_1_52_19;GA_4_144_217;GA_5_10_235;GA_5_34_243;GA_3_41_369;SUA_4_256_160,1
local species richness,GA_2.2_37_70;GA_2.2_70_120;IAS_4_22_102,1
local species richness (predicts),GA_2.2_45_85,1
loss of lichen diversity,SUA_4_47_115,1
macroinvertebrate-based indices,IAS_5_130_134,1
mammalian range size,GA_2.2_37_70,1
mangrove forest area,GA_2.2_37_70;GA_2.2_38_74;GA_2.2_70_120;VA_2_76_48,1
marine net primary production,GA_2.2_37_70,1
marine stewardship council certified catch,SUA_2_90_65,1
marine stewardship council certified fisheries,GA_4_152_225;GA_3_15_329,1
marine stewardship council engaged fisheries,GA_3_72_395,1
marine stocks,GA_2.3_42_143,1
marine trophic index (mti),GA_1_52_19;GA_2.2_59_101;GA_3_15_329;GA_3_55_389,1
material ncp,GA_2.2_42_82,1
material wealth,SUA_4_149_140,1
mean annual change in above-ground biomass,GA_2.2_37_70,1
mean annual precipitation,IAS_3_8_84,1
mean annual temperature,IAS_3_8_84,1
mean body length,IAS_4_22_102,1
mean body mass,SUA_2_97_80,1
mean length of fish,GA_1_52_19;GA_2.2_70_120,1
mean polar sea ice extent,GA_3_51_381,1
mean species abundance (msa),GA_1_52_19;GA_2.2_37_70;GA_2.2_46_88;GA_5_34_243,1
medicinal species as a fraction of total vascular plant species,GA_2.3_39_137,1
megafaunal range size,GA_2.2_37_70,1
merchandise exports,GA_2_24_29,1
mibid index,GA_6_122_285,1
migratory birds threatened or near threatened on the red list index,GA_3_150_436,1
mortality rate under 5,GA_2_24_29,1
multidimensional poverty index,GA_3_97_413;SUA_4_149_138,1
national accounts reflecting state of biodiversity and ecosystem services,VA_4_28_109,1
national funding for resourcing of biological invasions policy and management implementation,IAS_6_17_143,1
native newcomer species arrive,GA_2.2_5_55;GA_2.2_65_113,1
natural habitat in agriculture,GA_2.3_42_143,1
natural medicinal products and manufactured bio-derived medicines,GA_2.3_42_143,1
nature risk index,VA_6_64_156,1
net primary production,GA_2.2_37_70;GA_2.2_70_120,1
net primary productivity in forests and on cultivated land,GA_2.3_39_137,1
new pests and invasive alien species colonize,GA_2.2_5_55,1
nitrogen (n) loads,GA_3_74_399,1
nitrogen + phosphate fertilizers (n+p205 total nutrients),GA_1_52_19,1
nitrogen use balance,GA_1_52_19,1
nitrogen use efficiency,GA_1_52_19,1
non declining exploited species,GA_1_52_19,1
number and coverage of stocks with adaptive management systems/plans,GA_1_52_19,1
number of alien and invasive taxa per biogeographic region,IAS_6_21_146,1
number of alien taxa,IAS_6_56_150,1
number of appendix-ii species for which trade is determined to be non-detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,SUA_4_66_123,1
number of biogeographic regions with risk-associated activities,IAS_6_21_146,1
number of cites parties that have adopted standard procedures for non-detrimental findings,SUA_4_65_122,1
number of cites parties with increased capacity,SUA_4_68_125,1
"number of countries implementing natural resource accounts, excluding energy, within the system of environmental economic accounting",VA_4_28_108,1
number of countries implementing nbsaps,GA_3_48_377,1
number of countries implementing the system of environmental economic accounting,VA_4_73_122,1
"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",GA_1_52_19,1
"number of countries that have integrated biodiversity values into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting (seea)",VA_4_73_122,1
number of countries that have ratified the nagoya protocol,GA_3_175_446,1
number of countries with developed or revised nbsaps,GA_1_52_19,1
"number of countries with national instruments on biodiversity relevant taxes, charges and fees",GA_1_52_19,1
number of countries with national instruments on biodiversity relevant tradable permit schemes,GA_1_52_19,1
number of countries with national instruments on redd plus schemes,GA_1_52_19,1
number of countries with policies to secure that [fish] mortalities are accounted for and kept within safe biological limits,SUA_2_90_65,1
number of countries with regulations requiring recovered of depleted species,SUA_2_90_65,1
number of extintions,GA_3_40_367,1
number of invasive alien species introduction events,GA_3_72_395,1
number of people migrating,IAS_2_5_11,1
number of photos taken by the public in an advert to indicate aesthetic values,VA_3_48_73,1
number of protected area management effectiveness (pame) assessments,GA_3_72_395;VA_3_27_60,1
number of publications,SUA_4_2_109,1
number of rare or threatened species,VA_2_38_28,1
number of research studies involving economic valuation,GA_3_15_329,1
number of species at risk of extinction,IAS_4_22_102,1
number of species extinctions,GA_1_52_19;IAS_4_22_102,1
number of studies on ias available per region,IAS_2_13_15,1
number of surveys of cites listed species undertaken by exporting states to support non-detrimental findings,SUA_4_65_122,1
number of tourists,IAS_2_5_11,1
"number of tourists, scientists and facilities per biogeographic region",IAS_6_21_146,1
number of widespread phyla for which no information was available for a particular region,IAS_2_13_16,1
number of wildlife pictures posted on a photo-sharing website,VA_3_48_73,1
number of world natural heritage sites per country per year,GA_1_52_19,1
numbers of scientific publications on biodiversity,GA_3_49_379,1
ocean health index,GA_2.2_38_74;GA_4_155_228;GA_6_86_279,1
oceanic carbon sequestration,GA_2.2_37_70,1
oecd better life index,GA_4_131_209,1
official development assistance provided in support of the cbd objectives,GA_3_51_381,1
online interest in biodiversity (proportion of google searches),GA_3_15_329,1
opening up of forest canopy,GA_2.2_65_113,1
organisms` size or growth,GA_4_34_176,1
overall species abundance,GA_1_52_19,1
overexploitation of resources by outsiders and locals,GA_2.2_6_56,1
passenger and freight volumes by mode of transport,GA_3_128_421,1
peoples’ preferences or spending on safeguarding biodiversity and ecosystem services,VA_3_2_52,1
per capita consumption,GA_2_22_28,1
percentage of abroad land use footprint,GA_2_118_47,1
percentage of agricultural and urban areas,GA_2_118_47,1
percentage of countries that are category 1 cites parties,GA_1_52_19;GA_3_15_329,1
percentage of countries with invasive alien species legislation,GA_3_72_395,1
percentage of freshwater key biodiversity areas covered by protected areas,GA_3_72_395,1
percentage of live coral cover,GA_2.2_70_120;GA_3_34_361,1
percentage of marine key biodiversity areas covered by protected areas,GA_3_72_395,1
percentage of population living in dense urban areas,GA_2.3_50_149,1
percentage of population using safely managed drinking water services,GA_1_52_19,1
percentage of terrestrial ecoregions covered by protected areas,GA_3_72_395;GA_3_72_395,1
percentage of undernourished people,GA_1_52_19,1
permanent surface water extent,GA_2.2_37_70,1
"pest, invasive or harmful species",GA_4_34_176,1
pesticide use,GA_3_51_381;GA_3_54_387,1
phenology of economically and/or culturally important wild plant and animal species,GA_2.3_40_140,1
phosphorus (p) loads,GA_3_74_399,1
photo series analysis using social media,VA_3_48_73,1
photo-rankings,VA_2_38_28,1
phylogenetic distance,IAS_3_84_95,1
phylogenetic diversity,GA_2.3_42_143,1
planetary pressures adjusted human development index (hdi),VA_2_38_29,1
policies make adequate provisions to minimize impacts of fisheries on threatened species,GA_1_52_19,1
policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place,GA_1_52_19,1
pollen deposition,GA_2.3_42_143,1
pollinator diversity,GA_2.3_2_125;GA_2.3_42_143,1
population extinctions,GA_2.3_75_161,1
population size,GA_2.3_40_140;SUA_2_97_80,1
predatory fish biomass,GA_2.2_37_70,1
presence of regulations requiring recovery of depleted species,GA_1_52_19,1
prevalence of certain species,SUA_2_97_80,1
prevalence of knowledge about seasonal cycles in their communities,SUA_2_97_80,1
prevented emissions and uptake of greenhouse gases by ecosystems,GA_2.3_42_143,1
prey fish biomass,GA_2.2_37_70,1
production,GA_4_34_176,1
production of fuelwood,GA_2.3_42_143,1
proportion of agricultural area under productive and sustainable agriculture,GA_1_52_19,1
proportion of area of forest production under fsc and pefc certification,GA_1_52_19,1
proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,IAS_5_120_132,1
proportion of countries that are category 1 signatories to the convention on international trade in endangered species of wild fauna and flora (cites),GA_3_26_354,1
proportion of cropland,IAS_2_5_11,1
proportion of domesticated breeds categorized as at risk or extinct,GA_3_44_371,1
proportion of fish stocks within biologically sustainable levels,GA_1_52_19;GA_2.2_37_70;GA_2.2_70_120;GA_4_152_225;GA_3_15_329;GA_3_72_395,1
proportion of known species assessed through the red list index,GA_1_52_19,1
proportion of local breeds classified as being at risk of extinction,GA_1_52_19,1
proportion of population exposed to air pollution,VA_2_38_28,1
proportion of predatory fish,GA_1_52_19,1
proportion of sites in the world database on protected areas reporting shared governance,GA_3_38_364,1
proportion of the rural population who live within 2 km of an all-season road,GA_3_128_421,1
proportion of unpalatable plants on rangelands,GA_2.2_65_113,1
proportion of urban area,IAS_2_5_11,1
proportion of urban population,GA_2_24_29,1
prospective inclusion of other native taxa and threatened habitats,IAS_6_21_146,1
protected area connectedness (parc-connectedness) index,GA_1_52_19,1
protected area coverage,GA_1_52_19,1
protected area coverage of key biodiversity areas,GA_1_52_19;GA_3_55_389;GA_3_72_395,1
protected area coverage of marine and coastal areas,GA_3_72_395,1
"protected area coverage of terrestrial, marine and freshwater ecoregions",GA_1_52_19,1
protected area management effectiveness (pame),GA_1_52_19,1
protected area representativeness index,GA_1_52_19,1
protection of key biodiversity areas,GA_2_24_29,1
proximity of people and nature,GA_2.3_42_143,1
quality and abundance of food and medicine species,SUA_2_95_77;SUA_2_96_79,1
quality of governance index,SUA_4_61_118,1
ramsar sites,GA_1_52_19,1
range contractions,GA_2.3_75_161,1
range-size rarity,GA_2.2_21_61,1
rate of invasive alien species establishment,IAS_6_119_173,1
rate of land use change,GA_2.3_39_137,1
rate of species accumulation,IAS_2_15_20,1
rate of use of pesticides,VA_3_26_59,1
rate of wood removal,VA_3_26_59,1
recognition and value of forest-management knowledge and skills of local people,SUA_2_92_69,1
red list index,GA_1_52_19;GA_2.2_37_70;GA_2.2_51_92;GA_2.2_70_120;GA_4_30_175;GA_3_40_368;GA_3_45_374;GA_3_150_436;SUA_1_1_1;SUA_1_22_10;SUA_4_70_126;SUA_4_71_127;IAS_2_48_40;IAS_4_22_102;IAS_5_52_127,1
red list index (birds and mammals),GA_3_51_382,1
red list index (for utilized species),GA_2.2_51_92;GA_3_15_329,1
red list index (forest specialists),GA_3_15_329,1
red list index (impacts of fisheries),GA_3_15_329,1
red list index (impacts of invasive alien species),GA_3_72_395,1
red list index (impacts of pollution),GA_3_72_395,1
red list index (internationally traded species),GA_2.2_51_92;GA_3_15_329,1
red list index (pollinators),GA_2.2_51_92,1
red list index (vertebrate pollinators),GA_3_45_374,1
red list index (wild relatives of farmed and domesticated species),GA_2.2_51_92,1
reduced concentration of pollutants in water,GA_2.3_42_143,1
reduced concentrations of greenhouse gases in the atmosphere,GA_2.3_42_143,1
reduced concentrations of pm2.5,GA_2.3_42_143,1
reduced cost of road construction,VA_2_76_48,1
reduced cost of road maintenance,VA_2_76_48,1
reduced food spoilage,GA_2.3_42_143,1
reduced hunger,GA_2.3_42_143,1
reduced incidence and severity of hazards,GA_2.3_42_143,1
reduced incidence of infectious diseases,GA_2.3_42_143,1
reduced incidence of water borne disease,GA_2.3_42_143,1
reduced malnutrition,GA_2.3_42_143,1
reduced morbidity and premature mortality due to natural hazards,GA_2.3_42_143,1
reduced net farm income loss from pests and diseases,GA_2.3_42_143,1
reduced ocean acidification,GA_2.3_42_143,1
reduced property loss due to natural hazards,GA_2.3_42_143,1
reduced risk of disease transmission,GA_2.3_42_143,1
reduction in climate related costs,GA_2.3_42_143,1
relevant research funding,GA_3_49_379,1
remaining primary vegetation,GA_2.2_37_70,1
remaining primary vegetation (indigenous lands),GA_2.2_37_70,1
remnant ecosystems degrade,GA_2.2_5_55,1
reproduction rate,GA_4_34_176,1
reproductive success,SUA_4_78_130;SUA_4_89_132,1
resilience of forest-dependent communities,SUA_2_92_69,1
resourcing of invasive alien species prevention and control activities,IAS_6_14_142,1
retention and prevented emissions of air pollutants by ecosystems,GA_2.3_42_143,1
retention over time of indigenous ecological knowledge and practices,GA_2_25_33,1
revenue from bioenergy production,GA_2.3_42_143,1
revenue from forestry,GA_2.3_42_143,1
rule of law index,GA_5_104_261,1
seafood availability due to ocean acidification,GA_2.3_42_143,1
seafood produced (kcal),GA_2.3_42_143,1
seagrass meadow area,GA_2.2_37_70;GA_2.2_38_74,1
severe global bleaching events,GA_2.2_91_124,1
share of main groups of species in fish trade in terms of value,SUA_2_90_65,1
sharing and trading institutions,SUA_2_95_77,1
ship calls,IAS_2_5_11,1
social progress index,GA_2_25_34,1
social welfare function (swf),VA_3_96_97,1
soil organic carbon,GA_2.2_37_70;GA_2.3_39_137,1
soil quality impact on crop production,GA_2.3_42_143,1
sounds associated with the forest,SUA_2_97_80,1
spatial densities of relational values in an area,VA_2_38_28,1
spatial distribution,GA_2.3_40_140,1
spatial distribution of species,SUA_2_96_79,1
species area relationship,GA_5_34_243,1
species distribution area and shift,GA_4_34_176,1
species habitat index,GA_1_52_19;GA_1_52_19;GA_2.2_37_70;GA_3_54_387,1
species negatively impacting biodiversity,IAS_6_56_150,1
species occurrence records accessible through the global biodiversity information facility,GA_1_52_19,1
species protection index,GA_1_52_19,1
species represented in the barcode of life data system,GA_1_52_19,1
species richness,GA_4_34_176;IAS_3_84_95,1
species richness per grid cell,GA_2.2_37_70;GA_2.2_47_90,1
species status index,GA_1_52_19,1
species used for medicine,GA_2.3_22_127,1
species with data included in the global biodiversity information facility,GA_3_49_379,1
spread of alien species by pathway,IAS_6_97_160,1
stability of land use and land cover,GA_2.3_42_143,1
status of an individual or species as native or alien,IAS_6_114_165,1
stock values of natural capital,VA_2_38_28,1
strength of people’s connection to the forest,SUA_2_97_80,1
structural and functional connectivity of habitat,VA_2_38_28,1
sustainability dashboard,VA_2_8_10,1
sustainable development goals (sdg) index,GA_4_147_220,1
sustainable development goals index,VA_2_38_29,1
sustainable development index (sdi),VA_5_78_136,1
sustainable economic welfare (isew),VA_5_78_136,1
sustainable well-being index (swi),VA_2_38_29,1
taxa assessed for the red list index,GA_3_49_379,1
temperature,IAS_2_5_11,1
temporal species turnover,GA_1_52_19,1
terrestrial c sequestration,GA_2.2_37_70,1
terrestrial net primary production,GA_2.2_37_70;GA_2.2_42_82;GA_2.3_39_137,1
terrestrial vegetation biomass,GA_2.2_1_50,1
themes in a text representing nature´s values,VA_2_38_28,1
timber production (m3),GA_2.3_42_143,1
time needed or distance travelled to harvest resources,GA_2.2_65_113,1
"time needed to harvest resources, distance travelled to harvest resources",GA_2.2_5_55,1
total dissolved solids (tds),GA_3_74_399,1
