indicators_harmonized,ids,mea,ipbes,Categories,Subcategories,Categories_2,Subcategories_2,indicators_orig
number of countries using natural capital accounts in planning processes,GBF_CY_T1_226,GBF,NA,Governance,Nature-Based Funding,NA,NA,Number of countries using natural capital accounts in planning processes
percentage of spatial plans utilizing information on key biodiversity areas,GBF_CY_T1_227,GBF,NA,Governance,Nature-Based Legislation,NA,NA,Percentage of spatial plans utilizing information on key biodiversity areas
habitat patches located within marine protected areas or integrated coastal zone management (iczm),GBF_CY_T1_228,GBF,NA,Ecosystems,State Of Ecosystems (Marine),NA,NA,Habitat patches located within marine protected areas or integrated coastal zone management (ICZM)
other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),GBF_CY_T1_229,GBF,NA,Governance,Nature-Based Legislation,NA,NA,Other spatial management plans (not captured as ICZM or marine spatial planning in 14.2.1)
number of countries using ocean accounts in planning processes,GBF_CY_T1_230,GBF,NA,Governance,Nature-Based Funding,NA,NA,Number of countries using ocean accounts in planning processes
proportion of transboundary basin area with an operational arrangement for water cooperation,"GBF_CY_T1_231,SDG_6_5_2_100","GBF,SDG",1,Ecosystem Services,Nature Contribution,NA,NA,"Proportion of transboundary basin area with an operational arrangement for water cooperation,Proportion of transboundary basin area with an operational arrangement for water cooperation"
percent of total land area that is under cultivation,GBF_CY_T1_232,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,Percent of total land area that is under cultivation
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation would work here for ips (not necessarily lcs), if spatial planning was substituted for conservation",GBF_CY_T1_234,GBF,NA,Knowledge Systems,Specific Information On Ilk And Iplc,NA,NA,"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation would work here for IPs (not necessarily LCs), if spatial planning was substituted for conservation."
habitat distributional range,GBF_CY_T2_236,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,Habitat distributional range
"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",GBF_CY_T2_237,GBF,NA,Ecosystems,State Of Ecosystems,Biodiversity,Species Conservation,"Index of Species Rarity Sites, High Biodiversity Areas, Large Mammal Landscapes, Intact wilderness and Climate Stabilization Areas"
increase in secondary natural forest cover,GBF_CY_T2_238,GBF,NA,Ecosystems,Change In Ecosystems,NA,NA,Increase in secondary natural forest cover
annual tropical primary tree cover loss,GBF_CY_T2_239,GBF,NA,Ecosystems,Change In Ecosystems,NA,NA,Annual Tropical Primary Tree Cover Loss
global ecosystem restoration index,GBF_CY_T2_241,GBF,1,Ecosystems,Area Conservation,NA,NA,Global Ecosystem Restoration Index
percentage of cropped landscapes with at least 10 % natural land,GBF_CY_T2_243,GBF,NA,Ecosystems,State Of Ecosystems,NA,NA,Percentage of cropped landscapes with at least 10 % natural land
status of key biodiversity areas,"GBF_CY_T2_246,GBF_CY_T3_253",GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,"Status of Key Biodiversity Areas,Status of Key Biodiversity Areas"
"protected area downgrading, downsizing and degazettement (pd)",GBF_CY_T3_252,GBF,NA,Ecosystems,Change In Ecosystems,NA,NA,"Protected area downgrading, downsizing and degazettement (PD)"
iucn green list of protected and conserved areas,GBF_CY_T3_254,GBF,NA,Ecosystems,Area Conservation,NA,NA,IUCN Green List of Protected and Conserved Areas
number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),GBF_CY_T3_255,GBF,NA,Ecosystems,Area Conservation,NA,NA,Number of hectares of UNESCO designated sites (natural and mixed World Heritage sites and Biosphere Reserves)
protected area and oecm management effectiveness (mepca) indicator,GBF_CY_T3_256,GBF,NA,Ecosystems,Area Conservation,Governance,Nature-Based Legislation,Protected area and OECM management effectiveness (MEPCA) indicator
protected area isolation index (pai),GBF_CY_T3_257,GBF,NA,Ecosystems,State Of Ecosystems (Coverage),NA,NA,Protected Area Isolation Index (PAI)
protected areas network metric (pronet),GBF_CY_T3_258,GBF,NA,Ecosystems,Area Conservation,NA,NA,Protected Areas Network metric (ProNet)
extent to which protected areas and other effective area-based conservation measures (oecms) cover key biodiversity areas that are important for migratory species,GBF_CY_T3_259,GBF,NA,Ecosystems,State Of Ecosystems,Biodiversity,State Of Biodiversity,Extent to which protected areas and other effective area-based conservation measures (OECMs) cover Key Biodiversity Areas that are important for migratory species
coverage of protected areas and oecms and traditional territories (by governance type),GBF_CY_T3_260,GBF,NA,Ecosystems,Area Conservation,NA,NA,Coverage of Protected areas and OECMS and traditional territories (by governance type)
ramsar management effectiveness tracking tool (r-mett),GBF_CY_T3_261,GBF,NA,Ecosystems,Area Conservation,NA,Species Conservation,Ramsar Management Effectiveness Tracking Tool (R-METT)
percentage of biosphere reserves that have a positive conservation outcome and effective management,GBF_CY_T3_262,GBF,NA,Governance,Nature-Based Legislation,Ecosystems,Area Conservation,Percentage of biosphere reserves that have a positive conservation outcome and effective management
extent of indigenous peoples and local communities lands that have some form of recognition,GBF_CY_T3_263,GBF,NA,Knowledge Systems,Ilk,Human Well-Being,Equity,Extent of indigenous peoples and local communities lands that have some form of recognition
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation",GBF_CY_T3_265,GBF,NA,Governance,Nature-Based Legislation,NA,NA,"Number of countries implementing national legislation, policies or other measures regarding FPIC related to conservation"
"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures","GBF_CY_T3_267,GBF_CY_T5_284",GBF,NA,Ecosystems,Area Conservation,NA,NA,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures,Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures"
species threat abatement and restoration metric,"GBF_CY_T4_268,GBF_CY_T15_335",GBF,NA,Biodiversity,Species Conservation,NA,NA,"Species threat abatement and restoration metric,Species threat abatement and restoration metric"
changing status of evolutionary distinct and globally endangered species (edge index),GBF_CY_T4_269,GBF,NA,Biodiversity,State Of Biodiversity,NA,Change In Biodiversity,Changing status of evolutionary distinct and globally endangered species (EDGE Index)
number of cms daughter agreements,GBF_CY_T4_271,GBF,NA,Governance,Nature-Based Legislation,NA,NA,Number of CMS daughter agreements
sustainable watershed and inland fisheries index,GBF_CY_T5_275,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA,Sustainable watershed and inland fisheries index
red list index (internationally traded species and migratory species),GBF_CY_T5_276,GBF,NA,Biodiversity,State Of Biodiversity,NA,NA,Red List Index (for internationally traded species and for migratory species)
marine stewardship council certified catch,GBF_CY_T5_277,GBF,1,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA,Marine Stewardship Council Fish catch
total catch of cetaceans under international convention for the regulation of whaling,GBF_CY_T5_278,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA,Total catch of cetaceans under International Convention for the Regulation of Whaling
by catch of vulnerable and non-target species,GBF_CY_T5_279,GBF,NA,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,NA,By catch of vulnerable and non-target species
"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing","GBF_CY_T5_280,GBF_CY_T9_309,SDG_14_6_1_207","GBF,SDG",1,Governance,Nature-Based Legislation,Governance,National/International Cooperation,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing,Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing,Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
proportion of legal and illegal wildlife trade consisting of species threatened with extinction,GBF_CY_T5_281,GBF,NA,Ecosystem Services,Specific Monetary Valuation Of Nature Contribution,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,Proportion of legal and illegal wildlife trade consisting of species threatened with extinction
illegal trade by cites species classification,GBF_CY_T5_282,GBF,NA,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,NA,Illegal trade by CITES species classification
number of countries incorporating trade in their national biodiversity policy,GBF_CY_T5_283,GBF,NA,Governance,Nature-Based Legislation,NA,NA,Number of countries incorporating trade in their national biodiversity policy
implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,GBF_CY_T5_285,GBF,NA,Governance,Nature-Based Legislation,NA,NA,Implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats
number of msc chain of custody certification holders by distribution country,"GBF_CY_T5_286,GBF_CY_T9_310",GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA,"Number of MSC Chain of Custody Certification holders by distribution country,Number of MSC Chain of Custody Certification holders by distribution country"
trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with biotrade principles and/or cites requirements),GBF_CY_T5_287,GBF,NA,Ecosystem Services,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,NA,Trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with BioTrade Principles and/or CITES requirements)
number of invasive alien species in national lists as per the global register of introduced and invasive species,GBF_CY_T6_288,GBF,NA,Direct Drivers,Invasive Alien Species,NA,NA,Number of invasive alien species in national lists as per the Global Register of Introduced and Invasive Species
"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",GBF_CY_T6_289,GBF,NA,Biodiversity,State Of Biodiversity,Direct Drivers,Invasive Alien Species,"Trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)"
red list index (impacts of invasive alien species),GBF_CY_T6_290,GBF,1,Biodiversity,State Of Biodiversity,Direct Drivers,Invasive Alien Species,Red List Index (impacts of invasive alien species)
trends in loss of reactive nitrogen to the environment,GBF_CY_T7_291,GBF,NA,Direct Drivers,Pollution,NA,NA,Trends in Loss of Reactive Nitrogen to the Environment.
trends in nitrogen deposition,GBF_CY_T7_292,GBF,1,Direct Drivers,Pollution,NA,NA,Trends in Nitrogen Deposition
municipal solid waste collected and managed,GBF_CY_T7_293,GBF,NA,Governance,Legislation/Governance,NA,NA,Municipal solid waste collected and managed
hazardous waste generation,GBF_CY_T7_294,GBF,NA,Direct Drivers,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,NA,Hazardous waste generation
trends in the amount of litter in the water column including microplastics and on the seafloor,GBF_CY_T7_295,GBF,NA,Direct Drivers,Pollution,NA,NA,Trends in the amount of litter in the water column including microplastics and on the seafloor
plastic debris density,"GBF_CY_T7_297,SDG_14_1_1_b_202","GBF,SDG",1,Direct Drivers,Pollution,NA,NA,"Index of coastal eutrophication; (b) plastic debris density,(a) Index of coastal eutrophication; and (b) plastic debris density"
underwater noise pollution,GBF_CY_T7_299,GBF,NA,Direct Drivers,Pollution,NA,NA,Underwater noise pollution
"name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",GBF_CY_T7_300,GBF,NA,Direct Drivers,Pollution,NA,NA,"Name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)"
pesticide use per area of cropland,GBF_CY_T7_301,GBF,NA,Direct Drivers,Pollution,NA,NA,Pesticide use per area of cropland
above-ground biomass stock in forest,GBF_CY_T8_302,GBF,NA,Ecosystems,State Of Ecosystems (Coverage),NA,NA,Above-ground biomass stock in forest (tonnes/ha)
proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,"GBF_CY_T8_304,SDG_1_5_4_11,SDG_11_b_2_170,SDG_13_1_3_192","GBF,SDG",1,Governance,Legislation/Governance,NA,NA,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies"
"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change","GBF_CY_T8_305,SDG_13_b_1_200","GBF,SDG",1,Governance,Nature-Based Legislation,NA,NA,"Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications,Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the United Nations Framework Convention on Climate Change"
"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",GBF_CY_T8_307,GBF,NA,Direct Drivers,Climate Change,NA,NA,"Carbon stocks and annual net GHG emissions, by landuse category, split by natural and non-natural land cover"
spawning stock biomass (related to commercially exploited species),GBF_CY_T9_311,GBF,NA,Ecosystem Services,Nature Contribution,Biodiversity,State Of Biodiversity,Spawning stock biomass (related to commercially exploited species)
volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,"GBF_CY_T9_313,SDG_2_3_1_20","GBF,SDG",1,Human Assets,State Of Economy,NA,NA,"Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size"
agrobiodiversity index,GBF_CY_T10_314,GBF,NA,Ecosystem Services,Nature Contribution,Biodiversity,State Of Biodiversity,Agrobiodiversity Index
soil organic carbon (soc) stocks,"GBF_CY_T10_315,UNCCD_1_3_4","GBF,UNCCD",NA,Ecosystems,Abiotic Conditions,Ecosystem Services,Nature Contribution,"Changes in soil organic carbon stocks,Trends in carbon stocks (above and below ground), which is currently represented by soil organic carbon (SOC) stocks"
proportion of land that is degraded over total land area,"GBF_CY_T10_319,SDG_15_3_1_215,UNCCD_1_1","GBF,SDG,UNCCD",1,Direct Drivers,Land Conversion,NA,NA,"Proportion of land that is degraded over total land area,Proportion of land that is degraded over total land area,Proportion of land that is degraded over total land area"
air emission accounts,GBF_CY_T11_320,GBF,NA,Direct Drivers,Climate Change,NA,NA,Air emission accounts
proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,"GBF_CY_T11_321,SDG_6_b_1_103","GBF,SDG",1,Governance,Legislation/Governance,NA,NA,"Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management"
proportion of population using safely managed drinking water services,"GBF_CY_T11_322,SDG_6_1_1_92","GBF,SDG",1,Human Assets,Coverage Of Basic Needs,NA,Information On Society And Socio-Economics,"Proportion of population using safely managed drinking water services,Proportion of population using safely managed drinking water services"
mortality rate attributed to household and ambient air pollution,"GBF_CY_T11_323,SDG_3_9_1_48","GBF,SDG",NA,Human Well-Being,Healthy Living Conditions,Direct Drivers,Pollution,"Mortality rate attributed to household and ambient air pollution,Mortality rate attributed to household and ambient air pollution"
total number of transfers of crop material from the multilateral system of the international treaty on plant genetic resources for food and agriculture (itpgrfa) received in a country,GBF_CY_T13_325,GBF,NA,Knowledge Systems,Information On Biodiversity,Biodiversity,Genetic Resources,Total number of transfers of crop material from the Multilateral System of the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA) received in a country
"total number of permits, or their equivalent, granted for access to genetic resources",GBF_CY_T13_326,GBF,NA,Governance,Nature-Based Legislation,Biodiversity,Genetic Resources,"Total number of permits, or their equivalent, granted for access to genetic resources"
"number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the abs clearing-house",GBF_CY_T13_328,GBF,NA,Governance,Nature-Based Legislation,NA,NA,"Number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the ABS Clearing-House"
number of countries that require prior informed consent that have published information on abs procedures in the abs clearing-house,GBF_CY_T13_329,GBF,NA,Governance,Nature-Based Legislation,NA,NA,Number of countries that require prior informed consent that have published information on ABS procedures in the ABS Clearing-House
"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits","GBF_CY_T13_330,SDG_15_6_1_219","GBF,SDG",1,Human Well-Being,Equity,NA,NA,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits,Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits"
estimated percentage of monetary and non-monetary benefits directed towards conservation and sustainable use of biodiversity,GBF_CY_T13_331,GBF,NA,Governance,Nature-Based Funding,Biodiversity,Species Conservation,Estimated percentage of monetary and nonmonetary benefits directed towards conservation and sustainable use of biodiversity
human appropriation of net primary productivity,GBF_CY_T14_332,GBF,1,Ecosystems,State Of Ecosystems (Coverage),Direct Drivers,Land Conversion,Human Appropriation of Net Primary Production (HANPP)
co2 emission per unit of value added,"GBF_CY_T14_333,SDG_9_4_1_133","GBF,SDG",1,Direct Drivers,Climate Change,NA,NA,"CO2 emission per unit of value added,CO2 emission per unit of value added"
change in water-use efficiency over time,"GBF_CY_T14_334,SDG_6_4_1_97","GBF,SDG",1,Human Assets,Infrastructure (Build-Up Area),NA,NA,"Change in water-use efficiency over time,Change in water-use efficiency over time"
number of companies publishing sustainability reports,"GBF_CY_T15_336,SDG_12_6_1_181","GBF,SDG",1,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,"Number of companies publishing sustainability reports,Number of companies publishing sustainability reports"
recycling rate,GBF_CY_T16_341,GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,Recycling rate
life cycle impact assessment (lcia),GBF_CY_T16_342,GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,Life cycle Impact assessment (LCIA) e.g. LIME ; Lifecycle Impact Assessment Method based on Endpoint Modelling
levels of poverty in developing communities,GBF_CY_T16_343,GBF,NA,Human Assets,Income,NA,State Of Economy,Levels of poverty in developing communities
number of countries that have the necessary biosafety legal and administrative measures in place,GBF_CY_T17_344,GBF,NA,Governance,Nature-Based Legislation,NA,NA,Number of countries that have the necessary biosafety legal and administrative measures in place
number of countries that implement their biosafety measures,GBF_CY_T17_345,GBF,NA,Governance,Nature-Based Legislation,NA,NA,Number of countries that implement their biosafety measures
number of countries that have the necessary measures and means for detection and identification of products of biotechnology,GBF_CY_T17_346,GBF,NA,Governance,Nature-Based Legislation,NA,NA,Number of countries that have the necessary measures and means for detection and identification of products of biotechnology
number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,GBF_CY_T17_347,GBF,NA,Governance,Nature-Based Legislation,NA,NA,Number of countries that carry out scientifically sound risk assessments to support biosafety decision-making
number of countries that establish and implement risk management measures,"GBF_CY_T17_348,GBF_CY_T17_353",GBF,NA,Governance,Nature-Based Legislation,NA,NA,"Number of countries that establish and implement risk management measures,Number of countries that establish and implement risk management measures"
percentage of parties to the cartagena protocol on biosafety implementing the relevant provisions of the protocol,GBF_CY_T17_349,GBF,NA,Governance,Nature-Based Legislation,NA,NA,Percentage of Parties to the Cartagena Protocol on Biosafety implementing the relevant provisions of the Protocol
number of countries with legal and technical measures for restoration and compensation,GBF_CY_T17_350,GBF,NA,Governance,Nature-Based Funding,NA,NA,Number of countries with legal and technical measures for restoration and compensation
percentage of parties to the nagoya - kuala lumpur supplementary protocol,GBF_CY_T17_351,GBF,NA,Governance,Nature-Based Legislation,NA,NA,Percentage of Parties to the Nagoya - Kuala Lumpur Supplementary Protocol
percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,GBF_CY_T17_352,GBF,NA,Governance,Nature-Based Legislation,NA,NA,Percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity
number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,GBF_CY_T17_354,GBF,NA,Governance,Nature-Based Legislation,NA,NA,Number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health
number of countries with biodiversity-relevant taxes,GBF_CY_T18_355,GBF,NA,Governance,Nature-Based Funding,NA,NA,Number of countries with biodiversity-relevant taxes
number of countries with biodiversity-relevant charges and fees,GBF_CY_T18_356,GBF,NA,Governance,Nature-Based Funding,NA,NA,Number of countries with biodiversity-relevant charges and fees
number of countries with biodiversity-relevant tradable permit schemes,GBF_CY_T18_357,GBF,NA,Governance,Nature-Based Legislation,NA,NA,Number of countries with biodiversity-relevant tradable permit schemes
trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),GBF_CY_T18_358,GBF,NA,Governance,Nature Detrimental Legislation,NA,NA,Trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate)
trends in the number and value of government fossil-fuel support measures,GBF_CY_T18_359,GBF,NA,Governance,Nature Detrimental Legislation,NA,NA,Trends in the number and value of government fossil fuel support measures
amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),"GBF_CY_T18_360,SDG_12_c_1_189","GBF,SDG",1,Governance,Nature Detrimental Legislation,NA,NA,"Amount of fossil-fuel subsidies (production and consumption) per unit of GDP,Amount of fossil-fuel subsidies (production and consumption) per unit of GDP"
amount of funding provided through the global environment facility and allocated to the biodiversity focal area,GBF_CY_T19_361,GBF,NA,Governance,Nature-Based Funding,NA,NA,Amount of funding provided through the Global Environment Facility and allocated to the biodiversity focal area
"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget",GBF_CY_T19_362,GBF,1,Human Assets,Information On Society And Socio-Economics,NA,NA,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget"
amount and composition of biodiversity-related finance reported to the oecd creditor reporting system,GBF_CY_T19_363,GBF,NA,Governance,Nature-Based Legislation,NA,NA,Amount and composition of biodiversity-related finance reported to the OECD Creditor reporting system
"dollar value of financial and technical assistance (including through north-south, south-south and triangular cooperation) committed to developing countries","GBF_CY_T19_364,SDG_17_9_1_267","GBF,SDG",NA,Governance,National/International Cooperation,NA,NA,"Dollar value of financial and technical assistance (including through North-South, South‑South and triangular cooperation) committed to developing countries,Dollar value of financial and technical assistance (including through North-South, South‑South and triangular cooperation) committed to developing countries"
dollar value of all resources made available to strengthen statistical capacity in developing countries,"GBF_CY_T19_365,SDG_17_19_1_279","GBF,SDG",1,Governance,National/International Cooperation,NA,NA,"Dollar value of all resources made available to strengthen statistical capacity in developing countries,Dollar value of all resources made available to strengthen statistical capacity in developing countries"
amount of biodiversity-related philanthropic funding,GBF_CY_T19_366,GBF,NA,Governance,Nature-Based Funding,NA,NA,Amount of biodiversity-related philanthropic funding
number of countries (and number of instruments) with payments for ecosystem services (pes) programmes,GBF_CY_T19_369,GBF,NA,Governance,Nature-Based Funding,NA,NA,Number of countries (and number of instruments) with payments for ecosystem services (PES) programmes
"number of countries that have assessed values of biodiversity, in accordance with the convention",GBF_CY_T19_370,GBF,NA,Knowledge Systems,Information On Biodiversity,NA,NA,"Number of countries that have (a) Assessed values of biodiversity, in accordance with the Convention, (b) Identified and reported funding needs, gaps and priorities (c)Developed national financial plans for biodiversity; (d) Been provided with the necessary funding and capacity building to undertake the above activities"
"number of countries that have identified and reported funding needs, gaps and priorities",GBF_CY_T19_371,GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,"Number of countries that have (a) Assessed values of biodiversity, in accordance with the Convention, (b) Identified and reported funding needs, gaps and priorities (c)Developed national financial plans for biodiversity; (d) Been provided with the necessary funding and capacity building to undertake the above activities"
number of countries that have developed national financial plans for biodiversity,GBF_CY_T19_372,GBF,NA,Knowledge Systems,Information On Biodiversity,NA,NA,"Number of countries that have (a) Assessed values of biodiversity, in accordance with the Convention, (b) Identified and reported funding needs, gaps and priorities (c)Developed national financial plans for biodiversity; (d) Been provided with the necessary funding and capacity building to undertake the above activities"
"number of countries that have been provided with the necessary funding and capacity building to undertake assessment values of biodiversity, in accordance with the Convention, and/or identified and reported funding needs, gaps and priorities, and/or developed national financial plans for biodiversity",GBF_CY_T19_373,GBF,NA,Governance,Nature-Based Funding,Knowledge Systems,Information On Biodiversity,"Number of countries that have (a) Assessed values of biodiversity, in accordance with the Convention, (b) Identified and reported funding needs, gaps and priorities (c)Developed national financial plans for biodiversity; (d) Been provided with the necessary funding and capacity building to undertake the above activities"
growth in number of records and species in the living planet index database,GBF_CY_T21_375,GBF,NA,Knowledge Systems,Information On Biodiversity,NA,NA,Growth in number of records and species in the Living Planet Index database
species occurrence records accessible through the global biodiversity information facility,GBF_CY_T21_376,GBF,1,Knowledge Systems,Information On Biodiversity,NA,NA,Growth in species occurrence records accessible through the Global Biodiversity Information Facility
growth in marine species occurrence records accessible through ocean biodiversity information system (obis),GBF_CY_T21_377,GBF,NA,Knowledge Systems,Information On Biodiversity,NA,NA,Growth in marine species occurrence records accessible through OBIS
proportion of known species assessed through the red list index,GBF_CY_T21_378,GBF,1,Biodiversity,Species Conservation,NA,NA,Proportion of known species assessed through the IUCN Red List.
number of assessments on the red list index,GBF_CY_T21_379,GBF,NA,Biodiversity,Species Conservation,NA,NA,Number of assessments on the IUCN Red List of threatened species
world association of zoos and aquariums (waza) bio-literacy survey (biodiversity literacy in global zoo and aquarium visitors),GBF_CY_T21_380,GBF,NA,Knowledge Systems,Information On Society And Socio-Economics,NA,NA,World Association of Zoos and Aquariums (WAZA) bio-literacy survey (Biodiversity literacy in global zoo and aquarium visitors)
"proportions of positions in national and local institutions, including the legislatures, compared to national distributions, by sex, age, persons with disabilities and population groups","GBF_CY_T22_382,GBF_CY_T23_393,SDG_16_7_1_a_247","GBF,SDG",NA,Human Well-Being,Equity,NA,NA,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups,Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups,Proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
"proportions of positions in national and local institutions, including the public service, compared to national distributions, by sex, age, persons with disabilities and population groups","GBF_CY_T22_383,GBF_CY_T23_394,SDG_16_7_1_b_248","GBF,SDG",NA,Human Well-Being,Equity,NA,NA,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups,Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups,Proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
"proportions of positions in national and local institutions, including the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups","GBF_CY_T22_384,GBF_CY_T23_395,SDG_16_7_1_c_249","GBF,SDG",NA,Human Well-Being,Equity,NA,NA,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups,Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups,Proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
number of countries with systems to track and make public allocations for gender equality and women's empowerment,"GBF_CY_T22_385,GBF_CY_T23_398",GBF,NA,Human Well-Being,Equity,NA,NA,"Number of countries with systems to track and make public allocations for gender equality and women's empowerment,Number of countries with systems to track and make public allocations for gender equality and women's empowerment"
