indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,usage_ipbes,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2
total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030 which include biodiversity,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
national greenhouse inventories from land use and land use change,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Climate Change,NA
bioclimatic ecosystem resilience index (beri),1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,State Of Biodiversity,NA
"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Assets,Ecosystem Services,Infrastructure (Build-Up Area),Specific Mention Of Sustainable Use Of Species/Ecosystems
area of forest under sustainable management: total forest management certification by forest stewardship council and programme for the endorsement of forest certification,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Ecosystem Services,Governance,Specific Mention Of Sustainable Use Of Species/Ecosystems,Nature-Based Legislation
"average income of small-scale food producers, by sex and indigenous status",1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Human Assets,NA,Income,NA
"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Direct Drivers,NA,Natural Drivers,NA
"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)",1,0,"GBF,SDG",NA,2,2,0,0,1,NA,NA,Human Well-Being,Direct Drivers,Healthy Living Conditions,Pollution
annual mean levels of fine particulate matter in cities,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Direct Drivers,Ecosystems,Pollution,State Of Ecosystems (Integrity)
proportion of bodies of water with good ambient water quality,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Ecosystems,Human Well-Being,State Of Ecosystems,Healthy Living Conditions
level of water stress,1,1,"GEO,GBF",NA,2,1,1,0,1,1,NA,Ecosystems,Human Well-Being,State Of Ecosystems,Healthy Living Conditions
recreation and cultural ecosystem services provided,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Well-Being,NA,Recreation,NA
number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Genetic Resources,NA
number of countries with implementation of the system of environmental economic accounting,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA
indicator based on task force for naturerelated financial disclosures,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Assets,NA,State Of Economy,NA
food waste index,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,1,NA,Human Well-Being,Human Assets,Healthy Living Conditions,Coverage Of Basic Needs
material footprint per capita,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Assets,Direct Drivers,State Of Economy,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems
global environmental impacts of consumption,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Land Conversion,NA
ecological footprint,1,1,"GA,VA,GEO,GBF",1,4,1,3,2,1,1,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA
species status index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in national education policies,1,1,"SUA,VA,GBF,SDG",1,4,2,2,2,1,1,NA,Human Assets,NA,Specific Information On Human-Nature Relationship,NA
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in curricula,1,1,"SUA,VA,GBF,SDG",1,4,2,2,2,1,1,NA,Human Assets,NA,Specific Information On Human-Nature Relationship,NA
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in teacher education,1,1,"SUA,VA,GBF,SDG",1,4,2,2,2,1,1,NA,Human Assets,NA,Specific Information On Human-Nature Relationship,NA
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in student assessment,1,1,"SUA,VA,GBF,SDG",1,4,2,2,2,1,1,NA,Human Assets,NA,Information On Society And Socio-Economics,NA
"proportion of total adult population with secure tenure rights to land with legally recognized documentation, by sex and type of tenure",1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Human Well-Being,NA,Equity,NA
"proportion of total adult population with secure tenure rights to land who perceive their rights to land as secure, by sex and type of tenure",1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Human Well-Being,NA,Equity,NA
proportion of seats held by women in national parliaments,1,0,"GBF,SDG",NA,2,2,0,0,1,NA,NA,Human Well-Being,NA,Equity,NA
proportion of seats held by women in local governments,1,0,"GBF,SDG",NA,2,2,0,0,1,NA,NA,Human Well-Being,NA,Equity,NA
indicator on national implementation of the gender plan of action,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Well-Being,NA,Equity,NA
forest area as a percentage of total land area,1,1,"GA,SUA,GEO,GBF,SDG",1,5,2,3,2,1,1,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA
forest distribution,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
tree cover loss,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA
grassland and savannah extent,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
mountain green cover index,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA
peatland extent and condition,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA
"permafrost thickness, depth and extent",1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
continuous global mangrove forest area,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Configuration),NA
trends in mangrove forest fragmentation,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Change In Ecosystems,State Of Ecosystems (Configuration)
trends in mangrove extent,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Change In Ecosystems,State Of Ecosystems (Coverage)
live coral cover,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
hard coral cover and composition,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
global coral reef extent,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
global seagrass extent (seagrass cover and composition),1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
global saltmarsh extent,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
kelp canopy extent,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
macroalgal canopy cover and composition,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
cover of key benthic groups,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
fleshy algae cover,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
wetland extent trends index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Ecosystems,NA,Change In Ecosystems,NA
change in the extent of inland water ecosystems over time,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,Change In Ecosystems
forest fragmentation index,1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA
forest landscape integrity index,1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA
biomass of selected natural ecosystems,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
global vegetation health products,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
relative magnitude of fragmentation (rmf),1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA
biodiversity intactness index,1,1,"GA,VA,GEO,GBF",1,4,1,3,2,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
ocean health index,1,1,"GA,GEO,GBF",1,3,1,2,1,1,1,NA,Ecosystems,NA,State Of Ecosystems (Freshwater/Coastal),NA
extent of physical damage indicator to predominant seafloor habitats physical damage,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Land Conversion,NA
river fragmentation index,1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,State Of Ecosystems (Integrity),State Of Ecosystems (Freshwater/Coastal)
dendritic connectivity index,1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA
percentage of threatened species that are improving in status,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Species Conservation,Change In Biodiversity
number of threatened species by species group,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Species Conservation,NA
wild bird index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
mean species abundance (msa),1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA
changes in plankton biomass and abundance,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA
fish abundance and biomass,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
genetic scorecard for wild species,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Genetic Resources,NA
species richness,1,1,"GA,IAS,GBF",1,3,1,2,2,1,1,1,Biodiversity,NA,State Of Biodiversity,NA
local species richness (predicts),1,1,"GA,GBF",1,2,1,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
marine species richness,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
comprehensiveness of conservation of socioeconomically as well as culturally valuable species,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,Human Assets,Species Conservation,Information On Biodiversity
number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,1,1,"SUA,GBF",1,2,1,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA
proportion of local breeds classified as being at risk of extinction,1,1,"GA,SUA,GBF,SDG",1,4,2,2,2,1,1,NA,Biodiversity,NA,Species Conservation,NA
red list index (wild relatives of farmed and domesticated species),1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,Ecosystem Services,State Of Biodiversity,Nature Contribution
cms connectivity indicator,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
intact wilderness,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
loss of phylogenetic diversity,1,1,"GA,GBF",1,2,1,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA
proportion of populations maintained within species,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA
free flowing rivers,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Freshwater/Coastal),NA
levels of poverty in biodiversity depended communities,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Income,State Of Economy
number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA
red list index (pollinators),1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,Ecosystem Services,State Of Biodiversity,Nature Contribution
green status index (pollinators),1,0,GBF,NA,1,1,0,0,1,1,NA,Biodiversity,Ecosystem Services,State Of Biodiversity,Nature Contribution
air quality index,1,1,"GEO,GBF",NA,2,1,1,0,1,1,NA,Ecosystems,Human Well-Being,Abiotic Conditions,Healthy Living Conditions
air pollution emissions account,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Pollution,NA
zoonotic disease in wildlife,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,(Infectious) Diseases,NA
climatic impact index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Direct Drivers,NA,Climate Change,NA
ocean acidification,1,1,"GEO,GBF",NA,2,1,1,0,1,1,NA,Direct Drivers,NA,Pollution,NA
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),1,1,"SUA,GEO,GBF,SDG",1,4,2,2,1,1,1,NA,Ecosystems,Biodiversity,Change In Ecosystems,NA
eflow index,1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,State Of Ecosystems (Freshwater/Coastal),NA
change in the quality of inland water ecosystems over time,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,Change In Ecosystems
change in the quality of coastal water ecosystems over time,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Freshwater/Coastal),Change In Ecosystems
level of erosion,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,Direct Drivers,State Of Ecosystems,Natural Drivers
biofuel production,1,1,"GEO,GBF",NA,2,1,1,0,1,NA,1,Ecosystem Services,NA,Nature Contribution,NA
fish catch potential,1,1,"GA,GBF",1,2,1,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
population involved in hunting and gathering,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Assets,Ecosystem Services,Coverage Of Basic Needs,Nature Contribution
"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Human Assets,Human Well-Being,Coverage Of Basic Needs,Healthy Living Conditions
forestry production and trade (wood fuel),1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
trends in the legal trade of medicinal plants,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Assets,Ecosystem Services,Income,Nature Contribution
visitor management assessment,1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Well-Being,Knowledge Systems,Cultural Diversity,Information On Society And Socio-Economics
"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves",1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Well-Being,Knowledge Systems,Cultural Diversity,Ilk
linguistic diversity index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Human Well-Being,NA,Cultural Diversity,NA
trends of bilinguistic diversity and numbers of speakers of indigenous languages,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Well-Being,Knowledge Systems,Cultural Diversity,Ilk
"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",1,0,GBF,NA,1,1,0,0,1,1,NA,Governance,Human Well-Being,Legislation/Governance,Cultural Diversity
cultural vitality index,1,0,GBF,NA,1,1,0,0,1,1,NA,Human Well-Being,NA,Cultural Diversity,NA
unesco culture 2030 (multiple indicators),1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,National/International Cooperation,NA
processes and tools to monitor the implementation of a right to a healthy environment,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Well-Being,Governance,Healthy Living Conditions,Legislation/Governance
red list index (internationally traded species),1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,Ecosystem Services,State Of Biodiversity,Nature Contribution
number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Genetic Resources,NA
total number of internationally recognized certificates of compliance published in the abs clearing-house,1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
number of checkpoint communiques published in the abs clearing-house,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Legislation/Governance,NA
number of internationally recognized certificates of compliance for non-commercial purposes,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,National/International Cooperation,NA
"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Governance,NA,Nature-Based Funding,NA
finance mobilized for capacity-building,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Legislation/Governance,NA
"financial and technical assistance provided in dollars (including through south-south, northsouth and triangular cooperation)",1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Legislation/Governance,NA
"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Legislation/Governance,NA
number of scientists per population,1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector,1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA
nationally maintained research vessels,1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
proportion of total research budget allocated to research in the field of marine technology,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA
volume of official development assistance flows for scholarships by sector and type of study,1,0,"GBF,SDG",NA,2,2,0,0,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA
global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Information On Society And Socio-Economics,NA
"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Governance,NA,Nature-Based Funding,NA
number of countries using natural capital accounts in planning processes,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA
percentage of spatial plans utilizing information on key biodiversity areas,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
habitat patches located within marine protected areas or integrated coastal zone management (iczm),1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Marine),NA
other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA
number of countries using ocean accounts in planning processes,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA
proportion of transboundary basin area with an operational arrangement for water cooperation,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA
percent of total land area that is under cultivation,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA
