indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,usage_ipbes,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2,ipbes_assess
degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,Ecosystem Services,Nature-Based Legislation,Specific Mention Of Sustainable Use Of Species/Ecosystems,SUA
"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SUA
"proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Ecosystems,NA,Area Conservation,NA,SUA
coverage by protected areas of important sites for mountain biodiversity,1,1,"GA,SUA,SDG",1,3,1,2,2,1,1,NA,Ecosystems,NA,Area Conservation,NA,"GA,SUA"
proportion of traded wildlife that was poached or illicitly trafficked,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,SUA
proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,1,1,"SUA,IAS,GEO,SDG",1,4,1,3,2,1,1,NA,Governance,NA,Nature-Based Legislation,NA,"SUA,IAS"
number of countries that have established national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020 in their national biodiversity strategy and action plans and the progress reported towards these targets,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SUA
official development assistance on conservation and sustainable use of biodiversity,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SUA
revenue generated and finance mobilized from biodiversity-relevant economic instruments,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SUA
"total government revenue as a proportion of gross domestic product, by source",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Information On Society And Socio-Economics,NA,SUA
proportion of domestic budget funded by domestic taxes,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,State Of Economy,NA,SUA
"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,National/International Cooperation,NA,SUA
volume of remittances (in united states dollars) as a proportion of total gross domestic product,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Information On Society And Socio-Economics,NA,SUA
"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,National/International Cooperation,NA,SUA
proportion of individuals using the internet,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,SUA
"dollar value of financial and technical assistance (including through north-south, south‑south and triangular cooperation) committed to developing countries",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,National/International Cooperation,NA,SUA
worldwide weighted tariff-average,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,SUA
developing countries’ and least developed countries’ share of global exports,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,State Of Economy,NA,SUA
"weighted average tariffs faced by developing countries, least developed countries and small island developing states",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Legislation/Governance,NA,SUA
number of countries with mechanisms in place to enhance policy coherence of sustainable development,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SUA
extent of use of country-owned results frameworks and planning tools by providers of development cooperation,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Legislation/Governance,NA,SUA
number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,SUA
amount in united states dollars committed to public-private partnerships for infrastructure,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,SUA
statistical capacity indicator for sustainable development goal monitoring,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,SUA
number of countries that have national statistical legislation that complies with the fundamental principles of official statistics,1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Legislation/Governance,NA,SUA
"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",1,1,"SUA,SDG",1,2,1,1,1,1,NA,NA,Governance,NA,Legislation/Governance,NA,SUA
gross domestic product,NA,1,"GA,SUA,VA,IAS",1,4,0,4,4,1,1,NA,Human Assets,NA,State Of Economy,NA,"GA,SUA,VA,IAS"
globalization index,NA,1,GA,1,1,0,1,1,1,1,NA,Human Assets,NA,Information On Society And Socio-Economics,NA,GA
poverty gap,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Human Assets,Coverage Of Basic Needs,Income,GA
food security index,NA,1,GA,1,1,0,1,1,1,1,NA,Human Well-Being,Human Assets,Healthy Living Conditions,Coverage Of Basic Needs,GA
depth of the food deficit (kcal/capit a/day) (3- year average),NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Human Assets,Healthy Living Conditions,Coverage Of Basic Needs,GA
access to improved sanitation facilities,NA,1,GA,1,1,0,1,1,1,1,NA,Human Assets,NA,Coverage Of Basic Needs,NA,GA
domestic material consumption,NA,1,"GA,GEO",1,2,0,2,1,1,1,NA,Human Assets,NA,State Of Economy,NA,GA
per capita calorie intake,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Human Assets,Healthy Living Conditions,Coverage Of Basic Needs,GA
prevalence of obesity in the adult population (18 years and older),NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Human Well-Being,Coverage Of Basic Needs,Healthy Living Conditions,GA
energy use (kg of oil equivalent per capita),NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,GA
mobile cellular subscriptions,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,GA
fossil-fuel energy consumption (% of total),NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,GA
renewable electricity consumption (% of total electricity output),NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,GA
electric power consumption (kwh per capita),NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,GA
access to electricity,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Coverage Of Basic Needs,NA,GA
alternative and nuclear energy (% of total energy use),NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,Ecosystem Services,Infrastructure (Build-Up Area),Specific Mention Of Sustainable Use Of Species/Ecosystems,GA
protein intake per country per person,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,GA
"energy supply derived from cereals, roots and tubers",NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,GA
people per ouletlet mcdonals,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Infrastructure (Build-Up Area),NA,GA
population growth (annual %),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA,GA
population density,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,GA
child mortality rate,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Human Assets,Healthy Living Conditions,Information On Society And Socio-Economics,GA
urban population,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,GA
total international migrant stock,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Information On Society And Socio-Economics,NA,GA
refugee population,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,GA
migration net,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,Human Well-Being,Legislation/Governance,Cultural Diversity,GA
population in the largest city,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,GA
population in megacities,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,GA
agricultural land,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,Ecosystem Services,Land Conversion,Nature Contribution,GA
livestock indigenous animals,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,Specific Monetary Valuation Of Nature Contribution,GA
livestock density of cattle,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,Specific Monetary Valuation Of Nature Contribution,GA
livestock density of animals (chickens),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,Ecosystem Services,State Of Biodiversity,Specific Monetary Valuation Of Nature Contribution,GA
area of agricultural land under organic production,NA,1,GA,1,1,0,1,1,1,1,NA,Direct Drivers,Ecosystem Services,Land Conversion,Nature Contribution,GA
"international tourism, number of departures",NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Recreation,NA,GA
"international tourism, number of arrivals",NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Recreation,NA,GA
container port traffic (teu: 20 foot equivalent units),NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,GA
air passengers,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,Direct Drivers,Pollution,Invasive Alien Species,GA
air departures,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,GA
deaths from air pollution,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,NA,Healthy Living Conditions,NA,GA
ghg emissions,NA,1,"GA,GEO",1,2,0,2,1,1,NA,1,Direct Drivers,NA,Pollution,NA,GA
pesticide use,NA,1,GA,1,1,0,1,1,1,1,NA,Direct Drivers,NA,Pollution,NA,GA
fertilizers used,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA,GA
air pollution,NA,1,GA,1,1,0,1,1,1,1,NA,Direct Drivers,NA,Pollution,NA,GA
nitrogenen deposition trends,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA,GA
ghg emissions change,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA,GA
extraction ores,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
extraction all of biomass,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
extraction of ind. and const. minerals,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
extraction biomass food,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
extraction biomass forestry,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
extraction biomass feed,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
extraction biomass animals,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
extraction other biomass,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
extraction fossil-fuel,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GA
water withdrawal,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,Human Well-Being,Nature Contribution,Healthy Living Conditions,GA
renewable internal freshwater resource,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),Coverage Of Basic Needs,GA
agricultural water withdrawal,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
ramsar sites,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,Area Conservation,Species Conservation,GA
certified forest area,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,GA
united nations framework convention on climate change,NA,1,"GA,GEO",1,2,0,2,1,1,1,NA,Knowledge Systems,Direct Drivers,Information On Society And Socio-Economics,Climate Change,GA
convention of fishing and conservation of the living resources of the high seas,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,National/International Cooperation,NA,GA
montreal protocol,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,National/International Cooperation,NA,GA
convention on biological diversity,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,National/International Cooperation,NA,GA
convention on the conservation of antarctic marine living resources,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,National/International Cooperation,NA,GA
"credit to agriculture, forestry and fishing",NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,NA,Nature Detrimental Legislation,NA,GA
political stability and absence of violence/terrorism,NA,1,GA,1,1,0,1,1,1,NA,NA,Governance,Human Well-Being,Legislation/Governance,Wellness,GA
above-ground biomass,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
biodiversity habitat index (hotspots),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
coastal carbon-rich habitat,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
coastal protection habitats,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,Area Conservation,NA,GA
forest area,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
extent of intact forest landscapes,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA,GA
extent of marine wilderness,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems (Marine),NA,GA
extent of terrestrial wilderness,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
fraction of ocean not fished per year,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,Direct Drivers,State Of Ecosystems,Land Conversion,GA
land not cultivated or urban,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,Human Assets,State Of Ecosystems,Infrastructure (Build-Up Area),GA
land not cultivated or urban (hotspots),NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,Human Assets,State Of Ecosystems,Infrastructure (Build-Up Area),GA
land not cultivated or urban (indigenous lands),NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,Human Assets,State Of Ecosystems,Infrastructure (Build-Up Area),GA
leaf area index (lai),NA,1,"GA,IPCC",1,2,0,2,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
mangrove forest area,NA,1,"GA,VA",1,2,0,2,2,1,1,1,Ecosystems,NA,State Of Ecosystems (Coverage),NA,"GA,VA"
extent of suitable habitat,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
permanent surface water extent,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,Abiotic Conditions,NA,GA
remaining primary vegetation,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA,GA
remaining primary vegetation (hotspots),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA,GA
remaining primary vegetation (indigenous lands),NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,Knowledge Systems,State Of Ecosystems (Coverage),Ilk,GA
seagrass meadow area,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems (Freshwater/Coastal),NA,GA
soil organic carbon (correlative model),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA,GA
soil organic carbon (mechanistic models),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA,GA
tree cover,NA,1,GA,1,1,0,1,1,1,NA,1,Biodiversity,NA,State Of Biodiversity,NA,GA
vegetation biomass (mechanistic models),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
biological pump efficiency,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
biomass turnover rate,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,Change In Biodiversity,NA,GA
evapotranspiration (model ensemble),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA,GA
marine net primary production,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
net primary production remaining in ecosystems,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,Ecosystem Services,State Of Ecosystems,Nature Contribution,GA
oceanic carbon sequestration,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
terrestrial c sequestration (model ensemble),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
terrestrial net primary production (model ensemble),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
terrestrial net primary production (remote-sensing),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
biodiversity intactness index (hotspots),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
biodiversity intactness index (indigenous lands),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
local species richness (biotime),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
mean species abundance (msa) (hotspots),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
mean species abundance (msa) (indigenous lands),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
"biodiversity intactness index (tropical forest, hotspots)",NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
"biodiversity intactness index (tropical forest, indigenous lands)",NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
biodiversity intactness index (tropical forest),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
bird species per grid cell,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
cumulative introduced invasive aliens,NA,1,GA,1,1,0,1,1,1,1,NA,Direct Drivers,NA,Invasive Alien Species,NA,GA
forest-specialist bird species per grid cell,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
functional intactness (madingley) (madingley),NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA,GA
species richness per grid cell,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
global bird richness (csar),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
global forest-specialist bird richness (csar),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
global mammal and bird species remaining,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
red list index (forest specialists),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
red list index (internationally traded birds),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,Ecosystem Services,State Of Biodiversity,Nature Contribution,GA
extent of suitable habitat (mammals),NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
mammalian range size,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
megafaunal range size,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
living planet index (freshwater),NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Biodiversity,State Of Ecosystems (Freshwater/Coastal),GA
living planet index (marine),NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Biodiversity,NA,GA
living planet index (terrestrial),NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Biodiversity,NA,GA
predatory fish biomass,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
prey fish biomass,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
wild bird index (habitat specialists),NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
wild mammal biomass,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
functional richness (madingley),NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
mammalian body mass,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
marine trophic index (mti),NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems (Marine),NA,GA
extent of each ecoregion globally,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Area Conservation,NA,GA
landscape dominance of habitat,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
number of managed bee hives,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Species Conservation,NA,GA
abundance of managed and wild pollinators,NA,1,GA,1,1,0,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
pollinator diversity,NA,1,GA,1,1,0,1,1,1,1,NA,Direct Drivers,NA,Pollution,NA,GA
proportion pollinator dependent vegetables/fruit in food supply,NA,1,GA,1,1,0,1,1,1,NA,NA,Knowledge Systems,Ecosystem Services,Information On Biodiversity,Nature Contribution,GA
number of visitors to national parks in the eeuu,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,Human Well-Being,Nature Contribution,Recreation,GA
output from pollinator dependent crops,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
carbon stocks in ecosystems,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA,GA
prevented emissions from biofuel use,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
vegetation type and cover in areas prone to soil dust emission,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
leaf properties,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
vegetation type and cover in areas prone to soil dust movement,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
concentration of air pollutants in the air,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA,GA
retention and prevented emissions of air pollutants by ecosystems,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystem Services,NA,Nature Contribution,NA,GA
amelioration of health problems caused by air pollution resulted from ecosystem contributions to air quality,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Direct Drivers,Healthy Living Conditions,Pollution,GA
reduction in the number of deaths caused by air pollution reduction by ecosystems,NA,1,GA,1,1,0,1,1,1,NA,NA,Human Well-Being,Direct Drivers,Healthy Living Conditions,Pollution,GA
"premature deaths caused by pollution emissions by natural sources, biomass burning, firewood use and agriculture",NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA,GA
cost reduction with healthcare resulted from ecosystem contributions to air quality,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
cost reduction associated to prevented deaths caused by air pollution as consequence of ecosystems’ deposition of air pollutants,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,NA,Specific Monetary Valuation Of Nature Contribution,NA,GA
vegetation-atmosphere co2 exchange,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
below- and above-ground biomass stocks,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GA
biomass changes,NA,1,GA,1,1,0,1,1,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA,GA
remote sensed vegetation,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GA
mechanistic models that quantify and disentangle effects of vegetation on climate and hydrological cycle,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA,GA
atmospheric sounding,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA,GA
infiltrability,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA,GA
air temperature low-cost thermal imagery,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA,GA
soil organic carbon,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,NA,Abiotic Conditions,NA,GA
dust emissions,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Pollution,NA,GA
net greenhouse gases emissions,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,NA,Climate Change,NA,GA
air-sea and sediment-water fluxes of carbon and co2,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,Ecosystems,Climate Change,Abiotic Conditions,GA
air-sea fluxes of other greenhouse gases such as dimethyl sulfide,NA,1,GA,1,1,0,1,1,1,NA,NA,Direct Drivers,Ecosystems,Climate Change,Abiotic Conditions,GA
dissolved organic carbon,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystems,NA,Abiotic Conditions,NA,GA
co2 removal from atmosphere,NA,1,GA,1,1,0,1,1,1,NA,NA,Ecosystem Services,Direct Drivers,Nature Contribution,Climate Change,GA
net primary production,NA,1,GA,1,1,0,1,1,1,1,NA,Ecosystems,Ecosystem Services,State Of Ecosystems,Nature Contribution,GA
