indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,usage_ipbes,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2,meas
connectivity indicator,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Configuration),NA,GBF
number of protected areas that have completed a site-level assessment of governance and equity (sage),1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Area Conservation,NA,GBF
species protection index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,NA,Species Conservation,NA,GBF
number of plant and animal genetic resources secured in medium or long-term conservation facilities,1,1,"GA,GBF",1,2,1,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA,GBF
trends in effective and sustainable management of human-wildlife conflict and coexistence,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,GBF
green status of species index,1,0,GBF,NA,1,1,0,0,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
conservation status of species listed in the cites appendices has stabilized or improved,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Species Conservation,NA,GBF
sustainable use of wild species,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,GBF
rate of invasive species impact and rate of impact,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Invasive Alien Species,NA,GBF
rate of invasive alien species spread,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Invasive Alien Species,NA,GBF
number of invasive alien species introduction events,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Direct Drivers,NA,Invasive Alien Species,NA,GBF
fertilizer use,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Direct Drivers,NA,Pollution,NA,GBF
proportion of domestic and industrial wastewater flows safely treated,1,0,"GBF,SDG",NA,2,2,0,0,1,NA,NA,Human Assets,NA,Infrastructure (Build-Up Area),NA,"GBF,SDG"
floating plastic debris density,1,1,"GEO,GBF",NA,2,1,1,0,1,1,NA,Ecosystems,Direct Drivers,State Of Ecosystems (Integrity),Pollution,GBF
red list index (impacts of pollution),1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,Direct Drivers,State Of Biodiversity,Pollution,GBF
total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GBF
number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030 which include biodiversity,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Legislation,NA,GBF
national greenhouse inventories from land use and land use change,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Climate Change,NA,GBF
bioclimatic ecosystem resilience index (beri),1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,State Of Biodiversity,NA,GBF
"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Assets,Ecosystem Services,Infrastructure (Build-Up Area),Specific Mention Of Sustainable Use Of Species/Ecosystems,GBF
area of forest under sustainable management: total forest management certification by forest stewardship council and programme for the endorsement of forest certification,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Ecosystem Services,Governance,Specific Mention Of Sustainable Use Of Species/Ecosystems,Nature-Based Legislation,GBF
"average income of small-scale food producers, by sex and indigenous status",1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Human Assets,NA,Income,NA,"GBF,SDG"
"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Direct Drivers,NA,Natural Drivers,NA,"GBF,SDG"
"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)",1,0,"GBF,SDG",NA,2,2,0,0,1,NA,NA,Human Well-Being,Direct Drivers,Healthy Living Conditions,Pollution,"GBF,SDG"
annual mean levels of fine particulate matter in cities,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Direct Drivers,Ecosystems,Pollution,State Of Ecosystems (Integrity),"GBF,SDG"
proportion of bodies of water with good ambient water quality,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Ecosystems,Human Well-Being,State Of Ecosystems,Healthy Living Conditions,"GBF,SDG"
level of water stress,1,1,"GEO,GBF",NA,2,1,1,0,1,1,NA,Ecosystems,Human Well-Being,State Of Ecosystems,Healthy Living Conditions,GBF
recreation and cultural ecosystem services provided,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Well-Being,NA,Recreation,NA,GBF
number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Genetic Resources,NA,GBF
number of countries with implementation of the system of environmental economic accounting,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Nature-Based Funding,NA,GBF
indicator based on task force for naturerelated financial disclosures,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Assets,NA,State Of Economy,NA,GBF
food waste index,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,1,NA,Human Well-Being,Human Assets,Healthy Living Conditions,Coverage Of Basic Needs,"GBF,SDG"
material footprint per capita,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Assets,Direct Drivers,State Of Economy,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,GBF
global environmental impacts of consumption,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Land Conversion,NA,GBF
ecological footprint,1,1,"GA,VA,GEO,GBF",1,4,1,3,2,1,1,NA,Direct Drivers,NA,Specific Mention Of Over-Exploitation And Unsustainable Use Of Species/Ecosystems,NA,GBF
species status index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in national education policies,1,1,"SUA,VA,GBF,SDG",1,4,2,2,2,1,1,NA,Human Assets,NA,Specific Information On Human-Nature Relationship,NA,"GBF,SDG"
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in curricula,1,1,"SUA,VA,GBF,SDG",1,4,2,2,2,1,1,NA,Human Assets,NA,Specific Information On Human-Nature Relationship,NA,"GBF,SDG"
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in teacher education,1,1,"SUA,VA,GBF,SDG",1,4,2,2,2,1,1,NA,Human Assets,NA,Specific Information On Human-Nature Relationship,NA,"GBF,SDG"
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in student assessment,1,1,"SUA,VA,GBF,SDG",1,4,2,2,2,1,1,NA,Human Assets,NA,Information On Society And Socio-Economics,NA,"GBF,SDG"
"proportion of total adult population with secure tenure rights to land with legally recognized documentation, by sex and type of tenure",1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Human Well-Being,NA,Equity,NA,"GBF,SDG"
"proportion of total adult population with secure tenure rights to land who perceive their rights to land as secure, by sex and type of tenure",1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Human Well-Being,NA,Equity,NA,"GBF,SDG"
proportion of seats held by women in national parliaments,1,0,"GBF,SDG",NA,2,2,0,0,1,NA,NA,Human Well-Being,NA,Equity,NA,"GBF,SDG"
proportion of seats held by women in local governments,1,0,"GBF,SDG",NA,2,2,0,0,1,NA,NA,Human Well-Being,NA,Equity,NA,"GBF,SDG"
indicator on national implementation of the gender plan of action,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Well-Being,NA,Equity,NA,GBF
forest area as a percentage of total land area,1,1,"GA,SUA,GEO,GBF,SDG",1,5,2,3,2,1,1,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA,"GBF,SDG"
forest distribution,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GBF
tree cover loss,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA,GBF
grassland and savannah extent,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GBF
mountain green cover index,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,1,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA,"GBF,SDG"
peatland extent and condition,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Coverage),NA,GBF
"permafrost thickness, depth and extent",1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GBF
continuous global mangrove forest area,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Configuration),NA,GBF
trends in mangrove forest fragmentation,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Change In Ecosystems,State Of Ecosystems (Configuration),GBF
trends in mangrove extent,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,Change In Ecosystems,State Of Ecosystems (Coverage),GBF
live coral cover,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
hard coral cover and composition,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
global coral reef extent,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
global seagrass extent (seagrass cover and composition),1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
global saltmarsh extent,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GBF
kelp canopy extent,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
macroalgal canopy cover and composition,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
cover of key benthic groups,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
fleshy algae cover,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
wetland extent trends index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Ecosystems,NA,Change In Ecosystems,NA,GBF
change in the extent of inland water ecosystems over time,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,Change In Ecosystems,GBF
forest fragmentation index,1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GBF
forest landscape integrity index,1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GBF
biomass of selected natural ecosystems,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GBF
global vegetation health products,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GBF
relative magnitude of fragmentation (rmf),1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Integrity),NA,GBF
biodiversity intactness index,1,1,"GA,VA,GEO,GBF",1,4,1,3,2,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
ocean health index,1,1,"GA,GEO,GBF",1,3,1,2,1,1,1,NA,Ecosystems,NA,State Of Ecosystems (Freshwater/Coastal),NA,GBF
extent of physical damage indicator to predominant seafloor habitats physical damage,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Land Conversion,NA,GBF
river fragmentation index,1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,State Of Ecosystems (Integrity),State Of Ecosystems (Freshwater/Coastal),GBF
dendritic connectivity index,1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,State Of Ecosystems,NA,GBF
percentage of threatened species that are improving in status,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Species Conservation,Change In Biodiversity,GBF
number of threatened species by species group,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Species Conservation,NA,GBF
wild bird index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
mean species abundance (msa),1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
changes in plankton biomass and abundance,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Change In Biodiversity,NA,GBF
fish abundance and biomass,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
genetic scorecard for wild species,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Genetic Resources,NA,GBF
species richness,1,1,"GA,IAS,GBF",1,3,1,2,2,1,1,1,Biodiversity,NA,State Of Biodiversity,NA,GBF
local species richness (predicts),1,1,"GA,GBF",1,2,1,1,1,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
marine species richness,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
comprehensiveness of conservation of socioeconomically as well as culturally valuable species,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,Human Assets,Species Conservation,Information On Biodiversity,GBF
number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,1,1,"SUA,GBF",1,2,1,1,1,1,NA,NA,Biodiversity,NA,Genetic Resources,NA,GBF
proportion of local breeds classified as being at risk of extinction,1,1,"GA,SUA,GBF,SDG",1,4,2,2,2,1,1,NA,Biodiversity,NA,Species Conservation,NA,"GBF,SDG"
red list index (wild relatives of farmed and domesticated species),1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,Ecosystem Services,State Of Biodiversity,Nature Contribution,GBF
cms connectivity indicator,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
intact wilderness,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GBF
loss of phylogenetic diversity,1,1,"GA,GBF",1,2,1,1,1,1,NA,NA,Biodiversity,NA,Genetic Diversity,NA,GBF
proportion of populations maintained within species,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,State Of Biodiversity,NA,GBF
free flowing rivers,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Freshwater/Coastal),NA,GBF
levels of poverty in biodiversity depended communities,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Assets,NA,Income,State Of Economy,GBF
number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystem Services,NA,Specific Mention Of Sustainable Use Of Species/Ecosystems,NA,GBF
red list index (pollinators),1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,Ecosystem Services,State Of Biodiversity,Nature Contribution,GBF
green status index (pollinators),1,0,GBF,NA,1,1,0,0,1,1,NA,Biodiversity,Ecosystem Services,State Of Biodiversity,Nature Contribution,GBF
air quality index,1,1,"GEO,GBF",NA,2,1,1,0,1,1,NA,Ecosystems,Human Well-Being,Abiotic Conditions,Healthy Living Conditions,GBF
air pollution emissions account,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,Pollution,NA,GBF
zoonotic disease in wildlife,1,0,GBF,NA,1,1,0,0,1,NA,NA,Direct Drivers,NA,(Infectious) Diseases,NA,GBF
climatic impact index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Direct Drivers,NA,Climate Change,NA,GBF
ocean acidification,1,1,"GEO,GBF",NA,2,1,1,0,1,1,NA,Direct Drivers,NA,Pollution,NA,GBF
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),1,1,"SUA,GEO,GBF,SDG",1,4,2,2,1,1,1,NA,Ecosystems,Biodiversity,Change In Ecosystems,NA,"GBF,SDG"
eflow index,1,0,GBF,NA,1,1,0,0,1,1,NA,Ecosystems,NA,State Of Ecosystems (Freshwater/Coastal),NA,GBF
change in the quality of inland water ecosystems over time,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,Change In Ecosystems,GBF
change in the quality of coastal water ecosystems over time,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems (Freshwater/Coastal),Change In Ecosystems,GBF
level of erosion,1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,Direct Drivers,State Of Ecosystems,Natural Drivers,GBF
biofuel production,1,1,"GEO,GBF",NA,2,1,1,0,1,NA,1,Ecosystem Services,NA,Nature Contribution,NA,GBF
fish catch potential,1,1,"GA,GBF",1,2,1,1,1,1,NA,NA,Ecosystem Services,NA,Nature Contribution,NA,GBF
population involved in hunting and gathering,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Assets,Ecosystem Services,Coverage Of Basic Needs,Nature Contribution,GBF
"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Human Assets,Human Well-Being,Coverage Of Basic Needs,Healthy Living Conditions,"GBF,SDG"
forestry production and trade (wood fuel),1,0,GBF,NA,1,1,0,0,1,NA,NA,Ecosystems,NA,State Of Ecosystems,NA,GBF
trends in the legal trade of medicinal plants,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Assets,Ecosystem Services,Income,Nature Contribution,GBF
visitor management assessment,1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,GBF
number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Well-Being,Knowledge Systems,Cultural Diversity,Information On Society And Socio-Economics,GBF
"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves",1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Well-Being,Knowledge Systems,Cultural Diversity,Ilk,GBF
linguistic diversity index,1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Human Well-Being,NA,Cultural Diversity,NA,GBF
trends of bilinguistic diversity and numbers of speakers of indigenous languages,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Well-Being,Knowledge Systems,Cultural Diversity,Ilk,GBF
"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",1,0,GBF,NA,1,1,0,0,1,1,NA,Governance,Human Well-Being,Legislation/Governance,Cultural Diversity,GBF
cultural vitality index,1,0,GBF,NA,1,1,0,0,1,1,NA,Human Well-Being,NA,Cultural Diversity,NA,GBF
unesco culture 2030 (multiple indicators),1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,National/International Cooperation,NA,GBF
processes and tools to monitor the implementation of a right to a healthy environment,1,0,GBF,NA,1,1,0,0,1,NA,NA,Human Well-Being,Governance,Healthy Living Conditions,Legislation/Governance,GBF
red list index (internationally traded species),1,1,"GA,GBF",1,2,1,1,1,1,1,NA,Biodiversity,Ecosystem Services,State Of Biodiversity,Nature Contribution,GBF
number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,1,0,GBF,NA,1,1,0,0,1,NA,NA,Biodiversity,NA,Genetic Resources,NA,GBF
total number of internationally recognized certificates of compliance published in the abs clearing-house,1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,GBF
number of checkpoint communiques published in the abs clearing-house,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Legislation/Governance,NA,GBF
number of internationally recognized certificates of compliance for non-commercial purposes,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,National/International Cooperation,NA,GBF
"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,NA,Governance,NA,Nature-Based Funding,NA,"GBF,SDG"
finance mobilized for capacity-building,1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Legislation/Governance,NA,GBF
"financial and technical assistance provided in dollars (including through south-south, northsouth and triangular cooperation)",1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Legislation/Governance,NA,GBF
"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",1,0,GBF,NA,1,1,0,0,1,NA,NA,Governance,NA,Legislation/Governance,NA,GBF
number of scientists per population,1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,GBF
joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector,1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Biodiversity,NA,GBF
nationally maintained research vessels,1,0,GBF,NA,1,1,0,0,1,NA,NA,Knowledge Systems,NA,Information On Society And Socio-Economics,NA,GBF
