indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd
"hepatitis b incidence per 100,000 population",NA,1,NA,NA,NA,NA,NA
number of people requiring interventions against neglected tropical diseases,NA,1,NA,NA,NA,NA,NA
"mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",NA,1,NA,NA,NA,NA,NA
suicide mortality rate,NA,1,NA,NA,NA,NA,NA
"coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",NA,1,NA,NA,NA,NA,NA
alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol,NA,1,NA,NA,NA,NA,NA
death rate due to road traffic injuries,NA,1,NA,NA,NA,NA,NA
proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,NA,1,NA,NA,NA,NA,NA
"adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",NA,1,NA,NA,NA,NA,NA
coverage of essential health services,NA,1,NA,NA,NA,NA,NA
proportion of population with large household expenditures on health as a share of total household expenditure or income,NA,1,NA,NA,NA,NA,NA
mortality rate attributed to unintentional poisoning,NA,1,NA,NA,NA,NA,NA
age-standardized prevalence of current tobacco use among persons aged 15 years and older,NA,1,NA,NA,NA,NA,NA
proportion of the target population covered by all vaccines included in their national programme,NA,1,NA,NA,NA,NA,NA
total net official development assistance to medical research and basic health sectors,NA,1,NA,NA,NA,NA,NA
proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,NA,1,NA,NA,NA,NA,NA
health worker density and distribution,NA,1,NA,NA,NA,NA,NA
international health regulations (ihr) capacity and health emergency preparedness,NA,1,NA,NA,NA,NA,NA
percentage of bloodstream infections due to selected antimicrobial-resistant organisms,NA,1,NA,NA,NA,NA,NA
"proportion of children and young people in grades 2/3 achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",NA,1,NA,NA,NA,NA,NA
"proportion of children and young people at the end of primary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",NA,1,NA,NA,NA,NA,NA
"proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",NA,1,NA,NA,NA,NA,NA
"completion rate (primary education, lower secondary education, upper secondary education)",NA,1,NA,NA,NA,NA,NA
"proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",NA,1,NA,NA,NA,NA,NA
"participation rate in organized learning (one year before the official primary entry age), by sex",NA,1,NA,NA,NA,NA,NA
"participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",NA,1,NA,NA,NA,NA,NA
"proportion of youth and adults with information and communications technology (ict) skills, by type of skill",NA,1,NA,NA,NA,NA,NA
"parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",NA,1,NA,NA,NA,NA,NA
"proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy, by sex",NA,1,NA,NA,NA,NA,NA
"proportion of population in a given age group achieving at least a fixed level of proficiency in functional numeracy skills, by sex",NA,1,NA,NA,NA,NA,NA
"proportion of schools offering basic services, by type of service",NA,1,NA,NA,NA,NA,NA
"proportion of teachers with the minimum required qualifications, by education level",NA,1,NA,NA,NA,NA,NA
"whether or not legal frameworks are in place to promote, enforce and monitor equality and non‑discrimination on the basis of sex",NA,1,NA,NA,NA,NA,NA
"proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",NA,1,NA,NA,NA,NA,NA
"proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",NA,1,NA,NA,NA,NA,NA
proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,NA,1,NA,NA,NA,NA,NA
"proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",NA,1,NA,NA,NA,NA,NA
"proportion of time spent on unpaid domestic and care work, by sex, age and location",NA,1,NA,NA,NA,NA,NA
proportion of women in managerial positions,NA,1,NA,NA,NA,NA,NA
"proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",NA,1,NA,NA,NA,NA,NA
"number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education",NA,1,NA,NA,NA,NA,NA
"proportion of individuals who own a mobile telephone, by sex",NA,1,NA,NA,NA,NA,NA
proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,NA,1,NA,NA,NA,NA,NA
proportion of population using safely managed sanitation services,NA,1,NA,NA,NA,NA,NA
proportion of population using a hand-washing facility with soap and water,NA,1,NA,NA,NA,NA,NA
degree of integrated water resources management,NA,1,NA,NA,NA,NA,NA
amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,NA,1,NA,NA,NA,NA,NA
proportion of population with access to electricity,NA,1,NA,NA,NA,NA,NA
proportion of population with primary reliance on clean fuels and technology,NA,1,NA,NA,NA,NA,NA
renewable energy share in the total final energy consumption,NA,1,NA,NA,NA,NA,NA
energy intensity measured in terms of primary energy and gross domestic product,NA,1,NA,NA,NA,NA,NA
"international financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",NA,1,NA,NA,NA,NA,NA
installed renewable energy-generating capacity in developing countries (in watts per capita),NA,1,NA,NA,NA,NA,NA
annual growth rate of real gross domestic product,NA,1,NA,NA,NA,NA,NA
annual growth rate of real gross domestic product per employed person,NA,1,NA,NA,NA,NA,NA
"proportion of informal employment in total employment, by sector and sex",NA,1,NA,NA,NA,NA,NA
"material footprint, material footprint per capita, and material footprint per gross domestic product",NA,1,NA,NA,NA,NA,NA
"domestic material consumption, domestic material consumption, and domestic material consumption per gross domestic product",NA,1,NA,NA,NA,NA,NA
"average hourly earnings of employees, by sex, age, occupation and persons with disabilities",NA,1,NA,NA,NA,NA,NA
"unemployment rate, by sex, age and persons with disabilities",NA,1,NA,NA,NA,NA,NA
"proportion of youth (aged 15-24 years) not in education, employment or training",NA,1,NA,NA,NA,NA,NA
"proportion and number of children aged 5-17 years engaged in child labour, by sex and age",NA,1,NA,NA,NA,NA,NA
"fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status",NA,1,NA,NA,NA,NA,NA
"level of national compliance with labour rights (freedom of association and collective bargaining) based on international labour organization (ilo) textual sources and national legislation, by sex and migrant status",NA,1,NA,NA,NA,NA,NA
tourism direct gross domestic product as a proportion of total gross domestic product and in growth rate,NA,1,NA,NA,NA,NA,NA
"number of commercial bank branches per 100,000 adults",NA,1,NA,NA,NA,NA,NA
"number of automated teller machines (atms) per 100,000 adults",NA,1,NA,NA,NA,NA,NA
proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,NA,1,NA,NA,NA,NA,NA
aid for trade commitments and disbursements,NA,1,NA,NA,NA,NA,NA
"existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",NA,1,NA,NA,NA,NA,NA
proportion of the rural population who live within 2 km of an all-season road,NA,1,NA,NA,NA,NA,NA
"passenger and freight volumes, by mode of transport",NA,1,NA,NA,NA,NA,NA
manufacturing value added as a proportion of gross domestic product and per capita,NA,1,NA,NA,NA,NA,NA
manufacturing employment as a proportion of total employment,NA,1,NA,NA,NA,NA,NA
proportion of small-scale industries in total industry value added,NA,1,NA,NA,NA,NA,NA
proportion of small-scale industries with a loan or line of credit,NA,1,NA,NA,NA,NA,NA
research and development expenditure as a proportion of gross domestic product,NA,1,NA,NA,NA,NA,NA
researchers (in full-time equivalent) per million inhabitants,NA,1,NA,NA,NA,NA,NA
total official international support (official development assistance plus other official flows) to infrastructure,NA,1,NA,NA,NA,NA,NA
proportion of medium and high-tech industry value added in total value added,NA,1,NA,NA,NA,NA,NA
"proportion of population covered by a mobile network, by technology",NA,1,NA,NA,NA,NA,NA
growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,NA,1,NA,NA,NA,NA,NA
"proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",NA,1,NA,NA,NA,NA,NA
proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,NA,1,NA,NA,NA,NA,NA
labour share of gross domestic product,NA,1,NA,NA,NA,NA,NA
redistributive impact of fiscal policy,NA,1,NA,NA,NA,NA,NA
financial soundness indicators,NA,1,NA,NA,NA,NA,NA
proportion of members and voting rights of developing countries in international organizations,NA,1,NA,NA,NA,NA,NA
recruitment cost borne by employee as a proportion of monthly income earned in country of destination,NA,1,NA,NA,NA,NA,NA
"number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",NA,1,NA,NA,NA,NA,NA
number of people who died or disappeared in the process of migration towards an international destination,NA,1,NA,NA,NA,NA,NA
"proportion of the population who are refugees, by country of origin",NA,1,NA,NA,NA,NA,NA
proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,NA,1,NA,NA,NA,NA,NA
"total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",NA,1,NA,NA,NA,NA,NA
remittance costs as a proportion of the amount remitted,NA,1,NA,NA,NA,NA,NA
"proportion of urban population living in slums, informal settlements or inadequate housing",NA,1,NA,NA,NA,NA,NA
"proportion of population that has convenient access to public transport, by sex, age and persons with disabilities",NA,1,NA,NA,NA,NA,NA
ratio of land consumption rate to population growth rate,NA,1,NA,NA,NA,NA,NA
proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically,NA,1,NA,NA,NA,NA,NA
"total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",NA,1,NA,NA,NA,NA,NA
damage to critical infrastructure,NA,1,NA,NA,NA,NA,NA
"number of disruptions to basic services, attributed to disasters",NA,1,NA,NA,NA,NA,NA
"proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated, by cities",NA,1,NA,NA,NA,NA,NA
"average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",NA,1,NA,NA,NA,NA,NA
"proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months",NA,1,NA,NA,NA,NA,NA
number of countries that have national urban policies or regional development plans that respond to population dynamics,NA,1,NA,NA,NA,NA,NA
number of countries that have national urban policies or regional development plans that ensure balanced territorial development,NA,1,NA,NA,NA,NA,NA
number of countries that have national urban policies or regional development plans that increase local fiscal space,NA,1,NA,NA,NA,NA,NA
"number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production",NA,1,NA,NA,NA,NA,NA
food loss index,NA,1,NA,NA,NA,NA,NA
"number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",NA,1,NA,NA,NA,NA,NA
hazardous waste generated per capita,NA,1,NA,NA,NA,NA,NA
"proportion of hazardous waste treated, by type of treatment",NA,1,NA,NA,NA,NA,NA
"national recycling rate, tons of material recycled",NA,1,NA,NA,NA,NA,NA
number of countries implementing sustainable public procurement policies and action plans,NA,1,NA,NA,NA,NA,NA
implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,NA,1,NA,NA,NA,NA,NA
"number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",NA,1,NA,NA,NA,NA,NA
total greenhouse gas emissions per year,NA,1,NA,NA,NA,NA,NA
amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,NA,1,NA,NA,NA,NA,NA
number of countries using ecosystem-based approaches to managing marine areas,NA,1,NA,NA,NA,NA,NA
average marine acidity (ph) measured at agreed suite of representative sampling stations,NA,1,NA,NA,NA,NA,NA
coverage of protected areas in relation to marine areas,NA,1,NA,NA,NA,NA,NA
"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries",NA,1,NA,NA,NA,NA,NA
degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,NA,1,NA,NA,NA,NA,NA
"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources",NA,1,NA,NA,NA,NA,NA
"proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",NA,1,NA,NA,NA,NA,NA
coverage by protected areas of important sites for mountain biodiversity,NA,1,NA,NA,NA,NA,NA
proportion of traded wildlife that was poached or illicitly trafficked,NA,1,NA,NA,NA,NA,NA
proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,NA,1,NA,NA,NA,NA,NA
number of countries that have established national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020 in their national biodiversity strategy and action plans and the progress reported towards these targets,NA,1,NA,NA,NA,NA,NA
official development assistance on conservation and sustainable use of biodiversity,NA,1,NA,NA,NA,NA,NA
revenue generated and finance mobilized from biodiversity-relevant economic instruments,NA,1,NA,NA,NA,NA,NA
"number of victims of intentional homicide per 100,000 population, by sex and age",NA,1,NA,NA,NA,NA,NA
"conflict-related deaths per 100,000 population, by sex, age and cause",NA,1,NA,NA,NA,NA,NA
proportion of population subjected to physical violence in the previous 12 months,NA,1,NA,NA,NA,NA,NA
proportion of population subjected to psychological violence in the previous 12 months,NA,1,NA,NA,NA,NA,NA
proportion of population subjected to sexual violence in the previous 12 months,NA,1,NA,NA,NA,NA,NA
proportion of population that feel safe walking alone around the area they live after dark,NA,1,NA,NA,NA,NA,NA
proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,NA,1,NA,NA,NA,NA,NA
"number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",NA,1,NA,NA,NA,NA,NA
proportion of young women and men aged 18-29 years who experienced sexual violence by age 18,NA,1,NA,NA,NA,NA,NA
proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,NA,1,NA,NA,NA,NA,NA
unsentenced detainees as a proportion of overall prison population,NA,1,NA,NA,NA,NA,NA
"proportion of the population who have experienced a dispute in the past two years and who accessed a formal or informal dispute resolution mechanism, by type of mechanism",NA,1,NA,NA,NA,NA,NA
total value of inward and outward illicit financial flows (in current united states dollars),NA,1,NA,NA,NA,NA,NA
"proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments",NA,1,NA,NA,NA,NA,NA
"proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months",NA,1,NA,NA,NA,NA,NA
"proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",NA,1,NA,NA,NA,NA,NA
"primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)",NA,1,NA,NA,NA,NA,NA
proportion of population satisfied with their last experience of public services,NA,1,NA,NA,NA,NA,NA
"proportion of children under 5 years of age whose births have been registered with a civil authority, by age",NA,1,NA,NA,NA,NA,NA
"number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",NA,1,NA,NA,NA,NA,NA
"number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",NA,1,NA,NA,NA,NA,NA
existence of independent national human rights institutions in compliance with the paris principles,NA,1,NA,NA,NA,NA,NA
"total government revenue as a proportion of gross domestic product, by source",NA,1,NA,NA,NA,NA,NA
proportion of domestic budget funded by domestic taxes,NA,1,NA,NA,NA,NA,NA
"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)",NA,1,NA,NA,NA,NA,NA
additional financial resources mobilized for developing countries from multiple sources,NA,1,NA,NA,NA,NA,NA
volume of remittances (in united states dollars) as a proportion of total gross domestic product,NA,1,NA,NA,NA,NA,NA
debt service as a proportion of exports of goods and services,NA,1,NA,NA,NA,NA,NA
"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",NA,1,NA,NA,NA,NA,NA
"fixed internet broadband subscriptions per 100 inhabitants, by speed6",NA,1,NA,NA,NA,NA,NA
proportion of individuals using the internet,NA,1,NA,NA,NA,NA,NA
"dollar value of financial and technical assistance (including through north-south, south‑south and triangular cooperation) committed to developing countries",NA,1,NA,NA,NA,NA,NA
worldwide weighted tariff-average,NA,1,NA,NA,NA,NA,NA
developing countries’ and least developed countries’ share of global exports,NA,1,NA,NA,NA,NA,NA
"weighted average tariffs faced by developing countries, least developed countries and small island developing states",NA,1,NA,NA,NA,NA,NA
macroeconomic dashboard,NA,1,NA,NA,NA,NA,NA
number of countries with mechanisms in place to enhance policy coherence of sustainable development,NA,1,NA,NA,NA,NA,NA
extent of use of country-owned results frameworks and planning tools by providers of development cooperation,NA,1,NA,NA,NA,NA,NA
number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,NA,1,NA,NA,NA,NA,NA
amount in united states dollars committed to public-private partnerships for infrastructure,NA,1,NA,NA,NA,NA,NA
statistical capacity indicator for sustainable development goal monitoring,NA,1,NA,NA,NA,NA,NA
number of countries that have national statistical legislation that complies with the fundamental principles of official statistics,NA,1,NA,NA,NA,NA,NA
"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",NA,1,NA,NA,NA,NA,NA
proportion of countries that have conducted at least one population and housing census in the last 10 years,NA,1,NA,NA,NA,NA,NA
proportion of countries that have achieved 100 per cent birth registration and 80 per cent death registration,NA,1,NA,NA,NA,NA,NA
the number of parties that are in category 1 under the national legislation project,NA,NA,1,NA,NA,NA,NA
the number of parties that have designated management authorities and scientific authorities,NA,NA,1,NA,NA,NA,NA
the number of parties subject to cites recommendations on trade,NA,NA,1,NA,NA,NA,NA
the number of parties that have adopted standard transparent for timely procedures the issuance of permits in accordance with article vi of the convention,NA,NA,1,NA,NA,NA,NA
the number of parties making use of the simplified procedures provided for in resolution conf.12.3 (rev.cop16),NA,NA,1,NA,NA,NA,NA
the number of parties that have implemented relevant reporting under resolutions and decisions of the conference of the parties and/or standing committee recommendations,NA,NA,1,NA,NA,NA,NA
the number and proportion of species that have been found to meet the criteria contained in resolution conf.9.24 or its successors. this includes both the periodic review and amendment proposals,NA,NA,1,NA,NA,NA,NA
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the population status of appendix-ii species",NA,NA,1,NA,NA,NA,NA
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the trends and impact of trade upon appendix-ii species",NA,NA,1,NA,NA,NA,NA
"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the status of and trend in naturally-occurring appendix i species and the impact of any recovery plans",NA,NA,1,NA,NA,NA,NA
the number of parties that have adopted standard procedures for making non detriment findings,NA,NA,1,NA,NA,NA,NA
the number and proportion of annual export quotas based on population surveys,NA,NA,1,NA,NA,NA,NA
the number of appendix ii species for which trade is determined to be non detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,NA,NA,1,NA,NA,NA,NA
the number of bilateral and multilateral agreements that specifically provide for co-management of shared cites listed species by range states,NA,NA,1,NA,NA,NA,NA
"the number of cooperative management plans, including recovery plans, in place for shared populations of cites listed species",NA,NA,1,NA,NA,NA,NA
"the number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared, cites listed, species",NA,NA,1,NA,NA,NA,NA
"the number of parties that have, or are covered by, or engaged with an international enforcement strategy and/or action plans; formal international co-operation, such as an international enforcement network; a national enforcement strategy and/or action plan; and formal national inter-agency co-operation, such as a national inter-agency enforcement committee",NA,NA,1,NA,NA,NA,NA
"the number of parties with a process or mechanism for reviewing their enforcement strategies, and the activities to implement their strategies",NA,NA,1,NA,NA,NA,NA
"the number of parties that have criminal (penal) law and procedures and forensic capacity in place, and that use specialized investigation techniques, for investigating, prosecuting, and penalizing cites offences",NA,NA,1,NA,NA,NA,NA
the number of parties using risk assessment and intelligence to combat illegal trade in cites-listed species,NA,NA,1,NA,NA,NA,NA
"the number of administrative measures, criminal prosecutions and other court actions for cites-related offences",NA,NA,1,NA,NA,NA,NA
"the number of parties with national and regional training programmes and information resources in place to implement cites including the making of non-detriment findings, issuance of permits and enforcement",NA,NA,1,NA,NA,NA,NA
the number of parties meeting their obligations with regard to their assessed contributions to the trust fund,NA,NA,1,NA,NA,NA,NA
the percentage of the work programme agreed by the conference of the parties that is fully funded,NA,NA,1,NA,NA,NA,NA
"the number of parties with dedicated staff and funding for management authorities, scientific authorities and wildlife trade enforcement agencies",NA,NA,1,NA,NA,NA,NA
"the number of parties that have undertaken one or more of the following activities in the past two years increased the budget for activities; hired more staff; developed implementation tools; and purchased technical equipment for implementation, monitoring or enforcement",NA,NA,1,NA,NA,NA,NA
the number of parties raising funds for cites implementation through user fees or other mechanisms,NA,NA,1,NA,NA,NA,NA
the number of parties using incentive measures as part of their implementation of the convention,NA,NA,1,NA,NA,NA,NA
the number of capacity building activities mandated by resolutions and decisions that are fully funded,NA,NA,1,NA,NA,NA,NA
the number of parties funded by international financial mechanisms and other related institutions to develop activities that include cites-related conservation and sustainable development elements,NA,NA,1,NA,NA,NA,NA
the number of countries and institutions that have provided additional funding from cites authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the convention,NA,NA,1,NA,NA,NA,NA
the number of parties that have been involved in cites awareness raising activities to bring about better awareness by the wider public and relevant user groups of the convention requirements,NA,NA,1,NA,NA,NA,NA
the number of visits to the cites website,NA,NA,1,NA,NA,NA,NA
the number of parties with web pages on cites and its requirements,NA,NA,1,NA,NA,NA,NA
"the number of parties which report that they have achieved synergies in their implementation of cites, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements",NA,NA,1,NA,NA,NA,NA
"the number of biodiversity conservation or sustainable use projects, trade and development goals, or scientific and technical programmes that integrate cites requirements",NA,NA,1,NA,NA,NA,NA
the number of parties cooperating and/or collaborating with intergovernmental and non-governmental organizations to participate in and/or fund cites workshops and other training and capacity-building activities,NA,NA,1,NA,NA,NA,NA
the conservation status of species listed on the cites appendices has stabilized or improved,NA,NA,1,NA,NA,NA,NA
the number of parties incorporating cites into their national biodiversity strategy and action plan (nbsap),NA,NA,1,NA,NA,NA,NA
the number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade,NA,NA,1,NA,NA,NA,NA
the number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade,NA,NA,1,NA,NA,NA,NA
trends in awareness and attitudes to migratory species,NA,NA,NA,1,NA,NA,NA
trends in integration of migratory species values in national and sectoral policies,NA,NA,NA,1,NA,NA,NA
status of migratory species in trade,NA,NA,NA,1,NA,NA,NA
wild commodities index (migratory species),NA,NA,NA,1,NA,NA,NA
proportion of migratory fish stocks in safe biological limits,NA,NA,NA,1,NA,NA,NA
trends in threats to migratory species,NA,NA,NA,1,NA,NA,NA
red list index (migratory species),NA,NA,NA,1,NA,NA,NA
red list index (cms-listed bird species),NA,NA,NA,1,NA,NA,NA
red list index (migratory bird species),NA,NA,NA,1,NA,NA,NA
red list index (cms-listed bird and mammal species),NA,NA,NA,1,NA,NA,NA
living planet index (migratory species),NA,NA,NA,1,NA,NA,NA
wild bird index (migratory birds),NA,NA,NA,1,NA,NA,NA
trends in distribution of migratory species,NA,NA,NA,1,NA,NA,NA
"trends in conservation status, including connectivity, of identified habitats of key importance for migratory species",NA,NA,NA,1,NA,NA,NA
coverage of key habitats for migratory species in protected areas,NA,NA,NA,1,NA,NA,NA
trends in protected area coverage of each key biodiversity area identified for cms-listed bird and mammal species,NA,NA,NA,1,NA,NA,NA
trends in protected area coverage of each key biodiversity area identified for migratory bird and mammal species,NA,NA,NA,1,NA,NA,NA
management effectiveness of areas protected specifically for migratory species,NA,NA,NA,1,NA,NA,NA
trends in delivery of ecosystem services directly dependent on migratory species,NA,NA,NA,1,NA,NA,NA
trends in genetic diversity of selected species,NA,NA,NA,1,NA,NA,NA
trends in integration of migratory species concerns in national biodiversity strategies and action plans,NA,NA,NA,1,NA,NA,NA
"trends in the degree to which traditional knowledge and practices are respected through: full integration, participation and safeguards in national implementation of the strategic plan for migratory species",NA,NA,NA,1,NA,NA,NA
number of validated publications on migratory species conservation actively disseminated for policy-relevant use,NA,NA,NA,1,NA,NA,NA
"aggregated international flows of funding, per annum, for achieving the goals of the strategic plan for migratory species",NA,NA,NA,1,NA,NA,NA
"amount of domestic financial support provided, per annum, to support those domestic activities which are intended to achieve the goals of the strategic plan for migratory species",NA,NA,NA,1,NA,NA,NA
the recognition of combating wildlife crime as a high priority for national law enforcement agencies,NA,NA,NA,NA,1,NA,NA
the recognition of wildlife crime involving organized criminal groups as serious crime,NA,NA,NA,NA,1,NA,NA
the existence of a national enforcement strategy and/or action plan for wildlife crime,NA,NA,NA,NA,1,NA,NA
the extent of inter-agency cooperation among national law enforcement agencies to combat wildlife crime,NA,NA,NA,NA,1,NA,NA
the extent of international cooperation to combat wildlife crime,NA,NA,NA,NA,1,NA,NA
the extent to which strategic risk management is used to target operational enforcement planning and the implementation of measures to combat wildlife crime,NA,NA,NA,NA,1,NA,NA
the extent to which proactive investigations are used to target prominent and emerging wildlife crime threats,NA,NA,NA,NA,1,NA,NA
the level of staff resources in national law enforcement agencies to combat wildlife crime,NA,NA,NA,NA,1,NA,NA
the extent to which institutional training programmes for national law enforcement agencies include content to build capacity to combat wildlife crime,NA,NA,NA,NA,1,NA,NA
the extent to which law enforcement activities are targeted towards the locations most affected by or used for wildlife crime,NA,NA,NA,NA,1,NA,NA
participation in multi-disciplinary enforcement operations targeting wildlife crime,NA,NA,NA,NA,1,NA,NA
the extent to which ports of entry and exit are staffed with law enforcement officers that are aware of and trained in detecting and responding to wildlife crime,NA,NA,NA,NA,1,NA,NA
"the extent to which law enforcement officers at ports of entry and exit can access equipment, tools and materials to detect and respond to wildlife crime",NA,NA,NA,NA,1,NA,NA
the extent to which national legislation empowers law enforcement agencies to inspect and seize consignments suspected of containing illegal wildlife specimens and confiscate,NA,NA,NA,NA,1,NA,NA
"the adequacy of the systems and procedures that are in place for the management, secure storage, auditing and disposal of confiscated wildlife specimens",NA,NA,NA,NA,1,NA,NA
the number (and type) of seizures of specimens of illicitly-traded wildlife,NA,NA,NA,NA,1,NA,NA
the number (and type) of large-scale seizures of specimens of illicitly-traded wildlife,NA,NA,NA,NA,1,NA,NA
the capacity of national law enforcement agencies to investigate wildlife crime cases,NA,NA,NA,NA,1,NA,NA
the extent of national procedures and systems to collate information on wildlife crime,NA,NA,NA,NA,1,NA,NA
the extent to which information on wildlife crime is verified and analyzed to generate intelligence,NA,NA,NA,NA,1,NA,NA
the extent to which criminal intelligence is used to support investigations into wildlife crime,NA,NA,NA,NA,1,NA,NA
the extent to which follow-up investigations are conducted for wildlife crime cases,NA,NA,NA,NA,1,NA,NA
the percentage of wildlife crime cases of a transnational nature that were reported to databases of intergovernmental organizations mandated to receive and maintain such data,NA,NA,NA,NA,1,NA,NA
the existence of provisions in national legislation to use specialized investigation techniques in the investigation of wildlife crime,NA,NA,NA,NA,1,NA,NA
the use of specialized investigation techniques by national law enforcement agencies to combat wildlife crime,NA,NA,NA,NA,1,NA,NA
the capacity of national law enforcement agencies to use forensic technology to support wildlife crime investigations,NA,NA,NA,NA,1,NA,NA
the capacity of national law enforcement agencies to conduct financial investigations to support the investigation and prosecution of wildlife crime,NA,NA,NA,NA,1,NA,NA
