id,goal,objective,indic_id,indicator_orig,indicator_harmonized
CITES_G2_O2,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.2 Parties cooperate in sharing information and tools relevant to the implementation of CITES.,CITES_G2_O2_2.2.1,"Number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in Resolution Conf. 16.7 (Rev. CoP17) on Non-detriment findings related to - the population status of Appendix-II species; - the trends and impact of trade upon Appendix-II species; and - the status of and trend in naturally-occurring Appendix I species and the impact of any recovery plans. ","number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf. 16.7 (rev. cop17) on non-detriment findings related to - the population status of appendix-ii species; - the trends and impact of trade upon appendix-ii species; and - the status of and trend in naturally-occurring appendix i species and the impact of any recovery plans"
CITES_G2_O2,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.2 Parties cooperate in sharing information and tools relevant to the implementation of CITES.,CITES_G2_O2_2.2.2,Number and proportion of annual export quotas based on population surveys. ,number and proportion of annual export quotas based on population surveys
CITES_G2_O2,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.2 Parties cooperate in sharing information and tools relevant to the implementation of CITES.,CITES_G2_O2_2.2.3,Number of workshops and other capacity-building activities that bring range States together to address the conservation and management needs of shared CITES listed species. ,number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared cites listed species
CITES_G2_O2,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.2 Parties cooperate in sharing information and tools relevant to the implementation of CITES.,CITES_G2_O2_2.2.4,Number of reports shared by the Parties in compliance with the Resolutions of the Convention. ,number of reports shared by the parties in compliance with the resolutions of the convention
CITES_G2_O2,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.2 Parties cooperate in sharing information and tools relevant to the implementation of CITES.,CITES_G2_O2_2.2.5,"Number of Parties sharing information relevant to the implementation of CITES (e.g. shared databases, data visualization/software, information-sharing focused tools, etc.). ","number of parties sharing information relevant to the implementation of cites (e.g. shared databases, data visualization/software, information-sharing focused tools, etc.)"
CITES_G2_O2,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.2 Parties cooperate in sharing information and tools relevant to the implementation of CITES.,CITES_G2_O2_2.2.6,Number of CoP side-events where Parties present information and tools relevant to the implementation of CITES.,number of cop side-events where parties present information and tools relevant to the implementation of cites
CITES_G2_O3,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.3 Parties have sufficient information to enforce the Convention.,CITES_G2_O3_2.3.1,"Proportion of Parties that are making use of the available tools. For instance, one could look at Google Analytics for the number of site visits to the CITES website, CITES Checklist, or Species+ or the number of downloads from the CITES Trade Database as a proxy for usage of shared tools. ","proportion of parties that are making use of the available tools. for instance, one could look at google analytics for the number of site visits to the cites website, cites checklist, or species+ or the number of downloads from the cites trade database as a proxy for usage of shared tools"
CITES_G2_O3,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.3 Parties have sufficient information to enforce the Convention.,CITES_G2_O3_2.3.2,Percentage of Parties reporting having sufficient information to enforce the Convention.,percentage of parties reporting having sufficient information to enforce the convention
CITES_G2_O4,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.4 Parties have sufficient information to make listing decisions that are reflective of species conservation needs.,CITES_G2_O4_2.4.1,Percentage of Parties reporting having sufficient information to make listing decisions that are reflective of species conservation needs.,percentage of parties reporting having sufficient information to make listing decisions that are reflective of species conservation needs
CITES_G2_O5,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.5 Information gaps and needs for key species are identified and addressed.,CITES_G2_O5_2.5.1,Number of Parties that have undertaken research (including for non-detriment findings) on their identified key species most relevant to the implementation of the Convention. ,number of parties that have undertaken research (including for non-detriment findings) on their identified key species most relevant to the implementation of the convention
CITES_G2_O5,GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.5 Information gaps and needs for key species are identified and addressed.,CITES_G2_O5_2.5.2,Number of Parties that currently lack information for their identified key species most relevant to the implementation of the Convention and need assistance to address them.,number of parties that currently lack information for their identified key species most relevant to the implementation of the convention and need assistance to address them
CITES_G3_O1,"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.1 Parties have in place administrative procedures that are transparent, practical, coherent and user-friendly, and reduce unnecessary administrative burdens.",CITES_G3_O1_3.1.1,Number of Parties that have adopted standard transparent procedures for the timely issuance of permits in accordance with Article VI of the Convention. ,number of parties that have adopted standard transparent procedures for the timely issuance of permits in accordance with article vi of the convention
CITES_G3_O1,"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.1 Parties have in place administrative procedures that are transparent, practical, coherent and user-friendly, and reduce unnecessary administrative burdens.",CITES_G3_O1_3.1.2,Number of Parties making use of the simplified procedures provided for in Resolution Conf. 12.3 (Rev. CoP19). ,number of parties making use of the simplified procedures provided for in resolution conf. 12.3 (rev. cop19)
CITES_G3_O1,"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.1 Parties have in place administrative procedures that are transparent, practical, coherent and user-friendly, and reduce unnecessary administrative burdens.",CITES_G3_O1_3.1.3,Number of Parties that have adopted an electronic system for the issuance of permits,number of parties that have adopted an electronic system for the issuance of permit
CITES_G3_O2,"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.2 Parties and the Secretariat develop, adopt and implement adequate capacity-building programmes.",CITES_G3_O2_3.2.1,"Number of Parties with training programmes and information resources in place to implement CITES, including the making of non-detriment and legal acquisition findings, issuance of permits and enforcement. ","number of parties with training programmes and information resources in place to implement cites, including the making of non-detriment and legal acquisition findings, issuance of permits and enforcement"
CITES_G3_O2,"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.2 Parties and the Secretariat develop, adopt and implement adequate capacity-building programmes.",CITES_G3_O2_3.2.2,Number of workshops and other capacity-building activities that bring range States together to address the conservation and management needs of shared CITES listed species.,number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared cites listed species
CITES_G3_O3,"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES",Objective 3.3 Sufficient resources are available at the national and international levels to support necessary capacity-building programmes and ensure compliance with and full implementation and enforcement of the Convention.,CITES_G3_O3_3.3.1,Number of Parties meeting their obligations with regard to their assessed contributions to the Trust Fund. ,number of parties meeting their obligations with regard to their assessed contributions to the trust fund
CITES_G3_O3,"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES",Objective 3.3 Sufficient resources are available at the national and international levels to support necessary capacity-building programmes and ensure compliance with and full implementation and enforcement of the Convention.,CITES_G3_O3_3.3.2,Percentage of the total funds required to implement the work programme agreed by the Conference of the Parties that is fully funded.,percentage of the total funds required to implement the work programme agreed by the conference of the parties that is fully funded
CITES_G3_O4,"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES",Objective 3.4 Parties recognize illegal trade in wildlife as serious crime and have adequate systems in place to detect and deter it.,CITES_G3_O4_3.4.1,Number of Parties where criminal offences relating to illegal trade in wildlife (such as illegal hunting/harvest and wildlife trafficking) are recognized as a serious crime.,number of parties where criminal offences relating to illegal trade in wildlife (such as illegal hunting/harvest and wildlife trafficking) are recognized as a serious crime
CITES_G3_O5,"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.5 Parties work collaboratively across range, transit and destination states, to address entire illegal trade chains, including through strategies to reduce both the supply of and demand for illegal products, in order for trade to be legal and sustainable.",CITES_G3_O5_3.5.1,"Number of seizures made through Parties collaboration across range, transit and destination states, to address entire illegal trade chains.","number of seizures made through parties collaboration across range, transit and destination states, to address entire illegal trade chains"
CITES_G3_O6,"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.6 Parties take measures to prohibit, prevent, detect and sanction corruption.",CITES_G3_O6_3.6.1,Number of Parties reporting in implementation reports of activities taken to address corruption.,number of parties reporting in implementation reports of activities taken to address corruption
CITES_G3_O7,"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.7 Investments in building capacity of CITES are prioritized, coordinated, and their success monitored to ensure stepwise improvement through time.",CITES_G3_O7_3.7.1,Number of capacity-building activities delivered to Parties. ,number of capacity-building activities delivered to parties
CITES_G3_O7,"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.7 Investments in building capacity of CITES are prioritized, coordinated, and their success monitored to ensure stepwise improvement through time.",CITES_G3_O7_3.7.2,Number of Parties who report improvements in their implementation following targeted capacity-building efforts. ,number of parties who report improvements in their implementation following targeted capacity-building efforts
CITES_G3_O7,"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES","Objective 3.7 Investments in building capacity of CITES are prioritized, coordinated, and their success monitored to ensure stepwise improvement through time.",CITES_G3_O7_3.7.3,Total investments into capacity-building efforts.,total investments into capacity-building efforts
CITES_G3_O8,"GOAL 3 PARTIES (INDIVIDUALLY AND COLLECTIVELY) HAVE THE TOOLS, RESOURCES AND CAPACITY TO EFFECTIVELY IMPLEMENT AND ENFORCE THE CONVENTION, CONTRIBUTING TO CONSERVATION, SUSTAINABLE USE AND THE REDUCTION OF ILLEGAL TRADE IN CITES-LISTED WILDLIFE SPECIES",Objective 3.8 Parties take full advantage of emerging technological developments to improve the effective implementation and enforcement of the Convention.,CITES_G3_O8_3.8.1,Number of CITES Parties using the CITES Checklist API.,number of cites parties using the cites checklist api
CITES_G4_O1,GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,"Objective 4.1 Parties support sustainable wildlife trade policies, especially those that increase the capacity of Indigenous peoples and local communities to pursue livelihoods.",CITES_G4_O1_4.1.1,Number of CITES-listed species for which Parties have designed/implemented relevant sustainable wildlife management policies. ,number of cites-listed species for which parties have designed/implemented relevant sustainable wildlife management policies
CITES_G4_O1,GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,"Objective 4.1 Parties support sustainable wildlife trade policies, especially those that increase the capacity of Indigenous peoples and local communities to pursue livelihoods.",CITES_G4_O1_4.1.2,Percentage of Parties that co-developed or otherwise supported the capacity of indigenous peoples and local communities to pursue livelihoods.,percentage of parties that co-developed or otherwise supported the capacity of indigenous peoples and local communities to pursue livelihoods
CITES_G4_O2,GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,"Objective 4.2 The importance of achieving CITES’ aim as a contribution to achieving the relevant Sustainable Development Goals, as well as the post-2020 global biodiversity framework, is recognized.",CITES_G4_O2_4.2.1,"Number of Parties incorporating CITES into their National Biodiversity Strategy and Action Plan (NBSAP), also included in the global and national Strategies for Plant Conservation under CBD programme.","number of parties incorporating cites into their national biodiversity strategy and action plan (nbsap), also included in the global and national strategies for plant conservation under cbd programme"
CITES_G4_O3,GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,"Objective 4.3 Awareness of the role, purpose and achievements of CITES is increased globally.",CITES_G4_O3_4.3.1,"Number of new, unique visits to the CITES website. ","number of new, unique visits to the cites website"
CITES_G4_O3,GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,"Objective 4.3 Awareness of the role, purpose and achievements of CITES is increased globally.",CITES_G4_O3_4.3.2,Number of Parties with information on CITES and its requirements on their official websites. ,number of parties with information on cites and its requirements on their official websites
CITES_G4_O3,GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,"Objective 4.3 Awareness of the role, purpose and achievements of CITES is increased globally.",CITES_G4_O3_4.3.3,Number of followers on CITES social media platforms. ,number of followers on cites social media platforms
CITES_G4_O3,GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,"Objective 4.3 Awareness of the role, purpose and achievements of CITES is increased globally.",CITES_G4_O3_4.3.4,"Number of key identified hashtags (e.g. #cites, #citescop19 #worldwildlifeday, etc.) on CITES social media. ","number of key identified hashtags (e.g. #cites, #citescop19 #worldwildlifeday, etc.) on cites social media"
CITES_G4_O3,GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,"Objective 4.3 Awareness of the role, purpose and achievements of CITES is increased globally.",CITES_G4_O3_4.3.5,Number of events submitted to the World Wildlife Day website.,number of events submitted to the world wildlife day website
CITES_G4_O4,GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,Objective 4.4 CITES Parties are informed of international actions for sustainable development that may have a bearing on achieving the goal of CITES.,CITES_G4_O4_4.4.1,Number of meetings/CoP where representatives of other international bodies report on relevant activities to CITES Parties. ,number of meetings/cop where representatives of other international bodies report on relevant activities to cites parties
CITES_G4_O4,GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,Objective 4.4 CITES Parties are informed of international actions for sustainable development that may have a bearing on achieving the goal of CITES.,CITES_G4_O4_4.4.2,"Events, documents and presentations, etc. delivered by other intergovernmental bodies and fora in meetings convened by the CITES Secretariat. ","events, documents and presentations, etc. delivered by other intergovernmental bodies and fora in meetings convened by the cites secretariat"
CITES_G4_O4,GOAL 4 CITES POLICY DEVELOPMENT ALSO CONTRIBUTES TO AND LEARNS FROM INTERNATIONAL EFFORTS TO ACHIEVE SUSTAINABLE DEVELOPMENT,Objective 4.4 CITES Parties are informed of international actions for sustainable development that may have a bearing on achieving the goal of CITES.,CITES_G4_O4_4.4.3,Number of Notifications to the Parties issued by the CITES Secretariat relating to international actions for sustainable development that may have a bearing on achieving the goal of CITES.,number of notifications to the parties issued by the cites secretariat relating to international actions for sustainable development that may have a bearing on achieving the goal of cites
CITES_G5_O1,GOAL 5 DELIVERY OF THE CITES STRATEGIC VISION IS IMPROVED THROUGH COLLABORATION,Objective 5.1 Parties and the Secretariat support and enhance existing cooperative partnerships in order to achieve their identified objectives.,CITES_G5_O1_5.1.1,"Number of Parties which report that they have achieved synergies in their implementation of CITES, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements. ","number of parties which report that they have achieved synergies in their implementation of cites, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements"
CITES_G5_O1,GOAL 5 DELIVERY OF THE CITES STRATEGIC VISION IS IMPROVED THROUGH COLLABORATION,Objective 5.1 Parties and the Secretariat support and enhance existing cooperative partnerships in order to achieve their identified objectives.,CITES_G5_O1_5.1.2,Number of Parties cooperating / collaborating with intergovernmental and non-governmental organizations to participate in and/or fund CITES workshops and other training and capacity-building activities. ,number of parties cooperating / collaborating with intergovernmental and non-governmental organizations to participate in and/or fund cites workshops and other training and capacity-building activities
CITES_G5_O1,GOAL 5 DELIVERY OF THE CITES STRATEGIC VISION IS IMPROVED THROUGH COLLABORATION,Objective 5.1 Parties and the Secretariat support and enhance existing cooperative partnerships in order to achieve their identified objectives.,CITES_G5_O1_5.1.3,Number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade. ,number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade
CITES_G5_O1,GOAL 5 DELIVERY OF THE CITES STRATEGIC VISION IS IMPROVED THROUGH COLLABORATION,Objective 5.1 Parties and the Secretariat support and enhance existing cooperative partnerships in order to achieve their identified objectives.,CITES_G5_O1_5.1.4,Number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade.,number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade
CITES_G5_O1,GOAL 5 DELIVERY OF THE CITES STRATEGIC VISION IS IMPROVED THROUGH COLLABORATION,Objective 5.1 Parties and the Secretariat support and enhance existing cooperative partnerships in order to achieve their identified objectives.,CITES_G5_O1_5.1.5,"Number of implemented cooperation agreements between the Secretariat and Multilateral Environmental Agreements (MEAS), including the Biodiversity Liaison Group (BLG) and other biodiversity-related Conventions.","number of implemented cooperation agreements between the secretariat and multilateral environmental agreements (meas), including the biodiversity liaison group (blg) and other biodiversity-related conventions"
CITES_G5_O2,GOAL 5 DELIVERY OF THE CITES STRATEGIC VISION IS IMPROVED THROUGH COLLABORATION,"Objective 5.2 Parties encourage the formation of new, innovative and mutually sustainable alliances between CITES and relevant international partners, where appropriate to advance CITES’ objective and mainstream conservation and of sustainable use of biodiversity.",CITES_G5_O2_5.2.1,Number of alliances between CITES and relevant international partners to advance CITES objective and mainstream conservation and sustainable use of biodiversity.,number of alliances between cites and relevant international partners to advance cites objective and mainstream conservation and sustainable use of biodiversity
CITES_G5_O3,GOAL 5 DELIVERY OF THE CITES STRATEGIC VISION IS IMPROVED THROUGH COLLABORATION,Objective 5.3 Cooperation between CITES and international financial mechanisms and other related institutions is enhanced in order to support activities that contribute to CITES implementation and enforcement.,CITES_G5_O3_5.3.1,Number of Parties funded by international financial mechanisms and other related institutions to develop activities that include CITES-related conservation and sustainable development elements. ,number of parties funded by international financial mechanisms and other related institutions to develop activities that include cites-related conservation and sustainable development elements
CITES_G5_O3,GOAL 5 DELIVERY OF THE CITES STRATEGIC VISION IS IMPROVED THROUGH COLLABORATION,Objective 5.3 Cooperation between CITES and international financial mechanisms and other related institutions is enhanced in order to support activities that contribute to CITES implementation and enforcement.,CITES_G5_O3_5.3.2,Number of countries and institutions that have provided additional funding from CITES Authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the Convention.,number of countries and institutions that have provided additional funding from cites authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the convention
