indicator_harmonized,indic_id,var_indic,ILK
total land footprint,GA_2_118_47,2,NA
percentage of abroad land use footprint,GA_2_118_47,2,NA
percentage of agricultural and urban areas,GA_2_118_47,2,NA
extraction of non-human materials,GA_2_118_47,2,NA
total greenhouse gas emissions per year,GA_2_118_47,2,NA
alien species,GA_2_118_47,2,NA
biomass of prey fish,GA_2.2_1_50,1,NA
terrestrial vegetation biomass,GA_2.2_1_50,1,NA
extent of forests,GA_2.2_1_50,1,NA
tree cover,GA_2.2_1_50,1,NA
extinction risk,GA_2.2_1_50,1,NA
time needed to harvest resources,GA_2.2_5_55,1,1
distance travelled to harvest resources,GA_2.2_5_55,1,1
culturally salient species,GA_2.2_5_55,1,1
native newcomer species arrive,GA_2.2_5_55,1,1
new pests and invasive alien species colonize,GA_2.2_5_55,1,1
forests and grazing lands loss,GA_2.2_5_55,1,1
remnant ecosystems degrade,GA_2.2_5_55,1,1
health condition and body size of wild animals decrease,GA_2.2_5_55,1,1
tropical forest-monocrop conversions,GA_2.2_6_56,1,1
expansion of settlements,GA_2.2_6_56,1,1
discontinued traditional land-management practices,GA_2.2_6_56,1,1
droughts,GA_2.2_6_56,1,1
increasingly unpredictable annual distribution of rainfall,GA_2.2_6_56,1,1
arrival of new native and alien species,GA_2.2_6_56,1,1
changing range of wild species,GA_2.2_6_56,1,1
floods,GA_2.2_6_56,1,1
overexploitation of resources by outsiders and locals,GA_2.2_6_56,1,1
total richness of endemic species,GA_2.2_21_61,2,NA
range-size rarity,GA_2.2_21_61,2,NA
endemism richness,GA_2.2_21_61,2,NA
weighted endemisms,GA_2.2_21_61,2,NA
soil organic carbon,GA_2.2_37_70,2,NA
fraction of ocean not fished per year,GA_2.2_37_70,2,NA
extent of marine wilderness,GA_2.2_37_70,2,NA
leaf area index (lai),GA_2.2_37_70,2,NA
tree cover,GA_2.2_37_70,2,NA
vegetation biomass,GA_2.2_37_70,2,NA
permanent surface water extent,GA_2.2_37_70,2,NA
above-ground biomass,GA_2.2_37_70,2,NA
biodiversity habitat index,GA_2.2_37_70,2,NA
land not cultivated or urban (indigenous lands),GA_2.2_37_70,2,NA
land not cultivated or urban (hotspots),GA_2.2_37_70,2,NA
land not cultivated or urban,GA_2.2_37_70,2,NA
extent of suitable habitat,GA_2.2_37_70,2,NA
extent of forests,GA_2.2_37_70,2,NA
mangrove forest area,GA_2.2_37_70,2,NA
remaining primary vegetation (indigenous lands),GA_2.2_37_70,2,NA
coastal protection habitats,GA_2.2_37_70,2,NA
live coral cover,GA_2.2_37_70,2,NA
remaining primary vegetation,GA_2.2_37_70,2,NA
extent of terrestrial wilderness,GA_2.2_37_70,2,NA
extent of intact forest landscapes,GA_2.2_37_70,2,NA
coastal carbon-rich habitat,GA_2.2_37_70,2,NA
wetland extent trends index,GA_2.2_37_70,2,NA
seagrass meadow area,GA_2.2_37_70,2,NA
mean annual change in above-ground biomass,GA_2.2_37_70,2,NA
biomass turnover rate,GA_2.2_37_70,2,NA
oceanic carbon sequestration,GA_2.2_37_70,2,NA
terrestrial c sequestration,GA_2.2_37_70,2,NA
marine net primary production,GA_2.2_37_70,2,NA
terrestrial net primary production,GA_2.2_37_70,2,NA
net primary production,GA_2.2_37_70,2,NA
evapotranspiration,GA_2.2_37_70,2,NA
biological pump efficiency,GA_2.2_37_70,2,NA
local species richness,GA_2.2_37_70,2,NA
mean species abundance (msa),GA_2.2_37_70,2,NA
"biodiversity intactness index (tropical forest, indigenous lands)",GA_2.2_37_70,2,NA
biodiversity intactness index (tropical forest),GA_2.2_37_70,2,NA
"biodiversity intactness index (tropical forest, hotspots)",GA_2.2_37_70,2,NA
cumulative introduced invasive aliens,GA_2.2_37_70,2,NA
cumulative introduced invasive aliens,GA_2.2_37_70,2,NA
bird species per grid cell,GA_2.2_37_70,2,NA
species richness per grid cell,GA_2.2_37_70,2,NA
forest-specialist bird species per grid cell,GA_2.2_37_70,2,NA
functional intactness (madingley),GA_2.2_37_70,2,NA
global mammal and bird species remaining,GA_2.2_37_70,2,NA
red list index,GA_2.2_37_70,2,NA
mammalian range size,GA_2.2_37_70,2,NA
megafaunal range size,GA_2.2_37_70,2,NA
species habitat index,GA_2.2_37_70,2,NA
extent of suitable habitat,GA_2.2_37_70,2,NA
wild mammal biomass,GA_2.2_37_70,2,NA
prey fish biomass,GA_2.2_37_70,2,NA
proportion of fish stocks within biologically sustainable levels,GA_2.2_37_70,2,NA
wild bird index,GA_2.2_37_70,2,NA
predatory fish biomass,GA_2.2_37_70,2,NA
seagrass meadow area,GA_2.2_38_74,2,NA
mangrove forest area,GA_2.2_38_74,2,NA
live coral cover,GA_2.2_38_74,2,NA
ocean health index,GA_2.2_38_74,2,NA
biodiversity habitat index,GA_2.2_39_75,2,NA
wetland extent trends index,GA_2.2_39_75,2,NA
above-ground biomass,GA_2.2_39_76,2,NA
tree cover,GA_2.2_40_77,2,NA
extent of forests,GA_2.2_40_78,2,NA
leaf area index (lai),GA_2.2_40_79,2,NA
terrestrial net primary production,GA_2.2_42_82,2,NA
material ncp,GA_2.2_42_82,2,NA
biotime species richness indicator,GA_2.2_45_85,2,NA
local species richness (predicts),GA_2.2_45_85,2,NA
biodiversity intactness index,GA_2.2_45_87,2,NA
biodiversity intactness index,GA_2.2_46_88,2,NA
mean species abundance (msa),GA_2.2_46_88,2,NA
species richness per grid cell,GA_2.2_47_90,2,NA
functional intactness (madingley),GA_2.2_47_90,2,NA
red list index,GA_2.2_51_92,2,NA
red list index (internationally traded species),GA_2.2_51_92,2,NA
red list index (pollinators),GA_2.2_51_92,2,NA
red list index (for utilized species),GA_2.2_51_92,2,NA
red list index (wild relatives of farmed and domesticated species),GA_2.2_51_92,2,NA
biodiversity habitat index,GA_2.2_52_95,2,NA
marine trophic index (mti),GA_2.2_59_101,2,NA
human footprint,GA_2.2_62_105,2,NA
trends of populations of palatable or unpalatable species,GA_2.2_63_107,1,1
culturally salient species,GA_2.2_65_113,1,1
distance travelled to harvest resources,GA_2.2_65_113,1,1
native newcomer species arrive,GA_2.2_65_113,1,1
opening up of forest canopy,GA_2.2_65_113,1,1
"less biomass, more annuals and shrubs on pastures",GA_2.2_65_113,1,1
proportion of unpalatable plants on rangelands,GA_2.2_65_113,1,1
condition and size of wild animals,GA_2.2_65_113,1,1
red list index,GA_2.2_70_120,2,NA
proportion of fish stocks within biologically sustainable levels,GA_2.2_70_120,2,NA
mean length of fish,GA_2.2_70_120,2,NA
local species richness,GA_2.2_70_120,2,NA
net primary production,GA_2.2_70_120,2,NA
mangrove forest area,GA_2.2_70_120,2,NA
percentage of live coral cover,GA_2.2_70_120,2,NA
adverse changes in woody or shrubby vegetation,GA_2.2_81_123,1,NA
adverse changes of unpalatable species,GA_2.2_81_123,1,NA
global cover of mangroves,GA_2.2_91_124,1,NA
hallow coral reefs,GA_2.2_91_124,1,NA
live coral cover,GA_2.2_91_124,1,NA
severe global bleaching events,GA_2.2_91_124,1,NA
pollinator diversity,GA_2.3_2_125,2,NA
species used for medicine,GA_2.3_22_127,2,1
crops and their dietary roles,GA_2.3_22_127,2,1
forest and its role in protecting water sources,GA_2.3_22_127,2,1
behavior of animals with importance as food,GA_2.3_22_127,2,1
changes in crop phenology,GA_2.3_22_127,2,1
development of crop varieties or landraces,GA_2.3_22_127,2,1
visitation to national parks,GA_2.3_32_132,2,NA
visitation to urban green spaces,GA_2.3_32_132,2,NA
connection to land,GA_2.3_36_133,2,1
connection to sea,GA_2.3_36_133,2,1
terrestrial net primary production,GA_2.3_39_137,2,NA
bare area,GA_2.3_39_137,2,NA
soil organic carbon,GA_2.3_39_137,2,NA
area of floodplain wetlands,GA_2.3_39_137,2,NA
net primary productivity in forests and on cultivated land,GA_2.3_39_137,2,NA
cultivated area,GA_2.3_39_137,2,NA
above-ground biomass in forests,GA_2.3_39_137,2,NA
medicinal species as a fraction of total vascular plant species,GA_2.3_39_137,2,NA
geographical overlay of linguistic diversity and biodiversity,GA_2.3_39_137,2,NA
rate of land use change,GA_2.3_39_137,2,NA
population size,GA_2.3_40_140,1,1
spatial distribution of species,GA_2.3_40_140,1,1
animal behavior,GA_2.3_40_140,1,1
phenology of economically and/or culturally important wild plant and animal species,GA_2.3_40_140,1,1
catch per unit effort,GA_2.3_40_140,1,1
distance travelled to harvest resources,GA_2.3_40_140,1,1
health of the soil,GA_2.3_40_140,1,1
density of preferred and palatable species,GA_2.3_40_140,1,1
health of the forest,GA_2.3_41_142,2,1
encounter rates with supernatural forest dwelling entities,GA_2.3_41_142,2,1
water availability,GA_2.3_42_143,2,NA
water available for people relative to demand,GA_2.3_42_143,2,NA
extent of ecosystems that filter or add constituent components to water,GA_2.3_42_143,2,NA
reduced concentration of pollutants in water,GA_2.3_42_143,2,NA
avoided water treatment costs,GA_2.3_42_143,2,NA
reduced incidence of water borne disease,GA_2.3_42_143,2,NA
extent of suitable habitat,GA_2.3_42_143,2,NA
biodiversity intactness index,GA_2.3_42_143,2,NA
pollinator diversity,GA_2.3_42_143,2,NA
abundance of managed and wild pollinators,GA_2.3_42_143,2,NA
health associated with intake of pollinator dependent foods,GA_2.3_42_143,2,NA
natural habitat in agriculture,GA_2.3_42_143,2,NA
pollen deposition,GA_2.3_42_143,2,NA
retention and prevented emissions of air pollutants by ecosystems,GA_2.3_42_143,2,NA
reduced concentrations of pm2.5,GA_2.3_42_143,2,NA
avoided morbidity and premature mortality from air pollution,GA_2.3_42_143,2,NA
avoided costs from air pollution,GA_2.3_42_143,2,NA
prevented emissions and uptake of greenhouse gases by ecosystems,GA_2.3_42_143,2,NA
reduced concentrations of greenhouse gases in the atmosphere,GA_2.3_42_143,2,NA
reduction in climate related costs,GA_2.3_42_143,2,NA
land and ocean carbon sinks,GA_2.3_42_143,2,NA
reduced ocean acidification,GA_2.3_42_143,2,NA
seafood availability due to ocean acidification,GA_2.3_42_143,2,NA
extent of marine calcification benefits from coral reefs,GA_2.3_42_143,2,NA
soil quality impact on crop production,GA_2.3_42_143,2,NA
ability of ecosystems to absorb and buffer hazards,GA_2.3_42_143,2,NA
reduced incidence and severity of hazards,GA_2.3_42_143,2,NA
reduced morbidity and premature mortality due to natural hazards,GA_2.3_42_143,2,NA
reduced property loss due to natural hazards,GA_2.3_42_143,2,NA
reduced food spoilage,GA_2.3_42_143,2,NA
reduced net farm income loss from pests and diseases,GA_2.3_42_143,2,NA
diversity of competent hosts of vector-borne diseases,GA_2.3_42_143,2,NA
reduced risk of disease transmission,GA_2.3_42_143,2,NA
reduced incidence of infectious diseases,GA_2.3_42_143,2,NA
extent of agricultural land,GA_2.3_42_143,2,NA
energy content of bioenergy crops,GA_2.3_42_143,2,NA
revenue from bioenergy production,GA_2.3_42_143,2,NA
extent of forests,GA_2.3_42_143,2,NA
production of fuelwood,GA_2.3_42_143,2,NA
energy security from bio-energy and fuelwood,GA_2.3_42_143,2,NA
food produced (kcal),GA_2.3_42_143,2,NA
food quality (nutrients),GA_2.3_42_143,2,NA
reduced malnutrition,GA_2.3_42_143,2,NA
marine stocks,GA_2.3_42_143,2,NA
reduced hunger,GA_2.3_42_143,2,NA
seafood produced (kcal),GA_2.3_42_143,2,NA
agriculture-based materials produced (tons),GA_2.3_42_143,2,NA
employment in materials production,GA_2.3_42_143,2,NA
timber production (m3),GA_2.3_42_143,2,NA
revenue from forestry,GA_2.3_42_143,2,NA
species used for medicine,GA_2.3_42_143,2,NA
natural medicinal products and manufactured bio-derived medicines,GA_2.3_42_143,2,NA
improved health from natural medicines or bio-derived medicines,GA_2.3_42_143,2,NA
phylogenetic diversity,GA_2.3_42_143,2,NA
gene bank accession and available genetic resources,GA_2.3_42_143,2,NA
proximity of people and nature,GA_2.3_42_143,2,NA
ideas and products mimicking or inspired by nature,GA_2.3_42_143,2,NA
economic value of bio-inspired production,GA_2.3_42_143,2,NA
diversity of life from which to learn,GA_2.3_42_143,2,NA
area of natural and traditional landscapes and seascapes,GA_2.3_42_143,2,NA
"visitation rates to natural terrestrial, coastal, and marine areas",GA_2.3_42_143,2,NA
"increased awareness, care, mental health, cultural security, life satisfaction - urban",GA_2.3_42_143,2,NA
"increased awareness, care, mental health, cultural security, life satisfaction - rural and iplc",GA_2.3_42_143,2,NA
"daily exposure natural terrestrial, coastal and marine areas",GA_2.3_42_143,2,NA
stability of land use and land cover,GA_2.3_42_143,2,NA
identity value - urban,GA_2.3_42_143,2,NA
identity value - rural and iplc,GA_2.3_42_143,2,NA
visitation to natural areas,GA_2.3_50_149,2,NA
percentage of population living in dense urban areas,GA_2.3_50_149,2,NA
historic land use change since 1970,GA_2.3_53_152,2,NA
leaf surface area,GA_2.3_56_155,1,NA
carbon sequestration,GA_2.3_56_155,1,NA
transfer of water to the atmosphere,GA_2.3_56_155,1,NA
biotic productivity,GA_2.3_56_155,1,NA
extent of protected and intact habitat globally,GA_2.3_59_157,2,NA
correlation between high cultural diversity and areas of high biodiversity,GA_2.3_71_160,1,NA
population extinctions,GA_2.3_75_161,1,NA
range contractions,GA_2.3_75_161,1,NA
red list index,GA_4_30_175,2,NA
biomass abundance,GA_4_34_176,2,NA
production,GA_4_34_176,2,NA
species distribution area and shift,GA_4_34_176,2,NA
species richness,GA_4_34_176,2,NA
habitat area and quality,GA_4_34_176,2,NA
organisms` size or growth,GA_4_34_176,2,NA
reproduction rate,GA_4_34_176,2,NA
"pest, invasive or harmful species",GA_4_34_176,2,NA
c pool,GA_4_34_176,2,NA
global scale ecosystem carbon storage,GA_4_87_186,2,NA
adaptive capacity index (aci),GA_4_129_208,2,NA
oecd better life index,GA_4_131_209,2,NA
living planet index,GA_4_144_217,2,NA
sustainable development goals index,GA_4_147_220,2,NA
proportion of fish stocks within biologically sustainable levels,GA_4_152_225,2,NA
global effort in bottom-trawling,GA_4_152_225,2,NA
marine stewardship council certified fisheries,GA_4_152_225,2,NA
ocean health index,GA_4_155_228,2,NA
cumulative human impacts on marine ecosystems,GA_4_155_228,2,NA
average conservation status,GA_4_158_230,2,NA
living planet index,GA_5_10_235,2,NA
biodiversity intactness index,GA_5_10_235,2,NA
mean species abundance (msa),GA_5_34_243,2,NA
extent of suitable habitat index (esh),GA_5_34_243,2,NA
living planet index,GA_5_34_243,2,NA
species area relationship,GA_5_34_243,2,NA
human development index (hdi),GA_5_68_252,2,NA
happy planet index,GA_5_69_253,2,NA
gross national happiness index,GA_5_69_253,2,NA
ecological footprint,GA_5_73_254,2,NA
gini index,GA_5_80_256,2,NA
rule of law index,GA_5_104_261,2,NA
environmental performance index,GA_5_104_261,2,NA
environmental performance index,GA_5_107_262,2,NA
happy planet index,GA_5_108_263,2,NA
ocean health index,GA_6_86_279,2,NA
water quality risk index,GA_6_93_281,2,NA
mibid index,GA_6_122_285,2,NA
commodity index,GA_6_137_288,2,NA
index of sustainable economic welfare (isew),GA_6_139_289,2,NA
genuine progress indicator,GA_6_139_289,2,NA
gross domestic product,GA_6_139_289,2,NA
gross national happiness index,GA_6_140_290,2,NA
biodiversity barometer (percentage of respondents that have heard of biodiversity),GA_3_15_329,2,NA
biodiversity barometer (percentage of respondents giving correct definition of biodiversity),GA_3_15_329,2,NA
funding for environmental education,GA_3_15_329,2,NA
online interest in biodiversity (proportion of google searches),GA_3_15_329,2,NA
funding for environmental impact assessments,GA_3_15_329,2,NA
number of research studies involving economic valuation,GA_3_15_329,2,NA
world trade organisation greenbox agricultural subsidies,GA_3_15_329,2,NA
funding towards institutional capacity building in fisheries,GA_3_15_329,2,NA
percentage of countries that are category 1 cites parties,GA_3_15_329,2,NA
ecological footprint,GA_3_15_329,2,NA
red list index (for utilized species),GA_3_15_329,2,NA
red list index (internationally traded species),GA_3_15_329,2,NA
human appropriation of fresh water,GA_3_15_329,2,NA
wetland extent trends index,GA_3_15_329,2,NA
tree cover,GA_3_15_329,2,NA
extent of suitable habitat,GA_3_15_329,2,NA
wild bird index (habitat specialists),GA_3_15_329,2,NA
red list index (forest specialists),GA_3_15_329,2,NA
proportion of fish stocks within biologically sustainable levels,GA_3_15_329,2,NA
marine stewardship council certified fisheries,GA_3_15_329,2,NA
global effort in bottom-trawling,GA_3_15_329,2,NA
marine trophic index (mti),GA_3_15_329,2,NA
red list index (impacts of fisheries),GA_3_15_329,2,NA
wild bird index (farmland birds),GA_3_15_329,2,NA
area of agricultural land under organic production,GA_3_15_329,2,NA
area of agricultural land under conservation,GA_3_15_329,2,NA
proportion of countries that are category 1 signatories to the convention on international trade in endangered species of wild fauna and flora (cites),GA_3_26_354,1,NA
growth in human appropriation of net primary productivity,GA_3_26_355,2,NA
ecological footprint,GA_3_26_355,2,NA
water footprint,GA_3_26_355,2,NA
demand for greener products and services,GA_3_26_355,2,NA
green consumption,GA_3_26_355,2,NA
annual rate of net forest loss,GA_3_27_356,2,NA
annual rate of net forest loss,GA_3_27_356,2,NA
wild bird index (farmland birds),GA_3_31_358,2,NA
percentage of live coral cover,GA_3_34_361,2,NA
climatic impact index,GA_3_35_362,2,NA
proportion of sites in the world database on protected areas reporting shared governance,GA_3_38_364,2,NA
number of extintions,GA_3_40_367,1,NA
red list index,GA_3_40_368,2,NA
living planet index,GA_3_41_369,2,NA
proportion of domesticated breeds categorized as at risk or extinct,GA_3_44_371,1,NA
extinction risk of wild relatives of domesticated or farmed birds and mammals,GA_3_44_371,1,NA
red list index,GA_3_45_374,2,NA
red list index (vertebrate pollinators),GA_3_45_374,2,NA
number of countries implementing nbsaps,GA_3_48_377,2,NA
numbers of scientific publications on biodiversity,GA_3_49_379,2,NA
relevant research funding,GA_3_49_379,2,NA
taxa assessed for the red list index,GA_3_49_379,2,NA
species with data included in the global biodiversity information facility,GA_3_49_379,2,NA
mean polar sea ice extent,GA_3_51_381,2,NA
official development assistance provided in support of the cbd objectives,GA_3_51_381,2,NA
wild bird index (habitat specialists),GA_3_51_381,2,NA
pesticide use,GA_3_51_381,2,NA
glacial mass balance,GA_3_51_381,2,NA
red list index (birds and mammals),GA_3_51_382,2,NA
species habitat index,GA_3_54_387,2,NA
pesticide use,GA_3_54_387,2,NA
tree cover,GA_3_55_389,2,NA
marine trophic index (mti),GA_3_55_389,2,NA
protected area coverage of key biodiversity areas,GA_3_55_389,2,NA
red list index (impacts of pollution),GA_3_72_395,2,NA
percentage of freshwater key biodiversity areas covered by protected areas,GA_3_72_395,2,NA
proportion of fish stocks within biologically sustainable levels,GA_3_72_395,2,NA
marine stewardship council engaged fisheries,GA_3_72_395,2,NA
protected area coverage of marine and coastal areas,GA_3_72_395,2,NA
percentage of marine key biodiversity areas covered by protected areas,GA_3_72_395,2,NA
percentage of terrestrial ecoregions covered by protected areas,GA_3_72_395,2,NA
percentage of terrestrial ecoregions covered by protected areas,GA_3_72_395,2,NA
number of protected area management effectiveness (pame) assessments,GA_3_72_395,2,NA
protected area coverage of key biodiversity areas,GA_3_72_395,2,NA
area of forest under sustainable management,GA_3_72_395,2,NA
tree cover,GA_3_72_395,2,NA
coverage by protected areas of important sites for mountain biodiversity,GA_3_72_395,2,NA
climatic impact index for birds,GA_3_72_395,2,NA
number of invasive alien species introduction events,GA_3_72_395,2,NA
percentage of countries with invasive alien species legislation,GA_3_72_395,2,NA
red list index (impacts of invasive alien species),GA_3_72_395,2,NA
biochemical oxygen demand (bod),GA_3_74_399,2,NA
nitrogen (n) loads,GA_3_74_399,2,NA
phosphorus (p) loads,GA_3_74_399,2,NA
total dissolved solids (tds),GA_3_74_399,2,NA
blue water sustainability index,GA_3_76_401,2,NA
human development index (hdi),GA_3_77_402,2,NA
human development index (hdi),GA_3_97_413,2,NA
multidimensional poverty index,GA_3_97_413,2,NA
individual deprivation measure,GA_3_97_413,2,NA
city biodiversity index,GA_3_115_417,2,NA
co2 emissions,GA_3_123_420,1,NA
air quality,GA_3_123_420,1,NA
water quality,GA_3_123_420,1,NA
proportion of the rural population who live within 2 km of an all-season road,GA_3_128_421,2,NA
passenger and freight volumes by mode of transport,GA_3_128_421,2,NA
migratory birds threatened or near threatened on the red list index,GA_3_150_436,2,NA
red list index,GA_3_150_436,2,NA
fisheries stock size,GA_3_164_441,2,NA
fisheries exploitation rates,GA_3_164_441,2,NA
arctic species trend index,GA_3_169_443,2,NA
number of countries that have ratified the nagoya protocol,GA_3_175_446,2,NA
