indicator_harmonized,indic_id,var_indic,ILK
societal behaviour,GEO_17_22_214,2,NA
under-five child mortality rate,GEO_20_6_228,2,NA
pm 2.5 emissions,GEO_20_6_228,2,NA
o3 emissions,GEO_20_6_228,2,NA
volatile organic compounds emissions,GEO_20_6_228,2,NA
pm 10 emissions,GEO_20_6_228,2,NA
air quality,GEO_20_6_228,2,NA
mortality rate attributable to household and ambient air pollution,GEO_20_7_232,2,NA
deaths due to unsafe water,GEO_20_7_232,2,NA
sanitation and hygiene,GEO_20_7_232,2,NA
mortality from unintentional poisoning,GEO_20_7_232,2,NA
percentage of the population exposed to annual mean pm concentrations above the highest interim target of 35 μg/m,GEO_20_8_233,2,NA
united nations framework convention on climate change,GEO_20_8_233,2,NA
freshwater withdrawal as a proportion of available freshwater resources,GEO_20_8_234,2,NA
total gobal population living in water scarce areas,GEO_20_8_234,2,NA
marine nutirent pollution,GEO_20_8_234,2,NA
index of coastal eutrophication potential (icep),GEO_20_8_234,2,NA
plastic debris density,GEO_20_8_234,2,NA
nutrient runoff into oceans (n and p),GEO_20_8_234,2,NA
proportion of fish stocks within biologically sustainable levels,GEO_20_8_234,2,NA
proportion of land that is degraded over total land area,GEO_20_8_234,2,NA
soil organic carbon (soc) stocks,GEO_20_8_234,2,NA
number of people living on less than 1.90 usd per day,GEO_21_8_241,1,NA
land-use change,GEO_21_10_246,2,NA
"changes in terrestrial, marine and freshwater vertebrate populations",GEO_21_10_246,2,NA
species dispersal ability,GEO_21_11_248,2,NA
proportion of fish stocks within biologically sustainable levels,GEO_21_17_250,2,NA
projections of global fisheries under an unchanged climate and current management scenario,GEO_21_17_250,2,NA
proportion of fish stocks within biologically sustainable levels,GEO_21_17_250,2,NA
body mass index,GEO_21_17_251,1,NA
blood pressure,GEO_21_17_251,1,NA
smoking,GEO_21_17_251,1,NA
childhood undernutrition,GEO_21_17_251,1,NA
alcohol use,GEO_21_17_251,1,NA
under-five child mortality rate,GEO_21_17_252,2,NA
under-five child mortality rate,GEO_21_18_253,2,NA
beef consumption,GEO_22_8_255,1,NA
energy-intensity,GEO_22_12_256,1,NA
share of low-carbon options,GEO_22_12_256,1,NA
measure of income,GEO_22_21_257,1,NA
levels of education,GEO_22_21_257,1,NA
low income,GEO_22_21_257,1,NA
women and girl’s education,GEO_22_21_257,1,NA
inclusive and equitable quality education,GEO_22_21_257,1,NA
child mortality,GEO_22_21_257,1,NA
fertility rates,GEO_22_21_257,1,NA
democracy,GEO_22_21_257,1,NA
universal female education,GEO_22_21_257,1,NA
piped drinking water,GEO_22_21_257,1,NA
advanced malaria control,GEO_22_21_257,1,NA
complete phase-out of biomass use for cooking,GEO_22_21_257,1,NA
food waste index,GEO_23_24_262,1,NA
yield (improvement),GEO_23_24_262,1,NA
agro-biodiversity,GEO_23_24_262,1,NA
forest and land management,GEO_23_24_262,1,NA
investment costs of groundwater abstraction and desalination for continued water supply and sanitation of rapidly expanding cities,GEO_23_24_263,1,NA
wastewater treatment,GEO_23_24_263,1,NA
chemical contaminants,GEO_23_24_263,1,NA
